,ENSG00000207757.1,ENSG00000216001.2,ENSG00000275233.1,ENSG00000252710.1,ENSG00000163823.3,ENSG00000208037.1,ENSG00000211137.1,ENSG00000202093.1,ENSG00000199145.1,ENSG00000251796.1
ENSG00000207757.1,0.0,5.0,6.0,6.0,10.0,7.0,7.0,6.0,7.0,7.0
ENSG00000216001.2,5.0,0.0,7.0,6.0,8.0,6.0,7.0,6.0,7.0,6.0
ENSG00000275233.1,6.0,7.0,0.0,6.0,9.0,5.0,8.0,8.0,6.0,7.0
ENSG00000252710.1,6.0,6.0,6.0,0.0,11.0,8.0,6.0,6.0,6.0,7.0
ENSG00000163823.3,10.0,8.0,9.0,11.0,0.0,10.0,10.0,8.0,9.0,12.0
ENSG00000208037.1,7.0,6.0,5.0,8.0,10.0,0.0,5.0,5.0,5.0,7.0
ENSG00000211137.1,7.0,7.0,8.0,6.0,10.0,5.0,0.0,6.0,8.0,6.0
ENSG00000202093.1,6.0,6.0,8.0,6.0,8.0,5.0,6.0,0.0,9.0,5.0
ENSG00000199145.1,7.0,7.0,6.0,6.0,9.0,5.0,8.0,9.0,0.0,6.0
ENSG00000251796.1,7.0,6.0,7.0,7.0,12.0,7.0,6.0,5.0,6.0,0.0
