,ENSG00000207036.1,ENSG00000200204.1,ENSG00000251813.1,ENSG00000159713.10,ENSG00000244194.3,ENSG00000274199.1,ENSG00000207369.1,ENSG00000241420.3,ENSG00000206609.1,ENSG00000251760.1,ENSG00000264074.1,ENSG00000267368.1
ENSG00000207036.1,0.0,6.0,8.0,9.0,6.0,5.0,6.0,8.0,6.0,6.0,6.0,9.0
ENSG00000200204.1,6.0,0.0,7.0,16.0,10.0,10.0,6.0,7.0,9.0,7.0,7.0,14.0
ENSG00000251813.1,8.0,7.0,0.0,8.0,7.0,7.0,10.0,7.0,6.0,5.0,7.0,10.0
ENSG00000159713.10,9.0,16.0,8.0,0.0,10.0,7.0,9.0,11.0,8.0,9.0,9.0,15.0
ENSG00000244194.3,6.0,10.0,7.0,10.0,0.0,9.0,7.0,59.0,8.0,10.0,7.0,25.0
ENSG00000274199.1,5.0,10.0,7.0,7.0,9.0,0.0,6.0,7.0,8.0,6.0,7.0,15.0
ENSG00000207369.1,6.0,6.0,10.0,9.0,7.0,6.0,0.0,9.0,8.0,6.0,6.0,9.0
ENSG00000241420.3,8.0,7.0,7.0,11.0,59.0,7.0,9.0,0.0,7.0,10.0,7.0,17.0
ENSG00000206609.1,6.0,9.0,6.0,8.0,8.0,8.0,8.0,7.0,0.0,6.0,6.0,9.0
ENSG00000251760.1,6.0,7.0,5.0,9.0,10.0,6.0,6.0,10.0,6.0,0.0,7.0,9.0
ENSG00000264074.1,6.0,7.0,7.0,9.0,7.0,7.0,6.0,7.0,6.0,7.0,0.0,9.0
ENSG00000267368.1,9.0,14.0,10.0,15.0,25.0,15.0,9.0,17.0,9.0,9.0,9.0,0.0
