,ENSG00000277411.1,ENSG00000212303.1,ENSG00000202112.1,ENSG00000275664.1,ENSG00000179407.3,ENSG00000207293.1,ENSG00000277464.1,ENSG00000207361.1,ENSG00000221148.1,ENSG00000202433.1,ENSG00000202081.1,ENSG00000199448.1,ENSG00000252999.1
ENSG00000277411.1,0.0,5.0,7.0,6.0,10.0,5.0,7.0,8.0,7.0,6.0,7.0,7.0,13.0
ENSG00000212303.1,5.0,0.0,15.0,6.0,11.0,6.0,6.0,20.0,6.0,27.0,18.0,15.0,6.0
ENSG00000202112.1,7.0,15.0,0.0,5.0,8.0,6.0,8.0,13.0,6.0,29.0,9.0,31.0,6.0
ENSG00000275664.1,6.0,6.0,5.0,0.0,9.0,6.0,8.0,6.0,5.0,7.0,4.0,5.0,6.0
ENSG00000179407.3,10.0,11.0,8.0,9.0,0.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0
ENSG00000207293.1,5.0,6.0,6.0,6.0,10.0,0.0,8.0,7.0,7.0,7.0,6.0,7.0,8.0
ENSG00000277464.1,7.0,6.0,8.0,8.0,10.0,8.0,0.0,7.0,9.0,8.0,7.0,7.0,9.0
ENSG00000207361.1,8.0,20.0,13.0,6.0,11.0,7.0,7.0,0.0,7.0,20.0,16.0,12.0,6.0
ENSG00000221148.1,7.0,6.0,6.0,5.0,10.0,7.0,9.0,7.0,0.0,7.0,6.0,8.0,7.0
ENSG00000202433.1,6.0,27.0,29.0,7.0,9.0,7.0,8.0,20.0,7.0,0.0,14.0,23.0,6.0
ENSG00000202081.1,7.0,18.0,9.0,4.0,9.0,6.0,7.0,16.0,6.0,14.0,0.0,9.0,6.0
ENSG00000199448.1,7.0,15.0,31.0,5.0,9.0,7.0,7.0,12.0,8.0,23.0,9.0,0.0,7.0
ENSG00000252999.1,13.0,6.0,6.0,6.0,9.0,8.0,9.0,6.0,7.0,6.0,6.0,7.0,0.0
