,>ENST00000432731.2,>ENST00000553366.1,>ENST00000450011.1,ENSG00000177462.6,>ENST00000450596.1,>ENST00000411853.1,>ENST00000619013.1,>ENST00000453978.2,>ENST00000411761.2,>ENST00000583151.1,>ENST00000511083.1,>ENST00000486325.1,>ENST00000454001.1,>ENST00000603485.1,>ENST00000531780.1,>ENST00000479109.2,>ENST00000598402.1,ENSG00000135175.5,>ENST00000489612.1,>ENST00000509155.1,>ENST00000412758.2,ENSG00000181616.8,>ENST00000543144.1,>ENST00000618238.1,>ENST00000433944.1,>ENST00000569307.2,>ENST00000597719.1,>ENST00000470580.1,>ENST00000621770.1,>ENST00000615765.1,>ENST00000426589.2,>ENST00000448375.1,>ENST00000530032.1,>ENST00000620178.1,>ENST00000561466.1,>ENST00000453500.1,>ENST00000325130.2,>ENST00000524621.1,>ENST00000453595.1,>ENST00000477220.1,>ENST00000509930.1
>ENST00000432731.2,0.0,15.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,12.0,11.0,9.0,11.0,10.0,10.0,14.0,9.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,9.0,11.0,9.0,12.0,10.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,12.0,8.0
>ENST00000553366.1,15.0,0.0,8.0,9.0,7.0,8.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,11.0,8.0,11.0,9.0,7.0,12.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,11.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,9.0,8.0,8.0
>ENST00000450011.1,9.0,8.0,0.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,12.0,8.0,9.0,9.0,9.0,11.0,11.0,12.0,9.0,9.0,11.0,8.0,10.0,7.0,10.0,10.0,9.0,8.0,10.0,7.0,9.0,9.0,10.0
ENSG00000177462.6,10.0,9.0,9.0,0.0,15.0,9.0,8.0,12.0,10.0,9.0,9.0,8.0,10.0,9.0,12.0,11.0,9.0,11.0,11.0,9.0,10.0,9.0,9.0,11.0,13.0,11.0,16.0,9.0,11.0,9.0,11.0,8.0,9.0,11.0,10.0,7.0,10.0,9.0,10.0,10.0,10.0
>ENST00000450596.1,9.0,7.0,9.0,15.0,0.0,10.0,9.0,12.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,11.0,9.0,11.0,13.0,12.0,14.0,9.0,8.0,10.0,12.0,8.0,10.0,11.0,10.0,9.0,9.0,8.0,12.0,9.0,10.0
>ENST00000411853.1,10.0,8.0,9.0,9.0,10.0,0.0,8.0,12.0,9.0,13.0,9.0,10.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0,8.0,14.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,11.0,11.0,11.0
>ENST00000619013.1,9.0,10.0,9.0,8.0,9.0,8.0,0.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,11.0,10.0,8.0,7.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,10.0,7.0,12.0,8.0,9.0,7.0,7.0,7.0,8.0,8.0,7.0
>ENST00000453978.2,11.0,10.0,11.0,12.0,12.0,12.0,10.0,0.0,10.0,11.0,13.0,11.0,10.0,9.0,9.0,13.0,10.0,11.0,10.0,8.0,10.0,10.0,9.0,9.0,12.0,9.0,9.0,10.0,10.0,9.0,13.0,8.0,10.0,10.0,12.0,10.0,9.0,9.0,10.0,9.0,10.0
>ENST00000411761.2,9.0,8.0,11.0,10.0,9.0,9.0,9.0,10.0,0.0,12.0,10.0,12.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,14.0,12.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,9.0,10.0,11.0,8.0,11.0,11.0,8.0,8.0,10.0,9.0,13.0,11.0,8.0
>ENST00000583151.1,10.0,9.0,9.0,9.0,9.0,13.0,8.0,11.0,12.0,0.0,11.0,11.0,10.0,11.0,9.0,11.0,10.0,12.0,10.0,10.0,210.0,9.0,14.0,10.0,8.0,11.0,10.0,10.0,8.0,9.0,13.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0
>ENST00000511083.1,10.0,8.0,10.0,9.0,9.0,9.0,9.0,13.0,10.0,11.0,0.0,10.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,8.0,11.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,14.0,9.0,9.0
>ENST00000486325.1,12.0,9.0,9.0,8.0,9.0,10.0,10.0,11.0,12.0,11.0,10.0,0.0,12.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,13.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,8.0,10.0,9.0,11.0,9.0,9.0,8.0,10.0,11.0,9.0
>ENST00000454001.1,11.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,12.0,0.0,9.0,10.0,12.0,9.0,10.0,9.0,9.0,9.0,11.0,12.0,10.0,10.0,8.0,9.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,9.0,8.0,11.0,11.0,10.0,9.0,9.0
>ENST00000603485.1,9.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,11.0,8.0,8.0,9.0,0.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,10.0,7.0,8.0,8.0,12.0,7.0,9.0,9.0,7.0,8.0,8.0,10.0,8.0,8.0,10.0
>ENST00000531780.1,11.0,8.0,9.0,12.0,10.0,9.0,8.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,0.0,10.0,9.0,10.0,9.0,9.0,12.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0,10.0,11.0,8.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0
>ENST00000479109.2,10.0,11.0,10.0,11.0,10.0,10.0,10.0,13.0,10.0,11.0,10.0,10.0,12.0,9.0,10.0,0.0,14.0,11.0,10.0,8.0,11.0,10.0,11.0,12.0,15.0,10.0,11.0,13.0,12.0,10.0,12.0,8.0,13.0,11.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0
