,>ENST00000505858.1,>ENST00000550463.1,>ENST00000517578.1,>ENST00000619984.1,>ENST00000435351.2,>ENST00000568055.2,>ENST00000511668.1,>ENST00000605008.1,>ENST00000451976.1,>ENST00000494116.1,>ENST00000526217.1,>ENST00000618968.1,>ENST00000435169.1,>ENST00000622054.1,>ENST00000418553.1
>ENST00000505858.1,0.0,8.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,116.0,9.0,9.0,8.0,11.0
>ENST00000550463.1,8.0,0.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,11.0
>ENST00000517578.1,11.0,9.0,0.0,8.0,9.0,8.0,11.0,9.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0
>ENST00000619984.1,11.0,9.0,8.0,0.0,10.0,9.0,10.0,9.0,11.0,8.0,11.0,10.0,11.0,10.0,10.0
>ENST00000435351.2,10.0,9.0,9.0,10.0,0.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,11.0
>ENST00000568055.2,9.0,10.0,8.0,9.0,9.0,0.0,10.0,9.0,13.0,8.0,13.0,14.0,11.0,10.0,11.0
>ENST00000511668.1,10.0,9.0,11.0,10.0,9.0,10.0,0.0,10.0,10.0,13.0,12.0,9.0,10.0,13.0,12.0
>ENST00000605008.1,10.0,10.0,9.0,9.0,8.0,9.0,10.0,0.0,9.0,9.0,10.0,9.0,11.0,8.0,11.0
>ENST00000451976.1,9.0,9.0,12.0,11.0,8.0,13.0,10.0,9.0,0.0,9.0,9.0,9.0,9.0,8.0,12.0
>ENST00000494116.1,9.0,8.0,10.0,8.0,8.0,8.0,13.0,9.0,9.0,0.0,10.0,8.0,10.0,8.0,9.0
>ENST00000526217.1,116.0,9.0,10.0,11.0,10.0,13.0,12.0,10.0,9.0,10.0,0.0,10.0,9.0,9.0,11.0
>ENST00000618968.1,9.0,10.0,10.0,10.0,9.0,14.0,9.0,9.0,9.0,8.0,10.0,0.0,9.0,9.0,11.0
>ENST00000435169.1,9.0,10.0,10.0,11.0,9.0,11.0,10.0,11.0,9.0,10.0,9.0,9.0,0.0,9.0,10.0
>ENST00000622054.1,8.0,9.0,10.0,10.0,8.0,10.0,13.0,8.0,8.0,8.0,9.0,9.0,9.0,0.0,10.0
>ENST00000418553.1,11.0,11.0,9.0,10.0,11.0,11.0,12.0,11.0,12.0,9.0,11.0,11.0,10.0,10.0,0.0
