,>ENST00000526444.1,>ENST00000435838.2,>ENST00000494599.1,>ENST00000438604.1,>ENST00000415103.1,>ENST00000523257.1,>ENST00000578567.1,>ENST00000602288.1,>ENST00000412173.1,>ENST00000411966.1,>ENST00000512613.1,>ENST00000522306.1,>ENST00000605129.1,>ENST00000503214.1,>ENST00000303979.7,>ENST00000412750.2,>ENST00000512515.1,>ENST00000604465.1,>ENST00000419313.1
>ENST00000526444.1,0.0,12.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,8.0,12.0,10.0,11.0,9.0,9.0,9.0,9.0,11.0
>ENST00000435838.2,12.0,0.0,10.0,9.0,10.0,10.0,10.0,11.0,12.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,11.0
>ENST00000494599.1,10.0,10.0,0.0,9.0,9.0,8.0,9.0,11.0,15.0,9.0,9.0,10.0,10.0,12.0,9.0,12.0,8.0,8.0,12.0
>ENST00000438604.1,9.0,9.0,9.0,0.0,8.0,8.0,7.0,9.0,9.0,11.0,6.0,7.0,7.0,8.0,9.0,7.0,7.0,7.0,8.0
>ENST00000415103.1,10.0,10.0,9.0,8.0,0.0,9.0,10.0,8.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,7.0,10.0,9.0
>ENST00000523257.1,9.0,10.0,8.0,8.0,9.0,0.0,10.0,9.0,11.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0
>ENST00000578567.1,10.0,10.0,9.0,7.0,10.0,10.0,0.0,9.0,9.0,11.0,6.0,11.0,8.0,9.0,11.0,9.0,7.0,8.0,10.0
>ENST00000602288.1,10.0,11.0,11.0,9.0,8.0,9.0,9.0,0.0,10.0,10.0,8.0,11.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0
>ENST00000412173.1,11.0,12.0,15.0,9.0,11.0,11.0,9.0,10.0,0.0,12.0,9.0,12.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0
>ENST00000411966.1,11.0,9.0,9.0,11.0,10.0,10.0,11.0,10.0,12.0,0.0,9.0,11.0,12.0,11.0,10.0,9.0,9.0,11.0,9.0
>ENST00000512613.1,8.0,10.0,9.0,6.0,8.0,8.0,6.0,8.0,9.0,9.0,0.0,9.0,7.0,9.0,9.0,8.0,8.0,7.0,9.0
>ENST00000522306.1,12.0,10.0,10.0,7.0,10.0,10.0,11.0,11.0,12.0,11.0,9.0,0.0,9.0,10.0,11.0,9.0,8.0,10.0,9.0
>ENST00000605129.1,10.0,10.0,10.0,7.0,9.0,8.0,8.0,9.0,9.0,12.0,7.0,9.0,0.0,9.0,10.0,8.0,7.0,8.0,9.0
>ENST00000503214.1,11.0,9.0,12.0,8.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,0.0,11.0,9.0,12.0,9.0,10.0
>ENST00000303979.7,9.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,0.0,9.0,8.0,9.0,11.0
>ENST00000412750.2,9.0,9.0,12.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,0.0,8.0,8.0,10.0
>ENST00000512515.1,9.0,11.0,8.0,7.0,7.0,9.0,7.0,11.0,9.0,9.0,8.0,8.0,7.0,12.0,8.0,8.0,0.0,7.0,9.0
>ENST00000604465.1,9.0,9.0,8.0,7.0,10.0,10.0,8.0,10.0,10.0,11.0,7.0,10.0,8.0,9.0,9.0,8.0,7.0,0.0,10.0
>ENST00000419313.1,11.0,11.0,12.0,8.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,0.0
