,ENSG00000252998.1,ENSG00000168394.10,ENSG00000123444.13,ENSG00000199459.1,ENSG00000243883.3,ENSG00000224659.2,ENSG00000222578.1,ENSG00000200151.1,ENSG00000202402.1,ENSG00000162992.3,ENSG00000239942.2,ENSG00000202248.1,ENSG00000277074.1,ENSG00000223078.1
ENSG00000252998.1,0.0,10.0,9.0,7.0,7.0,8.0,5.0,8.0,7.0,9.0,9.0,6.0,8.0,6.0
ENSG00000168394.10,10.0,0.0,145.0,12.0,10.0,35.0,10.0,10.0,12.0,14.0,11.0,10.0,10.0,10.0
ENSG00000123444.13,9.0,145.0,0.0,10.0,24.0,48.0,9.0,10.0,13.0,26.0,24.0,11.0,9.0,11.0
ENSG00000199459.1,7.0,12.0,10.0,0.0,6.0,11.0,7.0,8.0,10.0,9.0,7.0,6.0,6.0,6.0
ENSG00000243883.3,7.0,10.0,24.0,6.0,0.0,18.0,10.0,7.0,7.0,11.0,40.0,10.0,7.0,7.0
ENSG00000224659.2,8.0,35.0,48.0,11.0,18.0,0.0,9.0,10.0,10.0,14.0,15.0,10.0,9.0,24.0
ENSG00000222578.1,5.0,10.0,9.0,7.0,10.0,9.0,0.0,9.0,7.0,9.0,7.0,40.0,6.0,10.0
ENSG00000200151.1,8.0,10.0,10.0,8.0,7.0,10.0,9.0,0.0,7.0,10.0,7.0,8.0,6.0,8.0
ENSG00000202402.1,7.0,12.0,13.0,10.0,7.0,10.0,7.0,7.0,0.0,10.0,7.0,6.0,6.0,7.0
ENSG00000162992.3,9.0,14.0,26.0,9.0,11.0,14.0,9.0,10.0,10.0,0.0,11.0,11.0,10.0,10.0
ENSG00000239942.2,9.0,11.0,24.0,7.0,40.0,15.0,7.0,7.0,7.0,11.0,0.0,12.0,8.0,7.0
ENSG00000202248.1,6.0,10.0,11.0,6.0,10.0,10.0,40.0,8.0,6.0,11.0,12.0,0.0,6.0,5.0
ENSG00000277074.1,8.0,10.0,9.0,6.0,7.0,9.0,6.0,6.0,6.0,10.0,8.0,6.0,0.0,6.0
ENSG00000223078.1,6.0,10.0,11.0,6.0,7.0,24.0,10.0,8.0,7.0,10.0,7.0,5.0,6.0,0.0
