,>ENST00000534364.1,>ENST00000450663.1,>ENST00000445710.1,>ENST00000540773.1,>ENST00000554535.2,>ENST00000406305.1,>ENST00000400014.2,>ENST00000450559.3,>ENST00000534017.1,>ENST00000480903.1,>ENST00000563581.1,>ENST00000603646.1,>ENST00000624291.1,>ENST00000445636.1,>ENST00000525668.1,>ENST00000513686.1,>ENST00000372030.3,>ENST00000491506.2,>ENST00000503155.1,>ENST00000560711.1,>ENST00000528537.1,>ENST00000406279.1,>ENST00000550646.2
>ENST00000534364.1,0.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,11.0,11.0,9.0,10.0,10.0
>ENST00000450663.1,10.0,0.0,12.0,8.0,11.0,9.0,9.0,10.0,9.0,12.0,10.0,10.0,11.0,9.0,8.0,12.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0
>ENST00000445710.1,10.0,12.0,0.0,8.0,10.0,12.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,11.0,8.0,13.0
>ENST00000540773.1,9.0,8.0,8.0,0.0,7.0,8.0,9.0,10.0,8.0,7.0,8.0,7.0,12.0,8.0,8.0,9.0,8.0,8.0,12.0,11.0,10.0,9.0,10.0
>ENST00000554535.2,9.0,11.0,10.0,7.0,0.0,8.0,10.0,9.0,12.0,10.0,9.0,10.0,13.0,9.0,7.0,11.0,8.0,10.0,10.0,11.0,9.0,11.0,13.0
>ENST00000406305.1,8.0,9.0,12.0,8.0,8.0,0.0,12.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0,7.0,10.0,7.0,11.0,17.0,10.0,8.0,10.0,9.0
>ENST00000400014.2,10.0,9.0,11.0,9.0,10.0,12.0,0.0,10.0,11.0,11.0,11.0,10.0,13.0,10.0,9.0,10.0,9.0,11.0,9.0,11.0,10.0,11.0,13.0
>ENST00000450559.3,9.0,10.0,11.0,10.0,9.0,8.0,10.0,0.0,9.0,11.0,12.0,10.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0
>ENST00000534017.1,10.0,9.0,9.0,8.0,12.0,11.0,11.0,9.0,0.0,10.0,9.0,9.0,12.0,9.0,8.0,10.0,7.0,10.0,11.0,11.0,8.0,12.0,10.0
>ENST00000480903.1,10.0,12.0,8.0,7.0,10.0,10.0,11.0,11.0,10.0,0.0,9.0,9.0,13.0,9.0,8.0,13.0,8.0,9.0,13.0,9.0,10.0,10.0,10.0
>ENST00000563581.1,9.0,10.0,11.0,8.0,9.0,9.0,11.0,12.0,9.0,9.0,0.0,13.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,11.0,11.0
>ENST00000603646.1,9.0,10.0,10.0,7.0,10.0,9.0,10.0,10.0,9.0,9.0,13.0,0.0,11.0,8.0,8.0,9.0,8.0,12.0,8.0,9.0,8.0,8.0,10.0
>ENST00000624291.1,9.0,11.0,10.0,12.0,13.0,10.0,13.0,10.0,12.0,13.0,10.0,11.0,0.0,10.0,9.0,12.0,10.0,12.0,11.0,10.0,10.0,13.0,10.0
>ENST00000445636.1,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,0.0,8.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0
>ENST00000525668.1,8.0,8.0,9.0,8.0,7.0,7.0,9.0,11.0,8.0,8.0,9.0,8.0,9.0,8.0,0.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0
>ENST00000513686.1,9.0,12.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,13.0,9.0,9.0,12.0,9.0,9.0,0.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0
>ENST00000372030.3,8.0,12.0,9.0,8.0,8.0,7.0,9.0,11.0,7.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,0.0,12.0,12.0,9.0,8.0,10.0,11.0
>ENST00000491506.2,10.0,10.0,10.0,8.0,10.0,11.0,11.0,9.0,10.0,9.0,9.0,12.0,12.0,9.0,10.0,9.0,12.0,0.0,11.0,12.0,8.0,9.0,16.0
>ENST00000503155.1,11.0,10.0,10.0,12.0,10.0,17.0,9.0,9.0,11.0,13.0,8.0,8.0,11.0,10.0,9.0,10.0,12.0,11.0,0.0,12.0,8.0,10.0,10.0
>ENST00000560711.1,11.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,12.0,12.0,0.0,9.0,10.0,10.0
>ENST00000528537.1,9.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,0.0,9.0,9.0
>ENST00000406279.1,10.0,10.0,8.0,9.0,11.0,10.0,11.0,9.0,12.0,10.0,11.0,8.0,13.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,0.0,9.0
>ENST00000550646.2,10.0,10.0,13.0,10.0,13.0,9.0,13.0,11.0,10.0,10.0,11.0,10.0,10.0,8.0,8.0,10.0,11.0,16.0,10.0,10.0,9.0,9.0,0.0
