,>ENST00000490252.1,>ENST00000446195.1,>ENST00000437248.1,>ENST00000394346.2,>ENST00000570642.2,>ENST00000530976.1,>ENST00000531824.1,>ENST00000415547.1,>ENST00000514941.1,>ENST00000444456.1,>ENST00000445926.1,>ENST00000452306.1,>ENST00000414066.1,>ENST00000529293.1,>ENST00000446368.1,>ENST00000404856.2,>ENST00000505272.1,>ENST00000455793.1,>ENST00000416118.1,>ENST00000583209.1,>ENST00000464513.2
>ENST00000490252.1,0.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,11.0,9.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,8.0,7.0,9.0
>ENST00000446195.1,9.0,0.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,12.0,8.0,9.0,7.0,9.0,10.0
>ENST00000437248.1,9.0,8.0,0.0,10.0,9.0,8.0,11.0,8.0,8.0,10.0,8.0,11.0,10.0,9.0,8.0,11.0,10.0,9.0,9.0,9.0,10.0
>ENST00000394346.2,10.0,8.0,10.0,0.0,10.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,11.0,11.0,8.0,8.0,9.0,9.0
>ENST00000570642.2,10.0,8.0,9.0,10.0,0.0,8.0,8.0,11.0,10.0,9.0,10.0,8.0,12.0,11.0,8.0,9.0,11.0,10.0,9.0,12.0,9.0
>ENST00000530976.1,9.0,9.0,8.0,10.0,8.0,0.0,10.0,8.0,10.0,10.0,7.0,8.0,11.0,11.0,8.0,8.0,9.0,9.0,7.0,8.0,8.0
>ENST00000531824.1,10.0,9.0,11.0,8.0,8.0,10.0,0.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,12.0,10.0,9.0,8.0,10.0
>ENST00000415547.1,8.0,8.0,8.0,9.0,11.0,8.0,9.0,0.0,9.0,12.0,8.0,9.0,10.0,8.0,9.0,13.0,9.0,12.0,9.0,8.0,13.0
>ENST00000514941.1,11.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,0.0,8.0,7.0,9.0,10.0,8.0,8.0,11.0,9.0,12.0,10.0,9.0,10.0
>ENST00000444456.1,9.0,9.0,10.0,9.0,9.0,10.0,10.0,12.0,8.0,0.0,11.0,9.0,10.0,9.0,12.0,11.0,11.0,9.0,8.0,8.0,9.0
>ENST00000445926.1,8.0,8.0,8.0,11.0,10.0,7.0,9.0,8.0,7.0,11.0,0.0,9.0,10.0,8.0,9.0,10.0,11.0,13.0,8.0,9.0,8.0
>ENST00000452306.1,9.0,9.0,11.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,0.0,11.0,9.0,10.0,12.0,9.0,10.0,8.0,9.0,10.0
>ENST00000414066.1,10.0,10.0,10.0,9.0,12.0,11.0,9.0,10.0,10.0,10.0,10.0,11.0,0.0,10.0,9.0,12.0,13.0,13.0,8.0,9.0,10.0
>ENST00000529293.1,11.0,9.0,9.0,11.0,11.0,11.0,10.0,8.0,8.0,9.0,8.0,9.0,10.0,0.0,8.0,11.0,9.0,8.0,8.0,9.0,11.0
>ENST00000446368.1,10.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,12.0,9.0,10.0,9.0,8.0,0.0,10.0,9.0,10.0,8.0,8.0,8.0
>ENST00000404856.2,10.0,12.0,11.0,11.0,9.0,8.0,8.0,13.0,11.0,11.0,10.0,12.0,12.0,11.0,10.0,0.0,10.0,11.0,9.0,10.0,12.0
>ENST00000505272.1,10.0,8.0,10.0,11.0,11.0,9.0,12.0,9.0,9.0,11.0,11.0,9.0,13.0,9.0,9.0,10.0,0.0,10.0,8.0,8.0,9.0
>ENST00000455793.1,11.0,9.0,9.0,8.0,10.0,9.0,10.0,12.0,12.0,9.0,13.0,10.0,13.0,8.0,10.0,11.0,10.0,0.0,9.0,10.0,11.0
>ENST00000416118.1,8.0,7.0,9.0,8.0,9.0,7.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,0.0,10.0,8.0
>ENST00000583209.1,7.0,9.0,9.0,9.0,12.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,0.0,9.0
>ENST00000464513.2,9.0,10.0,10.0,9.0,9.0,8.0,10.0,13.0,10.0,9.0,8.0,10.0,10.0,11.0,8.0,12.0,9.0,11.0,8.0,9.0,0.0
