,ENSG00000266158.2,ENSG00000201342.1,ENSG00000168672.3,ENSG00000202157.1,ENSG00000277628.1,ENSG00000238936.1,ENSG00000155368.16,ENSG00000207263.1,ENSG00000251842.1,ENSG00000244509.3
ENSG00000266158.2,0.0,9.0,26.0,8.0,28.0,8.0,25.0,8.0,8.0,35.0
ENSG00000201342.1,9.0,0.0,9.0,20.0,7.0,9.0,12.0,8.0,7.0,10.0
ENSG00000168672.3,26.0,9.0,0.0,10.0,64.0,8.0,101.0,10.0,10.0,107.0
ENSG00000202157.1,8.0,20.0,10.0,0.0,8.0,6.0,11.0,8.0,6.0,9.0
ENSG00000277628.1,28.0,7.0,64.0,8.0,0.0,7.0,57.0,8.0,6.0,64.0
ENSG00000238936.1,8.0,9.0,8.0,6.0,7.0,0.0,9.0,6.0,6.0,9.0
ENSG00000155368.16,25.0,12.0,101.0,11.0,57.0,9.0,0.0,10.0,11.0,118.0
ENSG00000207263.1,8.0,8.0,10.0,8.0,8.0,6.0,10.0,0.0,7.0,9.0
ENSG00000251842.1,8.0,7.0,10.0,6.0,6.0,6.0,11.0,7.0,0.0,9.0
ENSG00000244509.3,35.0,10.0,107.0,9.0,64.0,9.0,118.0,9.0,9.0,0.0
