,>ENST00000517879.1,>ENST00000583992.1,>ENST00000543493.1,>ENST00000436669.1,>ENST00000567898.2,>ENST00000502452.1,>ENST00000533406.2,>ENST00000359239.3,>ENST00000579588.2,>ENST00000469695.1,>ENST00000604266.1,>ENST00000429211.2,>ENST00000604527.1,>ENST00000426329.6,>ENST00000601206.1,>ENST00000629013.1,>ENST00000598619.1,>ENST00000511173.1,>ENST00000615707.1,>ENST00000498657.1,>ENST00000511286.1,>ENST00000398869.2,>ENST00000510090.2,>ENST00000452995.1,>ENST00000451124.1,>ENST00000607292.2,>ENST00000456455.1,>ENST00000440811.1,>ENST00000467614.1,>ENST00000605160.1,>ENST00000624425.2,>ENST00000557387.1,>ENST00000603076.1,>ENST00000414169.1,>ENST00000426577.1,>ENST00000515270.1
>ENST00000517879.1,0.0,9.0,8.0,9.0,8.0,8.0,9.0,7.0,7.0,8.0,10.0,10.0,11.0,9.0,9.0,8.0,7.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,11.0,7.0,9.0,11.0,9.0,7.0,7.0,6.0,11.0,10.0,9.0,8.0
>ENST00000583992.1,9.0,0.0,9.0,8.0,12.0,8.0,9.0,11.0,8.0,11.0,12.0,8.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,11.0,12.0,10.0,9.0,8.0,8.0,11.0,8.0,8.0,9.0,12.0,9.0,9.0,8.0,9.0
>ENST00000543493.1,8.0,9.0,0.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,15.0,10.0,10.0,11.0,12.0,10.0,8.0,8.0,9.0,12.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,8.0
>ENST00000436669.1,9.0,8.0,8.0,0.0,11.0,8.0,10.0,9.0,9.0,8.0,13.0,10.0,10.0,9.0,9.0,9.0,9.0,13.0,10.0,8.0,8.0,11.0,10.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,7.0,9.0,9.0,8.0,8.0
>ENST00000567898.2,8.0,12.0,9.0,11.0,0.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,13.0,9.0,10.0,10.0,10.0,9.0,12.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,11.0,8.0,9.0,14.0,11.0,10.0
>ENST00000502452.1,8.0,8.0,9.0,8.0,10.0,0.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,11.0,11.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,7.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0
>ENST00000533406.2,9.0,9.0,9.0,10.0,9.0,10.0,0.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,32.0,11.0,11.0,11.0,10.0,12.0,8.0,9.0,10.0,10.0,9.0,11.0,9.0,12.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0
>ENST00000359239.3,7.0,11.0,8.0,9.0,10.0,9.0,10.0,0.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,14.0,11.0,8.0,10.0,11.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,11.0,12.0,10.0,8.0,10.0,10.0,9.0,9.0,7.0
>ENST00000579588.2,7.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,0.0,11.0,9.0,9.0,11.0,9.0,8.0,9.0,11.0,8.0,10.0,10.0,10.0,8.0,11.0,10.0,9.0,8.0,11.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0
>ENST00000469695.1,8.0,11.0,10.0,8.0,8.0,8.0,10.0,9.0,11.0,0.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0,8.0,11.0,9.0,7.0,8.0,9.0,8.0,8.0,6.0,7.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,7.0
>ENST00000604266.1,10.0,12.0,11.0,13.0,9.0,9.0,11.0,10.0,9.0,8.0,0.0,8.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,8.0,11.0,9.0,11.0,12.0,7.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0
>ENST00000429211.2,10.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,0.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,11.0,11.0,11.0,11.0,9.0,9.0,7.0,9.0,13.0,9.0,9.0,10.0,8.0,11.0,10.0,10.0,10.0
>ENST00000604527.1,11.0,10.0,10.0,10.0,13.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,0.0,11.0,12.0,10.0,10.0,10.0,13.0,11.0,8.0,11.0,12.0,9.0,8.0,7.0,9.0,11.0,9.0,10.0,10.0,10.0,11.0,10.0,8.0,8.0
>ENST00000426329.6,9.0,11.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,9.0,11.0,0.0,9.0,11.0,9.0,9.0,11.0,9.0,12.0,10.0,10.0,10.0,8.0,10.0,9.0,12.0,10.0,11.0,9.0,8.0,9.0,11.0,11.0,10.0
>ENST00000601206.1,9.0,9.0,10.0,9.0,10.0,9.0,32.0,9.0,8.0,9.0,10.0,10.0,12.0,9.0,0.0,12.0,9.0,9.0,16.0,10.0,9.0,9.0,10.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0
>ENST00000629013.1,8.0,10.0,10.0,9.0,10.0,8.0,11.0,14.0,9.0,7.0,10.0,10.0,10.0,11.0,12.0,0.0,11.0,9.0,13.0,10.0,9.0,13.0,9.0,9.0,8.0,8.0,9.0,10.0,13.0,8.0,9.0,10.0,8.0,10.0,10.0,8.0
>ENST00000598619.1,7.0,10.0,10.0,9.0,10.0,11.0,11.0,11.0,11.0,8.0,11.0,9.0,10.0,9.0,9.0,11.0,0.0,8.0,9.0,11.0,8.0,11.0,10.0,10.0,8.0,8.0,10.0,11.0,9.0,8.0,7.0,8.0,8.0,10.0,9.0,7.0
>ENST00000511173.1,9.0,9.0,9.0,13.0,9.0,11.0,11.0,8.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,0.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,7.0,8.0,10.0,12.0,8.0,7.0,8.0,10.0,9.0,10.0,8.0
>ENST00000615707.1,10.0,10.0,15.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,13.0,11.0,16.0,13.0,9.0,11.0,0.0,9.0,8.0,10.0,11.0,11.0,7.0,10.0,9.0,11.0,12.0,10.0,8.0,10.0,9.0,13.0,9.0,8.0
>ENST00000498657.1,8.0,9.0,10.0,8.0,9.0,9.0,12.0,11.0,10.0,9.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,0.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,11.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,8.0
>ENST00000511286.1,10.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,10.0,7.0,8.0,11.0,8.0,12.0,9.0,9.0,8.0,9.0,8.0,9.0,0.0,9.0,10.0,10.0,8.0,9.0,9.0,12.0,10.0,10.0,9.0,8.0,9.0,10.0,11.0,7.0
>ENST00000398869.2,9.0,11.0,11.0,11.0,10.0,10.0,9.0,10.0,8.0,8.0,11.0,11.0,11.0,10.0,9.0,13.0,11.0,10.0,10.0,10.0,9.0,0.0,11.0,9.0,9.0,9.0,8.0,11.0,10.0,8.0,7.0,9.0,9.0,9.0,10.0,9.0
>ENST00000510090.2,10.0,12.0,12.0,10.0,9.0,11.0,10.0,10.0,11.0,9.0,9.0,11.0,12.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,0.0,11.0,10.0,8.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0
>ENST00000452995.1,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,11.0,0.0,10.0,9.0,9.0,12.0,11.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0
>ENST00000451124.1,11.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,12.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,10.0,10.0,0.0,6.0,8.0,10.0,8.0,7.0,8.0,8.0,10.0,9.0,8.0,8.0
>ENST00000607292.2,7.0,8.0,8.0,8.0,8.0,7.0,11.0,8.0,8.0,6.0,7.0,7.0,7.0,10.0,8.0,8.0,8.0,7.0,10.0,10.0,9.0,9.0,8.0,9.0,6.0,0.0,8.0,10.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0
>ENST00000456455.1,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,11.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,11.0,9.0,8.0,8.0,0.0,9.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,7.0
>ENST00000440811.1,11.0,11.0,12.0,10.0,10.0,10.0,12.0,11.0,10.0,9.0,10.0,13.0,11.0,12.0,11.0,10.0,11.0,10.0,11.0,11.0,12.0,11.0,11.0,12.0,10.0,10.0,9.0,0.0,12.0,10.0,68.0,9.0,9.0,11.0,10.0,11.0
