,>ENST00000522232.1,>ENST00000422507.1,>ENST00000419331.2,>ENST00000515341.6,>ENST00000428620.1,>ENST00000419416.1,>ENST00000498782.1,>ENST00000550220.1,>ENST00000522986.1,>ENST00000431223.1,>ENST00000464884.1,>ENST00000530992.1,>ENST00000448848.2,>ENST00000456719.1,>ENST00000434498.1,>ENST00000331747.6
>ENST00000522232.1,0.0,9.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,12.0,11.0,11.0,11.0,10.0,9.0,10.0
>ENST00000422507.1,9.0,0.0,9.0,9.0,9.0,10.0,8.0,8.0,11.0,9.0,10.0,9.0,9.0,7.0,8.0,9.0
>ENST00000419331.2,10.0,9.0,0.0,12.0,10.0,10.0,9.0,11.0,9.0,11.0,10.0,12.0,9.0,12.0,9.0,11.0
>ENST00000515341.6,11.0,9.0,12.0,0.0,10.0,11.0,12.0,12.0,8.0,12.0,12.0,14.0,10.0,9.0,11.0,10.0
>ENST00000428620.1,8.0,9.0,10.0,10.0,0.0,9.0,10.0,7.0,8.0,11.0,12.0,10.0,8.0,9.0,8.0,10.0
>ENST00000419416.1,10.0,10.0,10.0,11.0,9.0,0.0,10.0,9.0,9.0,12.0,9.0,10.0,10.0,12.0,8.0,12.0
>ENST00000498782.1,10.0,8.0,9.0,12.0,10.0,10.0,0.0,9.0,9.0,10.0,12.0,12.0,9.0,9.0,10.0,10.0
>ENST00000550220.1,9.0,8.0,11.0,12.0,7.0,9.0,9.0,0.0,9.0,11.0,14.0,12.0,9.0,12.0,10.0,10.0
>ENST00000522986.1,9.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,0.0,10.0,10.0,10.0,10.0,10.0,8.0,11.0
>ENST00000431223.1,12.0,9.0,11.0,12.0,11.0,12.0,10.0,11.0,10.0,0.0,11.0,11.0,10.0,9.0,10.0,12.0
>ENST00000464884.1,11.0,10.0,10.0,12.0,12.0,9.0,12.0,14.0,10.0,11.0,0.0,11.0,9.0,11.0,10.0,11.0
>ENST00000530992.1,11.0,9.0,12.0,14.0,10.0,10.0,12.0,12.0,10.0,11.0,11.0,0.0,11.0,11.0,9.0,11.0
>ENST00000448848.2,11.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,0.0,9.0,9.0,10.0
>ENST00000456719.1,10.0,7.0,12.0,9.0,9.0,12.0,9.0,12.0,10.0,9.0,11.0,11.0,9.0,0.0,10.0,10.0
>ENST00000434498.1,9.0,8.0,9.0,11.0,8.0,8.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,0.0,10.0
>ENST00000331747.6,10.0,9.0,11.0,10.0,10.0,12.0,10.0,10.0,11.0,12.0,11.0,11.0,10.0,10.0,10.0,0.0
