,>ENST00000489078.1,>ENST00000445955.1,>ENST00000493675.1,>ENST00000358609.4,>ENST00000412724.1,>ENST00000513076.1,>ENST00000404531.1,>ENST00000599047.1,>ENST00000492841.1,>ENST00000550757.1,>ENST00000417000.1,>ENST00000442125.2,>ENST00000422213.1,>ENST00000573039.1,>ENST00000448918.2
>ENST00000489078.1,0.0,9.0,8.0,10.0,9.0,8.0,8.0,13.0,9.0,8.0,11.0,9.0,10.0,11.0,8.0
>ENST00000445955.1,9.0,0.0,10.0,11.0,10.0,10.0,11.0,12.0,11.0,9.0,8.0,9.0,10.0,10.0,11.0
>ENST00000493675.1,8.0,10.0,0.0,9.0,11.0,10.0,9.0,12.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0
>ENST00000358609.4,10.0,11.0,9.0,0.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,8.0,10.0
>ENST00000412724.1,9.0,10.0,11.0,10.0,0.0,8.0,10.0,10.0,9.0,7.0,7.0,11.0,9.0,9.0,9.0
>ENST00000513076.1,8.0,10.0,10.0,9.0,8.0,0.0,11.0,11.0,9.0,12.0,10.0,10.0,10.0,9.0,8.0
>ENST00000404531.1,8.0,11.0,9.0,9.0,10.0,11.0,0.0,9.0,10.0,7.0,9.0,10.0,9.0,9.0,8.0
>ENST00000599047.1,13.0,12.0,12.0,10.0,10.0,11.0,9.0,0.0,11.0,10.0,9.0,9.0,11.0,9.0,11.0
>ENST00000492841.1,9.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,0.0,8.0,8.0,9.0,10.0,9.0,10.0
>ENST00000550757.1,8.0,9.0,10.0,9.0,7.0,12.0,7.0,10.0,8.0,0.0,9.0,8.0,7.0,10.0,8.0
>ENST00000417000.1,11.0,8.0,8.0,10.0,7.0,10.0,9.0,9.0,8.0,9.0,0.0,8.0,7.0,8.0,8.0
>ENST00000442125.2,9.0,9.0,11.0,9.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,0.0,9.0,12.0,8.0
>ENST00000422213.1,10.0,10.0,10.0,11.0,9.0,10.0,9.0,11.0,10.0,7.0,7.0,9.0,0.0,10.0,9.0
>ENST00000573039.1,11.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,12.0,10.0,0.0,9.0
>ENST00000448918.2,8.0,11.0,9.0,10.0,9.0,8.0,8.0,11.0,10.0,8.0,8.0,8.0,9.0,9.0,0.0
