,ENSG00000241162.3,>ENST00000414815.1,>ENST00000458091.3,>ENST00000507882.1,>ENST00000450921.1,>ENST00000383606.3,>ENST00000428836.2,>ENST00000554380.1,>ENST00000554246.1,>ENST00000540993.1,>ENST00000429216.1,>ENST00000427827.2,>ENST00000460880.1
ENSG00000241162.3,0.0,9.0,8.0,8.0,10.0,12.0,8.0,11.0,8.0,8.0,8.0,9.0,8.0
>ENST00000414815.1,9.0,0.0,10.0,11.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0
>ENST00000458091.3,8.0,10.0,0.0,9.0,10.0,9.0,10.0,10.0,11.0,7.0,9.0,9.0,11.0
>ENST00000507882.1,8.0,11.0,9.0,0.0,9.0,10.0,7.0,10.0,9.0,7.0,9.0,10.0,8.0
>ENST00000450921.1,10.0,9.0,10.0,9.0,0.0,12.0,9.0,10.0,14.0,9.0,9.0,8.0,10.0
>ENST00000383606.3,12.0,8.0,9.0,10.0,12.0,0.0,8.0,11.0,9.0,9.0,9.0,26.0,10.0
>ENST00000428836.2,8.0,8.0,10.0,7.0,9.0,8.0,0.0,11.0,10.0,8.0,11.0,8.0,9.0
>ENST00000554380.1,11.0,10.0,10.0,10.0,10.0,11.0,11.0,0.0,8.0,9.0,9.0,11.0,10.0
>ENST00000554246.1,8.0,10.0,11.0,9.0,14.0,9.0,10.0,8.0,0.0,8.0,10.0,8.0,11.0
>ENST00000540993.1,8.0,9.0,7.0,7.0,9.0,9.0,8.0,9.0,8.0,0.0,8.0,8.0,8.0
>ENST00000429216.1,8.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,0.0,8.0,11.0
>ENST00000427827.2,9.0,8.0,9.0,10.0,8.0,26.0,8.0,11.0,8.0,8.0,8.0,0.0,10.0
>ENST00000460880.1,8.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,11.0,8.0,11.0,10.0,0.0
