,ENSG00000179055.6,ENSG00000205544.3,ENSG00000221172.1,ENSG00000222316.1,ENSG00000172377.1,ENSG00000239181.1,ENSG00000243801.3,ENSG00000211698.2,ENSG00000201816.1,ENSG00000199381.1,ENSG00000173207.12,ENSG00000207981.1,ENSG00000244308.2,ENSG00000172519.8
ENSG00000179055.6,0.0,9.0,8.0,7.0,20.0,8.0,9.0,12.0,8.0,9.0,10.0,8.0,9.0,16.0
ENSG00000205544.3,9.0,0.0,8.0,8.0,10.0,7.0,8.0,10.0,10.0,7.0,12.0,9.0,9.0,10.0
ENSG00000221172.1,8.0,8.0,0.0,7.0,6.0,7.0,6.0,8.0,6.0,8.0,10.0,7.0,7.0,8.0
ENSG00000222316.1,7.0,8.0,7.0,0.0,6.0,6.0,7.0,7.0,6.0,7.0,10.0,8.0,6.0,6.0
ENSG00000172377.1,20.0,10.0,6.0,6.0,0.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,20.0
ENSG00000239181.1,8.0,7.0,7.0,6.0,9.0,0.0,7.0,8.0,7.0,6.0,11.0,5.0,7.0,10.0
ENSG00000243801.3,9.0,8.0,6.0,7.0,9.0,7.0,0.0,10.0,7.0,7.0,11.0,7.0,24.0,10.0
ENSG00000211698.2,12.0,10.0,8.0,7.0,10.0,8.0,10.0,0.0,9.0,10.0,11.0,10.0,8.0,11.0
ENSG00000201816.1,8.0,10.0,6.0,6.0,11.0,7.0,7.0,9.0,0.0,7.0,10.0,6.0,7.0,9.0
ENSG00000199381.1,9.0,7.0,8.0,7.0,9.0,6.0,7.0,10.0,7.0,0.0,9.0,9.0,6.0,8.0
ENSG00000173207.12,10.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,9.0,0.0,10.0,12.0,11.0
ENSG00000207981.1,8.0,9.0,7.0,8.0,9.0,5.0,7.0,10.0,6.0,9.0,10.0,0.0,6.0,9.0
ENSG00000244308.2,9.0,9.0,7.0,6.0,9.0,7.0,24.0,8.0,7.0,6.0,12.0,6.0,0.0,9.0
ENSG00000172519.8,16.0,10.0,8.0,6.0,20.0,10.0,10.0,11.0,9.0,8.0,11.0,9.0,9.0,0.0
