,>ENST00000585825.1,>ENST00000450329.1,>ENST00000418155.2,>ENST00000603834.1,>ENST00000454055.1,>ENST00000610957.1,>ENST00000621194.1,>ENST00000555084.1,>ENST00000428213.1,>ENST00000438540.2,>ENST00000428767.1,>ENST00000562022.1,>ENST00000585002.1,>ENST00000524910.1,>ENST00000458673.1,>ENST00000428060.1,ENSG00000168158.3,>ENST00000417077.2,>ENST00000444325.1,>ENST00000420880.1,>ENST00000466210.1,>ENST00000602989.1,>ENST00000433419.2,>ENST00000588366.1,ENSG00000212264.1,>ENST00000529730.1,>ENST00000427514.1,>ENST00000415260.1,>ENST00000444174.1,>ENST00000609961.1,>ENST00000448031.1,>ENST00000438758.1,>ENST00000598164.2,>ENST00000309865.11,>ENST00000521237.1,>ENST00000452635.1,>ENST00000445119.1,>ENST00000398220.2,>ENST00000435954.2,>ENST00000510875.1,>ENST00000434856.1,>ENST00000422992.2,>ENST00000449716.2,>ENST00000576103.1,>ENST00000557500.2,>ENST00000398779.2,>ENST00000406212.1,>ENST00000611953.1,>ENST00000396387.2,>ENST00000464254.1,>ENST00000406790.1,>ENST00000427740.1,>ENST00000414056.1
>ENST00000585825.1,0.0,12.0,11.0,11.0,14.0,10.0,11.0,11.0,10.0,11.0,10.0,12.0,10.0,10.0,11.0,10.0,12.0,9.0,9.0,9.0,11.0,9.0,13.0,10.0,8.0,14.0,11.0,12.0,11.0,10.0,10.0,12.0,10.0,11.0,10.0,10.0,10.0,13.0,12.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0
>ENST00000450329.1,12.0,0.0,10.0,10.0,8.0,8.0,10.0,8.0,8.0,10.0,9.0,11.0,8.0,10.0,9.0,9.0,11.0,10.0,8.0,9.0,10.0,7.0,11.0,8.0,6.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0
>ENST00000418155.2,11.0,10.0,0.0,8.0,8.0,9.0,8.0,8.0,8.0,11.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,10.0,7.0,8.0,8.0,8.0,12.0,9.0,7.0,8.0,9.0,8.0,8.0,10.0,10.0,10.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,8.0,10.0,7.0,8.0,8.0,10.0,10.0,8.0,7.0,9.0,9.0,8.0,10.0,9.0
>ENST00000603834.1,11.0,10.0,8.0,0.0,9.0,7.0,8.0,10.0,9.0,11.0,11.0,10.0,8.0,10.0,8.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,12.0,13.0,7.0,10.0,11.0,11.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,12.0,9.0,10.0,9.0,11.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0
>ENST00000454055.1,14.0,8.0,8.0,9.0,0.0,9.0,8.0,9.0,10.0,11.0,12.0,10.0,9.0,10.0,11.0,10.0,9.0,11.0,11.0,10.0,11.0,9.0,12.0,13.0,8.0,10.0,10.0,11.0,8.0,10.0,11.0,10.0,8.0,13.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,9.0
>ENST00000610957.1,10.0,8.0,9.0,7.0,9.0,0.0,8.0,9.0,9.0,9.0,11.0,8.0,7.0,9.0,9.0,8.0,8.0,11.0,9.0,9.0,8.0,8.0,10.0,8.0,6.0,9.0,7.0,10.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,10.0,8.0,8.0,8.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0
>ENST00000621194.1,11.0,10.0,8.0,8.0,8.0,8.0,0.0,8.0,9.0,8.0,8.0,9.0,10.0,10.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,10.0,7.0,7.0,11.0,8.0,10.0,7.0,9.0,9.0,11.0,10.0,11.0,8.0,9.0,7.0,8.0,11.0,10.0,10.0,8.0,8.0,12.0,8.0,8.0,8.0,7.0,11.0,9.0,10.0,9.0,8.0
>ENST00000555084.1,11.0,8.0,8.0,10.0,9.0,9.0,8.0,0.0,8.0,10.0,12.0,12.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,8.0,12.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,11.0,8.0,10.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0
>ENST00000428213.1,10.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,0.0,9.0,11.0,11.0,9.0,10.0,7.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,11.0,7.0,11.0,10.0,13.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,8.0,8.0,8.0,12.0,10.0,14.0,10.0,11.0,9.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0
>ENST00000438540.2,11.0,10.0,11.0,11.0,11.0,9.0,8.0,10.0,9.0,0.0,9.0,11.0,8.0,10.0,11.0,11.0,9.0,9.0,13.0,10.0,9.0,9.0,11.0,9.0,7.0,12.0,10.0,12.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,12.0,9.0,10.0,11.0,12.0,11.0,11.0,15.0,11.0,10.0,10.0,12.0,11.0,11.0,9.0,9.0,11.0,9.0
