,>ENST00000521337.1,>ENST00000614873.1,>ENST00000542742.1,>ENST00000463873.1,ENSG00000186442.7,>ENST00000404146.1,>ENST00000605312.1,>ENST00000446059.1,>ENST00000437445.1,>ENST00000494834.1,ENSG00000199279.1,>ENST00000604116.1,>ENST00000512823.1,>ENST00000445715.5,>ENST00000403648.2,>ENST00000332269.6,>ENST00000620221.1
>ENST00000521337.1,0.0,9.0,10.0,11.0,10.0,9.0,8.0,8.0,11.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,8.0
>ENST00000614873.1,9.0,0.0,10.0,9.0,10.0,7.0,10.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0
>ENST00000542742.1,10.0,10.0,0.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0
>ENST00000463873.1,11.0,9.0,8.0,0.0,11.0,7.0,8.0,8.0,8.0,12.0,7.0,9.0,9.0,9.0,8.0,8.0,10.0
ENSG00000186442.7,10.0,10.0,10.0,11.0,0.0,10.0,11.0,12.0,11.0,13.0,11.0,10.0,10.0,12.0,18.0,11.0,11.0
>ENST00000404146.1,9.0,7.0,9.0,7.0,10.0,0.0,8.0,7.0,9.0,8.0,7.0,9.0,8.0,10.0,8.0,8.0,8.0
>ENST00000605312.1,8.0,10.0,10.0,8.0,11.0,8.0,0.0,11.0,9.0,9.0,7.0,10.0,9.0,9.0,9.0,10.0,7.0
>ENST00000446059.1,8.0,8.0,9.0,8.0,12.0,7.0,11.0,0.0,9.0,9.0,7.0,8.0,8.0,11.0,9.0,8.0,8.0
>ENST00000437445.1,11.0,8.0,9.0,8.0,11.0,9.0,9.0,9.0,0.0,8.0,7.0,9.0,9.0,10.0,8.0,10.0,9.0
>ENST00000494834.1,9.0,9.0,10.0,12.0,13.0,8.0,9.0,9.0,8.0,0.0,9.0,8.0,8.0,10.0,10.0,8.0,10.0
ENSG00000199279.1,11.0,10.0,8.0,7.0,11.0,7.0,7.0,7.0,7.0,9.0,0.0,8.0,8.0,12.0,8.0,8.0,7.0
>ENST00000604116.1,9.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,0.0,11.0,11.0,8.0,10.0,9.0
>ENST00000512823.1,8.0,8.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,11.0,0.0,9.0,7.0,8.0,8.0
>ENST00000445715.5,10.0,9.0,10.0,9.0,12.0,10.0,9.0,11.0,10.0,10.0,12.0,11.0,9.0,0.0,12.0,9.0,9.0
>ENST00000403648.2,9.0,9.0,8.0,8.0,18.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,7.0,12.0,0.0,9.0,8.0
>ENST00000332269.6,9.0,9.0,9.0,8.0,11.0,8.0,10.0,8.0,10.0,8.0,8.0,10.0,8.0,9.0,9.0,0.0,8.0
>ENST00000620221.1,8.0,9.0,9.0,10.0,11.0,8.0,7.0,8.0,9.0,10.0,7.0,9.0,8.0,9.0,8.0,8.0,0.0
