,ENSG00000116721.9,ENSG00000169583.12,ENSG00000277026.1,ENSG00000204479.4,ENSG00000162630.5,ENSG00000128228.4,ENSG00000162650.15,ENSG00000204480.7,ENSG00000160957.12,ENSG00000175518.6,ENSG00000239040.1,ENSG00000196337.10
ENSG00000116721.9,0.0,12.0,9.0,178.0,14.0,14.0,14.0,284.0,13.0,12.0,9.0,12.0
ENSG00000169583.12,12.0,0.0,7.0,12.0,11.0,13.0,12.0,11.0,13.0,11.0,8.0,15.0
ENSG00000277026.1,9.0,7.0,0.0,8.0,15.0,9.0,9.0,9.0,9.0,8.0,6.0,7.0
ENSG00000204479.4,178.0,12.0,8.0,0.0,11.0,11.0,12.0,330.0,13.0,12.0,10.0,12.0
ENSG00000162630.5,14.0,11.0,15.0,11.0,0.0,10.0,13.0,11.0,12.0,11.0,11.0,10.0
ENSG00000128228.4,14.0,13.0,9.0,11.0,10.0,0.0,15.0,12.0,13.0,12.0,11.0,13.0
ENSG00000162650.15,14.0,12.0,9.0,12.0,13.0,15.0,0.0,13.0,14.0,14.0,10.0,14.0
ENSG00000204480.7,284.0,11.0,9.0,330.0,11.0,12.0,13.0,0.0,13.0,11.0,10.0,12.0
ENSG00000160957.12,13.0,13.0,9.0,13.0,12.0,13.0,14.0,13.0,0.0,11.0,9.0,13.0
ENSG00000175518.6,12.0,11.0,8.0,12.0,11.0,12.0,14.0,11.0,11.0,0.0,10.0,12.0
ENSG00000239040.1,9.0,8.0,6.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,0.0,9.0
ENSG00000196337.10,12.0,15.0,7.0,12.0,10.0,13.0,14.0,12.0,13.0,12.0,9.0,0.0
