,ENSG00000242251.3,ENSG00000201518.1,ENSG00000263631.1,ENSG00000174903.14,ENSG00000199762.1,ENSG00000207181.1,ENSG00000207582.1,ENSG00000212338.1,ENSG00000207132.1,ENSG00000252205.1,ENSG00000108700.4
ENSG00000242251.3,0.0,7.0,6.0,17.0,8.0,6.0,8.0,13.0,12.0,7.0,9.0
ENSG00000201518.1,7.0,0.0,7.0,10.0,6.0,7.0,7.0,7.0,5.0,6.0,8.0
ENSG00000263631.1,6.0,7.0,0.0,10.0,7.0,6.0,8.0,7.0,6.0,6.0,9.0
ENSG00000174903.14,17.0,10.0,10.0,0.0,11.0,10.0,10.0,18.0,13.0,9.0,13.0
ENSG00000199762.1,8.0,6.0,7.0,11.0,0.0,6.0,6.0,6.0,12.0,6.0,9.0
ENSG00000207181.1,6.0,7.0,6.0,10.0,6.0,0.0,5.0,7.0,6.0,6.0,10.0
ENSG00000207582.1,8.0,7.0,8.0,10.0,6.0,5.0,0.0,7.0,7.0,8.0,9.0
ENSG00000212338.1,13.0,7.0,7.0,18.0,6.0,7.0,7.0,0.0,7.0,6.0,9.0
ENSG00000207132.1,12.0,5.0,6.0,13.0,12.0,6.0,7.0,7.0,0.0,5.0,8.0
ENSG00000252205.1,7.0,6.0,6.0,9.0,6.0,6.0,8.0,6.0,5.0,0.0,10.0
ENSG00000108700.4,9.0,8.0,9.0,13.0,9.0,10.0,9.0,9.0,8.0,10.0,0.0
