,ENSG00000199771.1,ENSG00000207363.1,ENSG00000207130.1,ENSG00000233276.3,ENSG00000252810.1,ENSG00000239855.1,ENSG00000202111.1,ENSG00000208036.1,ENSG00000280857.1,ENSG00000222170.1,ENSG00000205426.10
ENSG00000199771.1,0.0,6.0,7.0,9.0,6.0,7.0,8.0,6.0,5.0,7.0,10.0
ENSG00000207363.1,6.0,0.0,6.0,11.0,6.0,8.0,6.0,7.0,31.0,5.0,9.0
ENSG00000207130.1,7.0,6.0,0.0,10.0,5.0,9.0,5.0,6.0,6.0,7.0,10.0
ENSG00000233276.3,9.0,11.0,10.0,0.0,7.0,10.0,8.0,9.0,9.0,7.0,13.0
ENSG00000252810.1,6.0,6.0,5.0,7.0,0.0,8.0,7.0,6.0,6.0,21.0,9.0
ENSG00000239855.1,7.0,8.0,9.0,10.0,8.0,0.0,7.0,8.0,10.0,7.0,11.0
ENSG00000202111.1,8.0,6.0,5.0,8.0,7.0,7.0,0.0,6.0,6.0,5.0,9.0
ENSG00000208036.1,6.0,7.0,6.0,9.0,6.0,8.0,6.0,0.0,5.0,5.0,13.0
ENSG00000280857.1,5.0,31.0,6.0,9.0,6.0,10.0,6.0,5.0,0.0,5.0,11.0
ENSG00000222170.1,7.0,5.0,7.0,7.0,21.0,7.0,5.0,5.0,5.0,0.0,9.0
ENSG00000205426.10,10.0,9.0,10.0,13.0,9.0,11.0,9.0,13.0,11.0,9.0,0.0
