,ENSG00000272359.1,ENSG00000266863.2,ENSG00000167083.6,ENSG00000102886.14,ENSG00000200033.1,ENSG00000108518.7,ENSG00000233999.3,ENSG00000207164.1,ENSG00000120129.5,ENSG00000277671.1
ENSG00000272359.1,0.0,6.0,12.0,10.0,5.0,10.0,8.0,6.0,12.0,6.0
ENSG00000266863.2,6.0,0.0,50.0,60.0,10.0,9.0,8.0,7.0,11.0,9.0
ENSG00000167083.6,12.0,50.0,0.0,130.0,11.0,17.0,11.0,13.0,12.0,9.0
ENSG00000102886.14,10.0,60.0,130.0,0.0,12.0,18.0,12.0,9.0,14.0,9.0
ENSG00000200033.1,5.0,10.0,11.0,12.0,0.0,10.0,7.0,6.0,9.0,6.0
ENSG00000108518.7,10.0,9.0,17.0,18.0,10.0,0.0,11.0,8.0,12.0,13.0
ENSG00000233999.3,8.0,8.0,11.0,12.0,7.0,11.0,0.0,7.0,10.0,7.0
ENSG00000207164.1,6.0,7.0,13.0,9.0,6.0,8.0,7.0,0.0,9.0,5.0
ENSG00000120129.5,12.0,11.0,12.0,14.0,9.0,12.0,10.0,9.0,0.0,9.0
ENSG00000277671.1,6.0,9.0,9.0,9.0,6.0,13.0,7.0,5.0,9.0,0.0
