,>ENST00000445338.1,ENSG00000252859.1,>ENST00000491435.2,>ENST00000454716.1,>ENST00000434808.1,>ENST00000416112.2,>ENST00000621922.1,>ENST00000465163.1,>ENST00000495704.1,>ENST00000448875.1,>ENST00000434972.1,ENSG00000252882.1,>ENST00000411924.1,>ENST00000618197.1,>ENST00000603205.1,>ENST00000562517.1,>ENST00000605636.1,>ENST00000597113.1,>ENST00000505076.1,>ENST00000560431.2,>ENST00000415696.1,>ENST00000509466.2,>ENST00000422501.1
>ENST00000445338.1,0.0,8.0,12.0,12.0,9.0,10.0,8.0,9.0,11.0,10.0,11.0,7.0,9.0,8.0,8.0,11.0,12.0,9.0,9.0,8.0,12.0,9.0,10.0
ENSG00000252859.1,8.0,0.0,7.0,8.0,7.0,8.0,8.0,7.0,9.0,6.0,7.0,9.0,8.0,7.0,7.0,8.0,11.0,7.0,8.0,7.0,8.0,11.0,8.0
>ENST00000491435.2,12.0,7.0,0.0,9.0,11.0,10.0,8.0,10.0,10.0,8.0,11.0,10.0,9.0,7.0,9.0,9.0,10.0,8.0,12.0,9.0,11.0,10.0,10.0
>ENST00000454716.1,12.0,8.0,9.0,0.0,9.0,10.0,8.0,8.0,11.0,8.0,13.0,8.0,9.0,8.0,11.0,10.0,10.0,8.0,11.0,10.0,12.0,11.0,10.0
>ENST00000434808.1,9.0,7.0,11.0,9.0,0.0,10.0,7.0,11.0,10.0,7.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,7.0,11.0,8.0,12.0,11.0,9.0
>ENST00000416112.2,10.0,8.0,10.0,10.0,10.0,0.0,10.0,11.0,11.0,8.0,10.0,8.0,9.0,8.0,10.0,10.0,11.0,9.0,11.0,9.0,11.0,10.0,10.0
>ENST00000621922.1,8.0,8.0,8.0,8.0,7.0,10.0,0.0,9.0,9.0,7.0,11.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,11.0,9.0,11.0,8.0,8.0
>ENST00000465163.1,9.0,7.0,10.0,8.0,11.0,11.0,9.0,0.0,11.0,9.0,10.0,6.0,9.0,10.0,10.0,9.0,13.0,9.0,10.0,13.0,10.0,9.0,9.0
>ENST00000495704.1,11.0,9.0,10.0,11.0,10.0,11.0,9.0,11.0,0.0,8.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,13.0,9.0,10.0,10.0,9.0
>ENST00000448875.1,10.0,6.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,0.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,7.0,8.0,7.0,9.0,7.0,9.0
>ENST00000434972.1,11.0,7.0,11.0,13.0,11.0,10.0,11.0,10.0,11.0,9.0,0.0,9.0,9.0,10.0,11.0,10.0,10.0,8.0,12.0,9.0,10.0,11.0,12.0
ENSG00000252882.1,7.0,9.0,10.0,8.0,9.0,8.0,7.0,6.0,9.0,9.0,9.0,0.0,8.0,7.0,9.0,7.0,7.0,6.0,9.0,7.0,8.0,8.0,12.0
>ENST00000411924.1,9.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,0.0,7.0,12.0,8.0,8.0,7.0,10.0,7.0,9.0,8.0,9.0
>ENST00000618197.1,8.0,7.0,7.0,8.0,9.0,8.0,8.0,10.0,10.0,7.0,10.0,7.0,7.0,0.0,9.0,8.0,9.0,7.0,9.0,8.0,12.0,7.0,9.0
>ENST00000603205.1,8.0,7.0,9.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,11.0,9.0,12.0,9.0,0.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,10.0
>ENST00000562517.1,11.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0,7.0,8.0,8.0,10.0,0.0,12.0,8.0,11.0,7.0,11.0,8.0,9.0
>ENST00000605636.1,12.0,11.0,10.0,10.0,9.0,11.0,8.0,13.0,10.0,8.0,10.0,7.0,8.0,9.0,9.0,12.0,0.0,8.0,10.0,9.0,12.0,9.0,12.0
>ENST00000597113.1,9.0,7.0,8.0,8.0,7.0,9.0,8.0,9.0,10.0,7.0,8.0,6.0,7.0,7.0,9.0,8.0,8.0,0.0,9.0,8.0,13.0,10.0,7.0
>ENST00000505076.1,9.0,8.0,12.0,11.0,11.0,11.0,11.0,10.0,13.0,8.0,12.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,0.0,10.0,10.0,9.0,10.0
>ENST00000560431.2,8.0,7.0,9.0,10.0,8.0,9.0,9.0,13.0,9.0,7.0,9.0,7.0,7.0,8.0,9.0,7.0,9.0,8.0,10.0,0.0,11.0,10.0,9.0
>ENST00000415696.1,12.0,8.0,11.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,10.0,8.0,9.0,12.0,11.0,11.0,12.0,13.0,10.0,11.0,0.0,10.0,10.0
>ENST00000509466.2,9.0,11.0,10.0,11.0,11.0,10.0,8.0,9.0,10.0,7.0,11.0,8.0,8.0,7.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,0.0,9.0
>ENST00000422501.1,10.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,12.0,12.0,9.0,9.0,10.0,9.0,12.0,7.0,10.0,9.0,10.0,9.0,0.0
