,>ENST00000622677.1,>ENST00000556903.2,ENSG00000212597.1,>ENST00000430010.1,>ENST00000604597.1,>ENST00000503102.1,>ENST00000605079.1,>ENST00000478982.1,>ENST00000508856.1,>ENST00000497576.1,>ENST00000446871.1,>ENST00000418361.2,>ENST00000504749.1,>ENST00000399158.2,>ENST00000422212.1,>ENST00000556391.1,>ENST00000423330.1,>ENST00000433830.1,>ENST00000514609.6,>ENST00000505943.1
>ENST00000622677.1,0.0,12.0,8.0,12.0,8.0,10.0,9.0,11.0,13.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,11.0,11.0
>ENST00000556903.2,12.0,0.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0
ENSG00000212597.1,8.0,9.0,0.0,8.0,7.0,8.0,6.0,10.0,9.0,9.0,9.0,7.0,7.0,8.0,10.0,7.0,7.0,7.0,8.0,10.0
>ENST00000430010.1,12.0,11.0,8.0,0.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,13.0,11.0
>ENST00000604597.1,8.0,9.0,7.0,9.0,0.0,9.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0
>ENST00000503102.1,10.0,9.0,8.0,9.0,9.0,0.0,9.0,11.0,11.0,9.0,12.0,8.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0
>ENST00000605079.1,9.0,9.0,6.0,10.0,7.0,9.0,0.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,11.0,8.0,7.0,8.0,7.0,11.0
>ENST00000478982.1,11.0,10.0,10.0,10.0,8.0,11.0,9.0,0.0,11.0,9.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,10.0,11.0,11.0
>ENST00000508856.1,13.0,10.0,9.0,11.0,9.0,11.0,8.0,11.0,0.0,10.0,9.0,9.0,10.0,11.0,12.0,10.0,12.0,9.0,9.0,10.0
>ENST00000497576.1,10.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,0.0,8.0,10.0,10.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0
>ENST00000446871.1,10.0,11.0,9.0,11.0,8.0,12.0,9.0,9.0,9.0,8.0,0.0,9.0,11.0,9.0,10.0,8.0,10.0,8.0,8.0,11.0
>ENST00000418361.2,9.0,10.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,0.0,10.0,9.0,10.0,7.0,10.0,9.0,10.0,11.0
>ENST00000504749.1,9.0,12.0,7.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,0.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0
>ENST00000399158.2,8.0,10.0,8.0,9.0,9.0,11.0,8.0,10.0,11.0,8.0,9.0,9.0,10.0,0.0,13.0,8.0,8.0,8.0,9.0,11.0
>ENST00000422212.1,9.0,10.0,10.0,10.0,9.0,10.0,11.0,12.0,12.0,8.0,10.0,10.0,9.0,13.0,0.0,9.0,10.0,11.0,11.0,9.0
>ENST00000556391.1,9.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,7.0,9.0,8.0,9.0,0.0,10.0,7.0,9.0,12.0
>ENST00000423330.1,10.0,10.0,7.0,10.0,8.0,9.0,7.0,9.0,12.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,0.0,9.0,10.0,10.0
>ENST00000433830.1,9.0,10.0,7.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,11.0,7.0,9.0,0.0,9.0,9.0
>ENST00000514609.6,11.0,11.0,8.0,13.0,9.0,9.0,7.0,11.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,0.0,10.0
>ENST00000505943.1,11.0,9.0,10.0,11.0,9.0,9.0,11.0,11.0,10.0,8.0,11.0,11.0,10.0,11.0,9.0,12.0,10.0,9.0,10.0,0.0
