,>ENST00000419265.1,>ENST00000435408.1,>ENST00000514684.1,>ENST00000431457.1,>ENST00000443558.1,>ENST00000375867.4,>ENST00000426062.2,>ENST00000399029.3,>ENST00000548397.1,>ENST00000504828.1,>ENST00000397819.2,>ENST00000557014.1,>ENST00000603022.1,>ENST00000533949.1,>ENST00000561729.1,>ENST00000402215.2,>ENST00000624906.1,>ENST00000444140.1,>ENST00000406055.1,>ENST00000631386.1,>ENST00000538934.1,>ENST00000566263.1,>ENST00000434549.1
>ENST00000419265.1,0.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0
>ENST00000435408.1,7.0,0.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,6.0,9.0,8.0,10.0,10.0,9.0
>ENST00000514684.1,9.0,8.0,0.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,8.0,9.0,11.0,9.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0
>ENST00000431457.1,8.0,10.0,9.0,0.0,10.0,8.0,8.0,8.0,8.0,8.0,11.0,8.0,7.0,7.0,9.0,8.0,9.0,6.0,10.0,9.0,8.0,8.0,8.0
>ENST00000443558.1,8.0,9.0,10.0,10.0,0.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0
>ENST00000375867.4,9.0,9.0,9.0,8.0,8.0,0.0,11.0,9.0,11.0,10.0,11.0,11.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0
>ENST00000426062.2,9.0,10.0,9.0,8.0,8.0,11.0,0.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,13.0,10.0,8.0,10.0,9.0
>ENST00000399029.3,8.0,9.0,9.0,8.0,10.0,9.0,9.0,0.0,9.0,10.0,11.0,8.0,11.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,11.0
>ENST00000548397.1,8.0,9.0,11.0,8.0,9.0,11.0,9.0,9.0,0.0,9.0,9.0,7.0,8.0,8.0,11.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0
>ENST00000504828.1,9.0,10.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,0.0,10.0,11.0,11.0,10.0,9.0,9.0,13.0,10.0,9.0,11.0,10.0,9.0,11.0
>ENST00000397819.2,9.0,10.0,10.0,11.0,9.0,11.0,9.0,11.0,9.0,10.0,0.0,14.0,10.0,11.0,8.0,11.0,9.0,10.0,11.0,9.0,11.0,11.0,10.0
>ENST00000557014.1,8.0,8.0,8.0,8.0,9.0,11.0,8.0,8.0,7.0,11.0,14.0,0.0,9.0,8.0,8.0,11.0,11.0,7.0,9.0,8.0,9.0,8.0,10.0
>ENST00000603022.1,7.0,9.0,9.0,7.0,9.0,9.0,8.0,11.0,8.0,11.0,10.0,9.0,0.0,8.0,7.0,12.0,12.0,8.0,10.0,8.0,8.0,11.0,10.0
>ENST00000533949.1,9.0,8.0,11.0,7.0,8.0,9.0,8.0,10.0,8.0,10.0,11.0,8.0,8.0,0.0,8.0,9.0,10.0,8.0,11.0,8.0,10.0,8.0,9.0
>ENST00000561729.1,8.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,11.0,9.0,8.0,8.0,7.0,8.0,0.0,9.0,9.0,8.0,8.0,10.0,10.0,7.0,9.0
>ENST00000402215.2,8.0,9.0,11.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,11.0,12.0,9.0,9.0,0.0,10.0,9.0,11.0,8.0,11.0,10.0,10.0
>ENST00000624906.1,10.0,8.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,13.0,9.0,11.0,12.0,10.0,9.0,10.0,0.0,9.0,10.0,11.0,10.0,9.0,61.0
>ENST00000444140.1,9.0,6.0,9.0,6.0,8.0,8.0,7.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,9.0,9.0,0.0,7.0,10.0,7.0,9.0,8.0
>ENST00000406055.1,8.0,9.0,10.0,10.0,8.0,10.0,13.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,8.0,11.0,10.0,7.0,0.0,8.0,8.0,12.0,11.0
>ENST00000631386.1,8.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,11.0,9.0,8.0,8.0,8.0,10.0,8.0,11.0,10.0,8.0,0.0,9.0,9.0,10.0
>ENST00000538934.1,10.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0,10.0,11.0,9.0,8.0,10.0,10.0,11.0,10.0,7.0,8.0,9.0,0.0,9.0,10.0
>ENST00000566263.1,9.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,11.0,8.0,11.0,8.0,7.0,10.0,9.0,9.0,12.0,9.0,9.0,0.0,10.0
>ENST00000434549.1,9.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,61.0,8.0,11.0,10.0,10.0,10.0,0.0
