,>ENST00000441913.1,>ENST00000578759.1,>ENST00000579375.1,>ENST00000438455.2,>ENST00000474922.2,>ENST00000434488.2,>ENST00000431872.1,>ENST00000561418.2,>ENST00000547875.1,>ENST00000521497.2,>ENST00000601728.1,>ENST00000511619.2,>ENST00000454643.1,>ENST00000448334.1,>ENST00000526389.1,>ENST00000579307.2,>ENST00000555494.2,>ENST00000443589.1,>ENST00000542513.1,>ENST00000431935.2
>ENST00000441913.1,0.0,11.0,9.0,10.0,8.0,7.0,10.0,9.0,12.0,10.0,10.0,11.0,10.0,10.0,6.0,8.0,10.0,8.0,9.0,9.0
>ENST00000578759.1,11.0,0.0,10.0,16.0,9.0,10.0,12.0,12.0,10.0,9.0,10.0,11.0,10.0,11.0,8.0,10.0,11.0,11.0,10.0,12.0
>ENST00000579375.1,9.0,10.0,0.0,10.0,10.0,9.0,11.0,10.0,11.0,7.0,10.0,11.0,11.0,8.0,7.0,10.0,10.0,8.0,9.0,9.0
>ENST00000438455.2,10.0,16.0,10.0,0.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,12.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,11.0
>ENST00000474922.2,8.0,9.0,10.0,10.0,0.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,11.0,9.0,8.0,7.0,8.0,9.0,7.0,7.0
>ENST00000434488.2,7.0,10.0,9.0,11.0,9.0,0.0,12.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,10.0,11.0,9.0,10.0,9.0
>ENST00000431872.1,10.0,12.0,11.0,11.0,10.0,12.0,0.0,8.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,10.0,12.0,10.0
>ENST00000561418.2,9.0,12.0,10.0,9.0,8.0,8.0,8.0,0.0,9.0,9.0,13.0,7.0,10.0,9.0,11.0,7.0,9.0,7.0,9.0,9.0
>ENST00000547875.1,12.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,0.0,12.0,12.0,9.0,10.0,12.0,8.0,8.0,9.0,8.0,10.0,9.0
>ENST00000521497.2,10.0,9.0,7.0,10.0,8.0,9.0,9.0,9.0,12.0,0.0,9.0,8.0,10.0,8.0,12.0,7.0,10.0,9.0,9.0,8.0
>ENST00000601728.1,10.0,10.0,10.0,10.0,10.0,9.0,10.0,13.0,12.0,9.0,0.0,10.0,11.0,9.0,8.0,9.0,11.0,10.0,10.0,12.0
>ENST00000511619.2,11.0,11.0,11.0,12.0,9.0,8.0,10.0,7.0,9.0,8.0,10.0,0.0,10.0,11.0,8.0,8.0,10.0,9.0,9.0,10.0
>ENST00000454643.1,10.0,10.0,11.0,10.0,11.0,8.0,11.0,10.0,10.0,10.0,11.0,10.0,0.0,11.0,8.0,9.0,11.0,10.0,9.0,10.0
>ENST00000448334.1,10.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0,12.0,8.0,9.0,11.0,11.0,0.0,7.0,8.0,8.0,9.0,11.0,9.0
>ENST00000526389.1,6.0,8.0,7.0,8.0,8.0,8.0,10.0,11.0,8.0,12.0,8.0,8.0,8.0,7.0,0.0,7.0,8.0,7.0,7.0,7.0
>ENST00000579307.2,8.0,10.0,10.0,10.0,7.0,10.0,10.0,7.0,8.0,7.0,9.0,8.0,9.0,8.0,7.0,0.0,8.0,9.0,7.0,10.0
>ENST00000555494.2,10.0,11.0,10.0,10.0,8.0,11.0,12.0,9.0,9.0,10.0,11.0,10.0,11.0,8.0,8.0,8.0,0.0,8.0,10.0,9.0
>ENST00000443589.1,8.0,11.0,8.0,10.0,9.0,9.0,10.0,7.0,8.0,9.0,10.0,9.0,10.0,9.0,7.0,9.0,8.0,0.0,9.0,9.0
>ENST00000542513.1,9.0,10.0,9.0,10.0,7.0,10.0,12.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,7.0,7.0,10.0,9.0,0.0,9.0
>ENST00000431935.2,9.0,12.0,9.0,11.0,7.0,9.0,10.0,9.0,9.0,8.0,12.0,10.0,10.0,9.0,7.0,10.0,9.0,9.0,9.0,0.0
