,>ENST00000448133.1,ENSG00000281059.1,ENSG00000241243.3,ENSG00000198914.2,>ENST00000444896.1,>ENST00000437312.1,>ENST00000439477.1,>ENST00000567319.1,>ENST00000554847.1,>ENST00000433994.1,>ENST00000461747.2,>ENST00000614661.1,ENSG00000182187.3,>ENST00000616954.1,>ENST00000604515.1,>ENST00000398171.3,>ENST00000489699.2,ENSG00000201674.2,>ENST00000529697.1,>ENST00000460682.1,>ENST00000517692.2,>ENST00000439970.1,>ENST00000603676.1,>ENST00000549005.1,>ENST00000423650.1,>ENST00000456716.1,>ENST00000604136.1,>ENST00000443746.1,>ENST00000431233.1,>ENST00000434170.1,>ENST00000534639.1,>ENST00000399124.6,>ENST00000526238.1,>ENST00000414953.1,>ENST00000621992.1,>ENST00000426028.2,>ENST00000509729.3
>ENST00000448133.1,0.0,8.0,9.0,10.0,12.0,10.0,9.0,11.0,11.0,9.0,11.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,11.0,9.0,10.0,10.0,9.0,10.0,13.0,10.0,11.0,11.0,10.0,13.0,9.0,11.0,10.0
ENSG00000281059.1,8.0,0.0,7.0,10.0,9.0,9.0,8.0,8.0,7.0,6.0,8.0,6.0,8.0,8.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,5.0,7.0,9.0,7.0,8.0,7.0,6.0,6.0,6.0,8.0,9.0
ENSG00000241243.3,9.0,7.0,0.0,10.0,9.0,7.0,7.0,12.0,8.0,10.0,8.0,7.0,16.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,13.0,9.0,10.0,8.0,8.0,15.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,11.0,8.0,8.0,9.0
ENSG00000198914.2,10.0,10.0,10.0,0.0,10.0,12.0,11.0,11.0,11.0,10.0,10.0,9.0,13.0,10.0,13.0,11.0,11.0,11.0,13.0,11.0,12.0,12.0,11.0,12.0,11.0,13.0,12.0,15.0,11.0,12.0,12.0,16.0,10.0,11.0,15.0,13.0,13.0
>ENST00000444896.1,12.0,9.0,9.0,10.0,0.0,12.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,13.0,9.0,12.0,9.0,10.0,10.0,8.0,8.0,10.0,11.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,11.0
>ENST00000437312.1,10.0,9.0,7.0,12.0,12.0,0.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,8.0,10.0,7.0,9.0,10.0,9.0,12.0,10.0,10.0,7.0,8.0,10.0,10.0
>ENST00000439477.1,9.0,8.0,7.0,11.0,10.0,9.0,0.0,8.0,9.0,10.0,11.0,8.0,10.0,9.0,8.0,8.0,7.0,10.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,7.0,9.0,9.0,9.0,11.0,10.0,7.0,8.0,7.0,11.0,10.0
>ENST00000567319.1,11.0,8.0,12.0,11.0,11.0,8.0,8.0,0.0,10.0,9.0,10.0,6.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,13.0,8.0,10.0,10.0
>ENST00000554847.1,11.0,7.0,8.0,11.0,10.0,10.0,9.0,10.0,0.0,9.0,9.0,10.0,10.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,8.0,10.0,9.0,7.0,11.0,9.0,8.0,13.0,10.0,9.0,9.0,12.0,14.0,12.0
>ENST00000433994.1,9.0,6.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,0.0,9.0,8.0,10.0,8.0,9.0,10.0,8.0,12.0,11.0,8.0,9.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,11.0
>ENST00000461747.2,11.0,8.0,8.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,0.0,7.0,12.0,12.0,10.0,9.0,9.0,8.0,13.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,11.0,10.0,9.0,9.0,12.0,10.0
>ENST00000614661.1,9.0,6.0,7.0,9.0,9.0,9.0,8.0,6.0,10.0,8.0,7.0,0.0,10.0,7.0,9.0,7.0,7.0,6.0,9.0,7.0,8.0,7.0,8.0,7.0,6.0,8.0,6.0,7.0,7.0,8.0,9.0,7.0,7.0,6.0,7.0,9.0,8.0
ENSG00000182187.3,11.0,8.0,16.0,13.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,0.0,9.0,12.0,10.0,9.0,10.0,18.0,11.0,102.0,11.0,14.0,11.0,9.0,71.0,8.0,9.0,11.0,9.0,12.0,12.0,10.0,10.0,10.0,11.0,12.0
>ENST00000616954.1,10.0,8.0,9.0,10.0,13.0,9.0,9.0,10.0,9.0,8.0,12.0,7.0,9.0,0.0,11.0,15.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,7.0,8.0,8.0,10.0,9.0
>ENST00000604515.1,9.0,7.0,8.0,13.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,12.0,11.0,0.0,11.0,11.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,11.0,12.0
>ENST00000398171.3,9.0,7.0,9.0,11.0,12.0,10.0,8.0,11.0,12.0,10.0,9.0,7.0,10.0,15.0,11.0,0.0,10.0,11.0,13.0,8.0,11.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,11.0,10.0,8.0,10.0,11.0,11.0
>ENST00000489699.2,10.0,7.0,9.0,11.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,11.0,10.0,0.0,8.0,11.0,11.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0
ENSG00000201674.2,9.0,9.0,7.0,11.0,10.0,9.0,10.0,9.0,10.0,12.0,8.0,6.0,10.0,9.0,10.0,11.0,8.0,0.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,10.0,10.0,8.0,7.0,7.0,10.0,10.0
>ENST00000529697.1,10.0,8.0,9.0,13.0,10.0,10.0,10.0,10.0,10.0,11.0,13.0,9.0,18.0,10.0,11.0,13.0,11.0,9.0,0.0,10.0,22.0,10.0,12.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,12.0,11.0,18.0
>ENST00000460682.1,9.0,7.0,8.0,11.0,8.0,11.0,8.0,9.0,9.0,8.0,9.0,7.0,11.0,8.0,9.0,8.0,11.0,9.0,10.0,0.0,8.0,8.0,10.0,8.0,7.0,10.0,6.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0
>ENST00000517692.2,10.0,7.0,13.0,12.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,102.0,9.0,10.0,11.0,9.0,10.0,22.0,8.0,0.0,10.0,12.0,10.0,9.0,13.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0
>ENST00000439970.1,12.0,7.0,9.0,12.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,7.0,11.0,9.0,11.0,9.0,9.0,10.0,10.0,8.0,10.0,0.0,9.0,9.0,8.0,11.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0
>ENST00000603676.1,11.0,8.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0,8.0,14.0,9.0,10.0,10.0,10.0,9.0,12.0,10.0,12.0,9.0,0.0,10.0,10.0,12.0,8.0,10.0,13.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,12.0
>ENST00000549005.1,9.0,8.0,8.0,12.0,10.0,10.0,9.0,8.0,8.0,8.0,10.0,7.0,11.0,10.0,9.0,11.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,0.0,9.0,8.0,11.0,8.0,11.0,9.0,11.0,10.0,12.0,8.0,9.0,10.0,15.0
>ENST00000423650.1,10.0,7.0,8.0,11.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,6.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,10.0,9.0,0.0,10.0,7.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0
>ENST00000456716.1,10.0,8.0,15.0,13.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,71.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,13.0,11.0,12.0,8.0,10.0,0.0,11.0,14.0,10.0,9.0,9.0,12.0,9.0,11.0,11.0,11.0,11.0
>ENST00000604136.1,9.0,5.0,9.0,12.0,8.0,7.0,7.0,7.0,7.0,9.0,9.0,6.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,6.0,9.0,8.0,8.0,11.0,7.0,11.0,0.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0
>ENST00000443746.1,10.0,7.0,9.0,15.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,14.0,7.0,0.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,15.0,9.0
>ENST00000431233.1,13.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,11.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,13.0,11.0,9.0,10.0,8.0,10.0,0.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0
>ENST00000434170.1,10.0,7.0,10.0,12.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,10.0,8.0,0.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0
>ENST00000534639.1,11.0,8.0,10.0,12.0,11.0,12.0,11.0,10.0,13.0,9.0,9.0,9.0,12.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,11.0,11.0,9.0,9.0,7.0,9.0,10.0,9.0,0.0,12.0,9.0,10.0,9.0,10.0,12.0
>ENST00000399124.6,11.0,7.0,10.0,16.0,11.0,10.0,10.0,9.0,10.0,9.0,11.0,7.0,12.0,10.0,11.0,11.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,8.0,12.0,8.0,10.0,10.0,10.0,12.0,0.0,10.0,10.0,10.0,12.0,10.0
>ENST00000526238.1,10.0,6.0,8.0,10.0,10.0,10.0,7.0,9.0,9.0,10.0,10.0,7.0,10.0,7.0,10.0,10.0,8.0,8.0,11.0,8.0,10.0,9.0,10.0,12.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,0.0,9.0,8.0,10.0,9.0
>ENST00000414953.1,13.0,6.0,11.0,11.0,9.0,7.0,8.0,13.0,9.0,9.0,9.0,6.0,10.0,8.0,9.0,8.0,9.0,7.0,10.0,9.0,11.0,9.0,9.0,8.0,9.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0,9.0,0.0,10.0,11.0,9.0
>ENST00000621992.1,9.0,6.0,8.0,15.0,10.0,8.0,7.0,8.0,12.0,8.0,9.0,7.0,10.0,8.0,9.0,10.0,10.0,7.0,12.0,8.0,10.0,10.0,10.0,9.0,9.0,11.0,7.0,8.0,10.0,9.0,9.0,10.0,8.0,10.0,0.0,9.0,9.0
>ENST00000426028.2,11.0,8.0,8.0,13.0,10.0,10.0,11.0,10.0,14.0,10.0,12.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,11.0,8.0,15.0,9.0,9.0,10.0,12.0,10.0,11.0,9.0,0.0,11.0
>ENST00000509729.3,10.0,9.0,9.0,13.0,11.0,10.0,10.0,10.0,12.0,11.0,10.0,8.0,12.0,9.0,12.0,11.0,10.0,10.0,18.0,8.0,11.0,9.0,12.0,15.0,9.0,11.0,8.0,9.0,10.0,10.0,12.0,10.0,9.0,9.0,9.0,11.0,0.0
