,>ENST00000433998.1,>ENST00000433549.1,>ENST00000559487.2,>ENST00000451924.1,>ENST00000541031.1,>ENST00000555161.1,>ENST00000503954.1,>ENST00000615886.1,>ENST00000454684.1,>ENST00000428697.1,>ENST00000429867.2,>ENST00000482450.2,>ENST00000466297.1,>ENST00000413902.2,>ENST00000530524.1,>ENST00000616895.1,>ENST00000454107.1,>ENST00000477507.1,>ENST00000532665.1,>ENST00000426657.1,>ENST00000595195.1,>ENST00000449051.3,>ENST00000310599.3,>ENST00000605188.1,>ENST00000426806.1,>ENST00000440219.1,>ENST00000504752.2,>ENST00000588436.1,>ENST00000445714.1,>ENST00000529891.1,>ENST00000444513.2,>ENST00000441935.1,>ENST00000423198.1,>ENST00000578589.1
>ENST00000433998.1,0.0,8.0,9.0,9.0,10.0,10.0,10.0,12.0,12.0,9.0,8.0,8.0,10.0,12.0,10.0,10.0,9.0,11.0,9.0,8.0,10.0,11.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,9.0,7.0,8.0,10.0
>ENST00000433549.1,8.0,0.0,8.0,9.0,10.0,8.0,8.0,7.0,9.0,8.0,8.0,6.0,8.0,11.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,7.0,11.0,7.0,10.0,9.0,8.0,8.0,7.0,9.0,8.0
>ENST00000559487.2,9.0,8.0,0.0,9.0,9.0,9.0,12.0,11.0,10.0,10.0,9.0,7.0,8.0,11.0,10.0,7.0,9.0,11.0,8.0,9.0,13.0,8.0,10.0,10.0,9.0,8.0,12.0,8.0,9.0,8.0,9.0,8.0,12.0,10.0
>ENST00000451924.1,9.0,9.0,9.0,0.0,9.0,9.0,8.0,10.0,11.0,11.0,8.0,9.0,10.0,12.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,9.0,10.0,8.0,10.0
>ENST00000541031.1,10.0,10.0,9.0,9.0,0.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,12.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,8.0,12.0
>ENST00000555161.1,10.0,8.0,9.0,9.0,8.0,0.0,9.0,9.0,10.0,12.0,9.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,13.0,8.0,12.0,9.0,9.0,11.0
>ENST00000503954.1,10.0,8.0,12.0,8.0,8.0,9.0,0.0,9.0,11.0,12.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,8.0,10.0,10.0
>ENST00000615886.1,12.0,7.0,11.0,10.0,10.0,9.0,9.0,0.0,11.0,12.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0,13.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,7.0,9.0,10.0
>ENST00000454684.1,12.0,9.0,10.0,11.0,10.0,10.0,11.0,11.0,0.0,11.0,9.0,10.0,10.0,9.0,11.0,8.0,12.0,10.0,10.0,9.0,14.0,9.0,11.0,10.0,10.0,10.0,12.0,10.0,10.0,13.0,11.0,13.0,10.0,10.0
>ENST00000428697.1,9.0,8.0,10.0,11.0,9.0,12.0,12.0,12.0,11.0,0.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,12.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,13.0
>ENST00000429867.2,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,8.0,8.0,10.0,11.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,12.0
>ENST00000482450.2,8.0,6.0,7.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,0.0,8.0,8.0,11.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,10.0,6.0,8.0,7.0,10.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0
>ENST00000466297.1,10.0,8.0,8.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,0.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,11.0,10.0,8.0,8.0,10.0,9.0,11.0,10.0,8.0,10.0,9.0,8.0,8.0,9.0
>ENST00000413902.2,12.0,11.0,11.0,12.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,0.0,10.0,9.0,11.0,10.0,10.0,9.0,12.0,9.0,10.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,11.0
>ENST00000530524.1,10.0,8.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,0.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,11.0,10.0,11.0,10.0,9.0,9.0,11.0,12.0,10.0,10.0
>ENST00000616895.1,10.0,10.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,11.0,0.0,8.0,9.0,9.0,8.0,9.0,9.0,25.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0
>ENST00000454107.1,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,12.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,0.0,8.0,9.0,9.0,12.0,11.0,8.0,10.0,7.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0
>ENST00000477507.1,11.0,8.0,11.0,9.0,12.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,8.0,0.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0
>ENST00000532665.1,9.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,0.0,10.0,11.0,13.0,10.0,10.0,8.0,11.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0
>ENST00000426657.1,8.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,0.0,11.0,12.0,9.0,12.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0
>ENST00000595195.1,10.0,9.0,13.0,10.0,10.0,10.0,10.0,13.0,14.0,12.0,10.0,8.0,11.0,12.0,11.0,9.0,12.0,9.0,11.0,11.0,0.0,11.0,12.0,8.0,10.0,11.0,13.0,9.0,10.0,9.0,10.0,9.0,9.0,12.0
>ENST00000449051.3,11.0,11.0,8.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,11.0,9.0,13.0,12.0,11.0,0.0,11.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0,10.0,8.0,10.0
>ENST00000310599.3,10.0,9.0,10.0,10.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,8.0,10.0,10.0,25.0,8.0,10.0,10.0,9.0,12.0,11.0,0.0,9.0,11.0,12.0,9.0,9.0,10.0,10.0,9.0,7.0,9.0,9.0
