,ENSG00000252858.1,ENSG00000167822.1,ENSG00000199764.1,ENSG00000188379.6,ENSG00000243854.3,ENSG00000206603.1,ENSG00000223006.1,ENSG00000278457.1,ENSG00000182742.5,ENSG00000277305.1
ENSG00000252858.1,0.0,7.0,6.0,8.0,7.0,6.0,7.0,8.0,10.0,8.0
ENSG00000167822.1,7.0,0.0,7.0,10.0,8.0,8.0,8.0,7.0,12.0,10.0
ENSG00000199764.1,6.0,7.0,0.0,7.0,8.0,7.0,8.0,6.0,11.0,6.0
ENSG00000188379.6,8.0,10.0,7.0,0.0,9.0,10.0,13.0,7.0,12.0,9.0
ENSG00000243854.3,7.0,8.0,8.0,9.0,0.0,8.0,8.0,6.0,10.0,6.0
ENSG00000206603.1,6.0,8.0,7.0,10.0,8.0,0.0,8.0,6.0,9.0,9.0
ENSG00000223006.1,7.0,8.0,8.0,13.0,8.0,8.0,0.0,8.0,10.0,7.0
ENSG00000278457.1,8.0,7.0,6.0,7.0,6.0,6.0,8.0,0.0,9.0,7.0
ENSG00000182742.5,10.0,12.0,11.0,12.0,10.0,9.0,10.0,9.0,0.0,8.0
ENSG00000277305.1,8.0,10.0,6.0,9.0,6.0,9.0,7.0,7.0,8.0,0.0
