,ENSG00000131097.6,ENSG00000198932.12,ENSG00000272617.1,ENSG00000173389.15,ENSG00000252277.1,ENSG00000275529.1,ENSG00000253077.1,ENSG00000204228.3,ENSG00000268651.2,ENSG00000222586.1,ENSG00000130717.12,ENSG00000124593.14,ENSG00000258713.2,ENSG00000221869.4,ENSG00000221466.2,ENSG00000200422.1,ENSG00000201382.1,ENSG00000221809.1,ENSG00000277329.1
ENSG00000131097.6,0.0,17.0,91.0,14.0,13.0,10.0,9.0,15.0,14.0,10.0,42.0,91.0,13.0,12.0,8.0,9.0,9.0,9.0,8.0
ENSG00000198932.12,17.0,0.0,15.0,13.0,13.0,9.0,9.0,15.0,11.0,9.0,13.0,14.0,12.0,13.0,9.0,10.0,11.0,12.0,9.0
ENSG00000272617.1,91.0,15.0,0.0,15.0,13.0,8.0,9.0,12.0,11.0,9.0,59.0,166.0,12.0,15.0,9.0,9.0,10.0,9.0,12.0
ENSG00000173389.15,14.0,13.0,15.0,0.0,12.0,10.0,10.0,12.0,12.0,8.0,18.0,16.0,15.0,11.0,11.0,10.0,11.0,11.0,10.0
ENSG00000252277.1,13.0,13.0,13.0,12.0,0.0,13.0,6.0,9.0,7.0,8.0,10.0,12.0,8.0,9.0,6.0,6.0,7.0,7.0,5.0
ENSG00000275529.1,10.0,9.0,8.0,10.0,13.0,0.0,7.0,8.0,7.0,5.0,10.0,10.0,7.0,9.0,6.0,7.0,6.0,7.0,6.0
ENSG00000253077.1,9.0,9.0,9.0,10.0,6.0,7.0,0.0,8.0,8.0,7.0,11.0,11.0,10.0,8.0,6.0,6.0,5.0,7.0,8.0
ENSG00000204228.3,15.0,15.0,12.0,12.0,9.0,8.0,8.0,0.0,11.0,8.0,12.0,13.0,13.0,12.0,8.0,8.0,8.0,11.0,8.0
ENSG00000268651.2,14.0,11.0,11.0,12.0,7.0,7.0,8.0,11.0,0.0,7.0,14.0,12.0,13.0,12.0,7.0,8.0,8.0,8.0,7.0
ENSG00000222586.1,10.0,9.0,9.0,8.0,8.0,5.0,7.0,8.0,7.0,0.0,9.0,10.0,6.0,7.0,27.0,9.0,6.0,34.0,23.0
ENSG00000130717.12,42.0,13.0,59.0,18.0,10.0,10.0,11.0,12.0,14.0,9.0,0.0,63.0,12.0,12.0,8.0,9.0,9.0,10.0,8.0
ENSG00000124593.14,91.0,14.0,166.0,16.0,12.0,10.0,11.0,13.0,12.0,10.0,63.0,0.0,11.0,12.0,10.0,8.0,9.0,13.0,9.0
ENSG00000258713.2,13.0,12.0,12.0,15.0,8.0,7.0,10.0,13.0,13.0,6.0,12.0,11.0,0.0,12.0,7.0,7.0,7.0,7.0,7.0
ENSG00000221869.4,12.0,13.0,15.0,11.0,9.0,9.0,8.0,12.0,12.0,7.0,12.0,12.0,12.0,0.0,8.0,8.0,8.0,13.0,7.0
ENSG00000221466.2,8.0,9.0,9.0,11.0,6.0,6.0,6.0,8.0,7.0,27.0,8.0,10.0,7.0,8.0,0.0,9.0,7.0,37.0,46.0
ENSG00000200422.1,9.0,10.0,9.0,10.0,6.0,7.0,6.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,0.0,6.0,9.0,6.0
ENSG00000201382.1,9.0,11.0,10.0,11.0,7.0,6.0,5.0,8.0,8.0,6.0,9.0,9.0,7.0,8.0,7.0,6.0,0.0,7.0,6.0
ENSG00000221809.1,9.0,12.0,9.0,11.0,7.0,7.0,7.0,11.0,8.0,34.0,10.0,13.0,7.0,13.0,37.0,9.0,7.0,0.0,20.0
ENSG00000277329.1,8.0,9.0,12.0,10.0,5.0,6.0,8.0,8.0,7.0,23.0,8.0,9.0,7.0,7.0,46.0,6.0,6.0,20.0,0.0
