,>ENST00000434374.1,>ENST00000621719.1,>ENST00000397065.6,>ENST00000376781.2,>ENST00000439294.1,>ENST00000553953.1,>ENST00000527856.5,>ENST00000588843.1,>ENST00000468292.1,>ENST00000415975.1,>ENST00000532733.1,>ENST00000412942.1,>ENST00000417265.1,>ENST00000603087.1,>ENST00000586960.1,>ENST00000419483.1,>ENST00000455035.1,>ENST00000613695.1,>ENST00000539512.1,>ENST00000614905.1,>ENST00000580149.1,>ENST00000506676.1,>ENST00000423658.1,>ENST00000618994.1,>ENST00000392575.2,>ENST00000635020.1,>ENST00000524504.1,>ENST00000429930.1,>ENST00000460497.1,>ENST00000425846.1
>ENST00000434374.1,0.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0
>ENST00000621719.1,11.0,0.0,12.0,7.0,9.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,7.0,10.0,8.0,10.0,9.0,8.0,8.0,8.0,7.0,9.0,6.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0
>ENST00000397065.6,9.0,12.0,0.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,11.0,11.0
>ENST00000376781.2,9.0,7.0,10.0,0.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,11.0,9.0,9.0,9.0,9.0,7.0,7.0,10.0,8.0,13.0,7.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0
>ENST00000439294.1,10.0,9.0,9.0,8.0,0.0,9.0,8.0,8.0,10.0,11.0,9.0,8.0,7.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0
>ENST00000553953.1,9.0,7.0,10.0,9.0,9.0,0.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0
>ENST00000527856.5,9.0,8.0,10.0,9.0,8.0,9.0,0.0,10.0,10.0,11.0,11.0,9.0,9.0,12.0,10.0,9.0,11.0,8.0,9.0,11.0,10.0,11.0,9.0,9.0,11.0,9.0,10.0,11.0,12.0,10.0
>ENST00000588843.1,9.0,8.0,9.0,7.0,8.0,8.0,10.0,0.0,9.0,8.0,7.0,8.0,7.0,10.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,7.0,8.0,8.0,11.0,10.0,9.0,8.0,8.0
>ENST00000468292.1,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,0.0,9.0,10.0,11.0,9.0,13.0,11.0,10.0,11.0,13.0,10.0,9.0,8.0,12.0,8.0,13.0,10.0,11.0,9.0,10.0,11.0,11.0
>ENST00000415975.1,10.0,8.0,11.0,9.0,11.0,9.0,11.0,8.0,9.0,0.0,10.0,10.0,8.0,9.0,9.0,8.0,11.0,8.0,10.0,8.0,9.0,11.0,11.0,10.0,11.0,9.0,18.0,9.0,10.0,12.0
>ENST00000532733.1,8.0,7.0,9.0,8.0,9.0,9.0,11.0,7.0,10.0,10.0,0.0,10.0,8.0,11.0,11.0,8.0,8.0,8.0,10.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,12.0,8.0,9.0,10.0
>ENST00000412942.1,9.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,11.0,10.0,10.0,0.0,9.0,10.0,11.0,9.0,10.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,11.0,9.0,8.0,9.0,10.0
>ENST00000417265.1,11.0,7.0,10.0,11.0,7.0,10.0,9.0,7.0,9.0,8.0,8.0,9.0,0.0,9.0,8.0,9.0,9.0,8.0,7.0,10.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,11.0,11.0
>ENST00000603087.1,9.0,10.0,9.0,9.0,9.0,9.0,12.0,10.0,13.0,9.0,11.0,10.0,9.0,0.0,9.0,10.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0
>ENST00000586960.1,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,9.0,11.0,11.0,8.0,9.0,0.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0
>ENST00000419483.1,9.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,10.0,8.0,0.0,11.0,9.0,10.0,8.0,8.0,11.0,7.0,10.0,9.0,8.0,9.0,11.0,10.0,12.0
>ENST00000455035.1,10.0,9.0,11.0,9.0,9.0,11.0,11.0,9.0,11.0,11.0,8.0,10.0,9.0,10.0,10.0,11.0,0.0,12.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,12.0,11.0,12.0,10.0,9.0
>ENST00000613695.1,10.0,8.0,11.0,7.0,9.0,9.0,8.0,8.0,13.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,12.0,0.0,8.0,7.0,8.0,9.0,10.0,7.0,7.0,8.0,8.0,7.0,8.0,10.0
>ENST00000539512.1,9.0,8.0,8.0,7.0,9.0,9.0,9.0,7.0,10.0,10.0,10.0,8.0,7.0,8.0,9.0,10.0,9.0,8.0,0.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0
>ENST00000614905.1,9.0,8.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,8.0,7.0,8.0,10.0,11.0,9.0,8.0,10.0,7.0,8.0,0.0,8.0,9.0,8.0,7.0,8.0,10.0,11.0,7.0,8.0,10.0
>ENST00000580149.1,8.0,7.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,0.0,9.0,8.0,7.0,9.0,12.0,8.0,8.0,9.0,9.0
>ENST00000506676.1,10.0,9.0,9.0,13.0,9.0,11.0,11.0,9.0,12.0,11.0,8.0,8.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,9.0
>ENST00000423658.1,10.0,6.0,9.0,7.0,8.0,8.0,9.0,7.0,8.0,11.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,10.0,7.0,8.0,8.0,9.0,0.0,8.0,9.0,10.0,9.0,7.0,8.0,7.0
>ENST00000618994.1,9.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,13.0,10.0,7.0,9.0,8.0,9.0,11.0,10.0,10.0,7.0,9.0,7.0,7.0,9.0,8.0,0.0,8.0,7.0,9.0,10.0,8.0,10.0
>ENST00000392575.2,9.0,8.0,10.0,9.0,9.0,9.0,11.0,8.0,10.0,11.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,10.0,9.0,8.0,0.0,9.0,9.0,9.0,8.0,10.0
>ENST00000635020.1,9.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,11.0,9.0,9.0,10.0,8.0,12.0,8.0,8.0,10.0,12.0,8.0,10.0,7.0,9.0,0.0,8.0,8.0,8.0,9.0
>ENST00000524504.1,11.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,18.0,12.0,9.0,8.0,9.0,9.0,9.0,11.0,8.0,8.0,11.0,8.0,10.0,9.0,9.0,9.0,8.0,0.0,10.0,11.0,10.0
>ENST00000429930.1,9.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,9.0,8.0,8.0,7.0,9.0,9.0,11.0,12.0,7.0,8.0,7.0,8.0,8.0,7.0,10.0,9.0,8.0,10.0,0.0,8.0,9.0
>ENST00000460497.1,9.0,10.0,11.0,9.0,8.0,10.0,12.0,8.0,11.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,10.0,8.0,10.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,11.0,8.0,0.0,9.0
