,>ENST00000419430.1,>ENST00000531444.1,ENSG00000266403.1,ENSG00000280264.1,>ENST00000618795.1,>ENST00000429775.2,>ENST00000449769.1,>ENST00000555893.1,>ENST00000503537.1,>ENST00000403974.6,>ENST00000424708.1,>ENST00000414870.1,>ENST00000442409.1,>ENST00000449048.2,>ENST00000418272.1,>ENST00000432217.1,>ENST00000534518.1,>ENST00000476875.1,ENSG00000170782.3,>ENST00000465971.1,>ENST00000566967.1,>ENST00000488297.2,>ENST00000600015.1
>ENST00000419430.1,0.0,10.0,8.0,9.0,9.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0,9.0,12.0,11.0,9.0,9.0,11.0,11.0,9.0,12.0,9.0,11.0
>ENST00000531444.1,10.0,0.0,8.0,10.0,13.0,9.0,10.0,11.0,11.0,10.0,11.0,9.0,10.0,11.0,12.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0
ENSG00000266403.1,8.0,8.0,0.0,7.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,9.0,6.0,9.0,9.0,7.0,8.0,6.0,7.0,7.0,6.0,8.0,7.0
ENSG00000280264.1,9.0,10.0,7.0,0.0,12.0,7.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,11.0,9.0,9.0,8.0,8.0
>ENST00000618795.1,9.0,13.0,7.0,12.0,0.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,12.0,8.0,10.0,10.0,7.0,7.0,8.0
>ENST00000429775.2,10.0,9.0,8.0,7.0,9.0,0.0,9.0,10.0,11.0,10.0,10.0,9.0,8.0,10.0,12.0,9.0,7.0,9.0,9.0,9.0,8.0,11.0,10.0
>ENST00000449769.1,11.0,10.0,9.0,10.0,8.0,9.0,0.0,10.0,10.0,10.0,9.0,12.0,11.0,12.0,10.0,10.0,9.0,8.0,10.0,11.0,10.0,10.0,10.0
>ENST00000555893.1,10.0,11.0,8.0,8.0,10.0,10.0,10.0,0.0,11.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,8.0,9.0,18.0,10.0,8.0,9.0,10.0
>ENST00000503537.1,10.0,11.0,7.0,9.0,11.0,11.0,10.0,11.0,0.0,11.0,10.0,11.0,10.0,12.0,14.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0
>ENST00000403974.6,11.0,10.0,7.0,9.0,10.0,10.0,10.0,10.0,11.0,0.0,11.0,9.0,10.0,10.0,13.0,12.0,10.0,9.0,10.0,11.0,11.0,11.0,9.0
>ENST00000424708.1,9.0,11.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,0.0,11.0,9.0,10.0,11.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,11.0
>ENST00000414870.1,10.0,9.0,9.0,8.0,9.0,9.0,12.0,9.0,11.0,9.0,11.0,0.0,10.0,11.0,11.0,10.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0
>ENST00000442409.1,9.0,10.0,6.0,8.0,8.0,8.0,11.0,10.0,10.0,10.0,9.0,10.0,0.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0
>ENST00000449048.2,12.0,11.0,9.0,9.0,8.0,10.0,12.0,11.0,12.0,10.0,10.0,11.0,9.0,0.0,12.0,10.0,9.0,9.0,10.0,11.0,10.0,11.0,12.0
>ENST00000418272.1,11.0,12.0,9.0,9.0,9.0,12.0,10.0,10.0,14.0,13.0,11.0,11.0,11.0,12.0,0.0,10.0,9.0,11.0,10.0,11.0,11.0,11.0,10.0
>ENST00000432217.1,9.0,9.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,12.0,9.0,10.0,9.0,10.0,10.0,0.0,10.0,8.0,10.0,10.0,11.0,11.0,9.0
>ENST00000534518.1,9.0,10.0,8.0,8.0,12.0,7.0,9.0,8.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,0.0,7.0,9.0,11.0,8.0,9.0,10.0
>ENST00000476875.1,11.0,10.0,6.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,7.0,0.0,8.0,8.0,11.0,9.0,9.0
ENSG00000170782.3,11.0,10.0,7.0,11.0,10.0,9.0,10.0,18.0,11.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,0.0,13.0,9.0,11.0,12.0
>ENST00000465971.1,9.0,11.0,7.0,9.0,10.0,9.0,11.0,10.0,11.0,11.0,10.0,9.0,9.0,11.0,11.0,10.0,11.0,8.0,13.0,0.0,11.0,9.0,9.0
>ENST00000566967.1,12.0,11.0,6.0,9.0,7.0,8.0,10.0,8.0,9.0,11.0,9.0,8.0,10.0,10.0,11.0,11.0,8.0,11.0,9.0,11.0,0.0,9.0,9.0
>ENST00000488297.2,9.0,10.0,8.0,8.0,7.0,11.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0,11.0,11.0,9.0,9.0,11.0,9.0,9.0,0.0,10.0
>ENST00000600015.1,11.0,11.0,7.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,12.0,10.0,9.0,10.0,9.0,12.0,9.0,9.0,10.0,0.0
