,>ENST00000412545.1,>ENST00000549333.2,>ENST00000463521.1,>ENST00000528172.1,>ENST00000442866.1,>ENST00000447385.1,>ENST00000603753.1,>ENST00000407941.1,>ENST00000507042.1,>ENST00000502277.1,>ENSTR0000412936.6,>ENST00000623991.1,>ENST00000417829.1,>ENST00000609561.1,>ENST00000531740.1,>ENST00000398758.2,>ENST00000427139.1,>ENST00000483219.1,>ENST00000527151.2
>ENST00000412545.1,0.0,9.0,8.0,10.0,7.0,12.0,10.0,9.0,7.0,14.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0
>ENST00000549333.2,9.0,0.0,10.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0
>ENST00000463521.1,8.0,10.0,0.0,10.0,8.0,10.0,8.0,8.0,7.0,9.0,11.0,13.0,8.0,11.0,8.0,8.0,11.0,9.0,9.0
>ENST00000528172.1,10.0,8.0,10.0,0.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0
>ENST00000442866.1,7.0,8.0,8.0,10.0,0.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,7.0,9.0
>ENST00000447385.1,12.0,7.0,10.0,10.0,7.0,0.0,8.0,11.0,7.0,11.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0
>ENST00000603753.1,10.0,9.0,8.0,9.0,8.0,8.0,0.0,9.0,8.0,8.0,13.0,9.0,8.0,7.0,9.0,7.0,9.0,10.0,8.0
>ENST00000407941.1,9.0,8.0,8.0,11.0,8.0,11.0,9.0,0.0,7.0,10.0,10.0,12.0,12.0,10.0,9.0,8.0,9.0,9.0,9.0
>ENST00000507042.1,7.0,9.0,7.0,10.0,8.0,7.0,8.0,7.0,0.0,11.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0
>ENST00000502277.1,14.0,9.0,9.0,10.0,8.0,11.0,8.0,10.0,11.0,0.0,9.0,9.0,9.0,13.0,7.0,10.0,9.0,9.0,9.0
>ENSTR0000412936.6,9.0,11.0,11.0,11.0,9.0,8.0,13.0,10.0,8.0,9.0,0.0,9.0,9.0,11.0,8.0,10.0,10.0,10.0,15.0
>ENST00000623991.1,8.0,8.0,13.0,11.0,9.0,8.0,9.0,12.0,8.0,9.0,9.0,0.0,10.0,15.0,9.0,9.0,9.0,9.0,9.0
>ENST00000417829.1,9.0,9.0,8.0,8.0,8.0,8.0,8.0,12.0,8.0,9.0,9.0,10.0,0.0,8.0,9.0,8.0,10.0,9.0,9.0
>ENST00000609561.1,8.0,10.0,11.0,9.0,10.0,9.0,7.0,10.0,9.0,13.0,11.0,15.0,8.0,0.0,9.0,10.0,9.0,9.0,10.0
>ENST00000531740.1,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,0.0,8.0,7.0,10.0,8.0
>ENST00000398758.2,9.0,9.0,8.0,10.0,9.0,9.0,7.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,8.0,0.0,9.0,10.0,10.0
>ENST00000427139.1,8.0,11.0,11.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,7.0,9.0,0.0,9.0,9.0
>ENST00000483219.1,10.0,9.0,9.0,10.0,7.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,0.0,9.0
>ENST00000527151.2,8.0,9.0,9.0,11.0,9.0,8.0,8.0,9.0,10.0,9.0,15.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,0.0
