,>ENST00000433562.1,>ENST00000427723.1,>ENST00000415521.1,>ENST00000604625.1,>ENST00000402553.1,>ENST00000442645.1,>ENST00000432679.1,>ENST00000633500.1,>ENST00000599500.1,>ENST00000423082.1,>ENST00000493820.2,>ENST00000513357.1,>ENST00000526024.1,>ENST00000515431.1,>ENST00000519182.1,>ENST00000406588.1,>ENST00000521105.1,>ENST00000448174.1,>ENST00000441282.1,>ENST00000545370.1,>ENST00000510539.2,>ENST00000471002.2,>ENST00000442824.1,>ENST00000588755.3,>ENST00000547821.2,>ENST00000413849.1,>ENST00000454280.1,>ENST00000605600.2,>ENST00000439168.1,>ENST00000482888.1,>ENST00000549715.1,>ENST00000614178.1,>ENST00000607210.1,>ENST00000435771.1,>ENST00000457129.2,>ENST00000458402.1
>ENST00000433562.1,0.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,11.0,10.0,9.0,11.0,8.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,11.0,12.0,10.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,12.0,9.0
>ENST00000427723.1,9.0,0.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,9.0,11.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0
>ENST00000415521.1,9.0,10.0,0.0,10.0,11.0,10.0,7.0,10.0,9.0,11.0,8.0,10.0,8.0,12.0,10.0,9.0,12.0,11.0,13.0,12.0,10.0,12.0,9.0,10.0,10.0,11.0,11.0,11.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0
>ENST00000604625.1,9.0,9.0,10.0,0.0,10.0,10.0,8.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,10.0,8.0,12.0,11.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0
>ENST00000402553.1,8.0,10.0,11.0,10.0,0.0,9.0,9.0,13.0,7.0,11.0,8.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,8.0,10.0,10.0,9.0,7.0,8.0
>ENST00000442645.1,9.0,9.0,10.0,10.0,9.0,0.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,12.0,9.0,11.0,8.0,12.0,12.0,8.0,10.0,11.0,11.0,10.0,16.0,9.0,12.0
>ENST00000432679.1,7.0,8.0,7.0,8.0,9.0,8.0,0.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,7.0,8.0,7.0,10.0,8.0,8.0,8.0,12.0,8.0,6.0,7.0,8.0,7.0,11.0,7.0,9.0,8.0
>ENST00000633500.1,9.0,9.0,10.0,10.0,13.0,9.0,7.0,0.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,12.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,8.0,10.0
>ENST00000599500.1,11.0,9.0,9.0,9.0,7.0,10.0,8.0,8.0,0.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0,10.0,10.0,12.0,9.0,10.0,8.0,8.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0
>ENST00000423082.1,10.0,11.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,0.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,9.0,12.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,12.0,9.0,11.0
>ENST00000493820.2,9.0,10.0,8.0,11.0,8.0,9.0,8.0,10.0,8.0,9.0,0.0,9.0,8.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0
>ENST00000513357.1,11.0,9.0,10.0,9.0,10.0,9.0,7.0,10.0,9.0,11.0,9.0,0.0,11.0,10.0,11.0,11.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,12.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0
>ENST00000526024.1,8.0,11.0,8.0,10.0,8.0,8.0,7.0,10.0,9.0,9.0,8.0,11.0,0.0,9.0,8.0,9.0,8.0,9.0,11.0,11.0,9.0,10.0,9.0,8.0,7.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,12.0,11.0
>ENST00000515431.1,8.0,10.0,12.0,9.0,10.0,10.0,7.0,10.0,9.0,11.0,10.0,10.0,9.0,0.0,9.0,12.0,8.0,8.0,10.0,10.0,11.0,10.0,11.0,8.0,12.0,10.0,10.0,11.0,7.0,10.0,11.0,9.0,11.0,10.0,10.0,10.0
>ENST00000519182.1,10.0,10.0,10.0,8.0,10.0,9.0,7.0,10.0,9.0,9.0,8.0,11.0,8.0,9.0,0.0,10.0,8.0,8.0,11.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,12.0
>ENST00000406588.1,10.0,10.0,9.0,9.0,8.0,10.0,7.0,10.0,8.0,9.0,10.0,11.0,9.0,12.0,10.0,0.0,8.0,8.0,10.0,11.0,10.0,11.0,9.0,8.0,10.0,9.0,14.0,10.0,8.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0
>ENST00000521105.1,8.0,9.0,12.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,0.0,7.0,9.0,10.0,8.0,7.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0
>ENST00000448174.1,9.0,8.0,11.0,8.0,8.0,10.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,0.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,13.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0
>ENST00000441282.1,9.0,10.0,13.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0,0.0,9.0,11.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0
>ENST00000545370.1,8.0,10.0,12.0,10.0,8.0,10.0,7.0,11.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,8.0,9.0,0.0,10.0,8.0,11.0,9.0,10.0,8.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,12.0
>ENST00000510539.2,10.0,10.0,10.0,9.0,11.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,10.0,8.0,8.0,11.0,10.0,0.0,12.0,10.0,8.0,11.0,9.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0
>ENST00000471002.2,9.0,10.0,12.0,8.0,9.0,9.0,7.0,10.0,8.0,11.0,9.0,8.0,10.0,10.0,7.0,11.0,7.0,8.0,9.0,8.0,12.0,0.0,9.0,8.0,9.0,75.0,10.0,10.0,7.0,10.0,8.0,7.0,8.0,8.0,8.0,9.0
>ENST00000442824.1,8.0,8.0,9.0,9.0,9.0,12.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,0.0,9.0,13.0,9.0,13.0,12.0,7.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0
>ENST00000588755.3,11.0,8.0,10.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,0.0,8.0,9.0,11.0,9.0,7.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0
>ENST00000547821.2,12.0,10.0,10.0,8.0,9.0,11.0,8.0,9.0,12.0,9.0,9.0,9.0,7.0,12.0,10.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,13.0,8.0,0.0,9.0,14.0,10.0,7.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0
>ENST00000413849.1,10.0,9.0,11.0,12.0,9.0,8.0,8.0,9.0,9.0,12.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,75.0,9.0,9.0,9.0,0.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0
>ENST00000454280.1,9.0,11.0,11.0,11.0,9.0,12.0,12.0,12.0,10.0,11.0,10.0,12.0,10.0,10.0,11.0,14.0,10.0,13.0,11.0,10.0,11.0,10.0,13.0,11.0,14.0,10.0,0.0,10.0,10.0,11.0,10.0,11.0,9.0,12.0,10.0,11.0
>ENST00000605600.2,8.0,10.0,11.0,10.0,10.0,12.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,12.0,9.0,10.0,10.0,10.0,0.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0
>ENST00000439168.1,8.0,8.0,8.0,10.0,7.0,8.0,6.0,10.0,8.0,9.0,7.0,8.0,8.0,7.0,8.0,8.0,9.0,7.0,10.0,8.0,8.0,7.0,7.0,7.0,7.0,9.0,10.0,8.0,0.0,7.0,11.0,9.0,7.0,8.0,9.0,7.0
>ENST00000482888.1,9.0,9.0,10.0,10.0,9.0,10.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,11.0,8.0,8.0,9.0,8.0,10.0,10.0,10.0,8.0,10.0,9.0,11.0,9.0,7.0,0.0,8.0,10.0,9.0,11.0,9.0,10.0
>ENST00000549715.1,7.0,10.0,9.0,10.0,8.0,11.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0,11.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,8.0,0.0,8.0,8.0,8.0,10.0,8.0
>ENST00000614178.1,8.0,8.0,10.0,8.0,10.0,11.0,7.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,7.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,10.0,8.0,0.0,8.0,9.0,8.0,8.0
>ENST00000607210.1,9.0,8.0,11.0,8.0,10.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,0.0,11.0,9.0,9.0
>ENST00000435771.1,8.0,9.0,10.0,10.0,9.0,16.0,7.0,10.0,9.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,12.0,8.0,8.0,11.0,8.0,9.0,11.0,0.0,9.0,11.0
>ENST00000457129.2,12.0,9.0,9.0,10.0,7.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,12.0,10.0,8.0,10.0,8.0,9.0,10.0,11.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,0.0,10.0
>ENST00000458402.1,9.0,11.0,9.0,9.0,8.0,12.0,8.0,10.0,10.0,11.0,9.0,9.0,11.0,10.0,12.0,9.0,8.0,8.0,9.0,12.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,7.0,10.0,8.0,8.0,9.0,11.0,10.0,0.0
