,>ENST00000548349.1,>ENST00000416137.1,>ENST00000423702.1,>ENST00000481703.2,>ENST00000528310.1,>ENST00000492214.1,>ENST00000416185.2,>ENST00000507834.3,>ENST00000610661.1,>ENST00000635418.1,>ENST00000429406.1,>ENST00000423841.1
>ENST00000548349.1,0.0,10.0,10.0,11.0,8.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
>ENST00000416137.1,10.0,0.0,7.0,8.0,6.0,10.0,9.0,10.0,8.0,12.0,7.0,8.0
>ENST00000423702.1,10.0,7.0,0.0,9.0,8.0,8.0,8.0,8.0,10.0,11.0,8.0,8.0
>ENST00000481703.2,11.0,8.0,9.0,0.0,9.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0
>ENST00000528310.1,8.0,6.0,8.0,9.0,0.0,8.0,9.0,9.0,7.0,10.0,7.0,8.0
>ENST00000492214.1,11.0,10.0,8.0,9.0,8.0,0.0,8.0,9.0,11.0,10.0,10.0,8.0
>ENST00000416185.2,11.0,9.0,8.0,9.0,9.0,8.0,0.0,11.0,9.0,10.0,9.0,9.0
>ENST00000507834.3,12.0,10.0,8.0,9.0,9.0,9.0,11.0,0.0,11.0,11.0,10.0,10.0
>ENST00000610661.1,11.0,8.0,10.0,8.0,7.0,11.0,9.0,11.0,0.0,9.0,8.0,8.0
>ENST00000635418.1,11.0,12.0,11.0,11.0,10.0,10.0,10.0,11.0,9.0,0.0,11.0,9.0
>ENST00000429406.1,11.0,7.0,8.0,8.0,7.0,10.0,9.0,10.0,8.0,11.0,0.0,10.0
>ENST00000423841.1,11.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,10.0,0.0
