,>ENST00000424108.1,>ENST00000406944.1,>ENST00000416920.1,>ENST00000377171.3,>ENST00000623954.1,>ENST00000407190.2,>ENST00000437256.2,>ENST00000342005.5,>ENST00000456044.1,>ENST00000434179.1,>ENST00000427566.2,ENSG00000149506.10,>ENST00000520383.1,>ENST00000457048.1,>ENST00000440929.1,>ENST00000511359.1,>ENST00000422983.1,>ENST00000449911.2,>ENST00000563017.1,>ENST00000623141.1,>ENST00000442031.1,>ENST00000442505.2,>ENST00000620014.1,>ENST00000517935.1
>ENST00000424108.1,0.0,10.0,10.0,9.0,10.0,11.0,8.0,10.0,12.0,9.0,9.0,13.0,7.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,11.0,8.0,9.0,7.0
>ENST00000406944.1,10.0,0.0,11.0,9.0,10.0,11.0,8.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,10.0,10.0,8.0,8.0,9.0,11.0,10.0,11.0,10.0,9.0
>ENST00000416920.1,10.0,11.0,0.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,10.0,6.0,6.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,10.0
>ENST00000377171.3,9.0,9.0,8.0,0.0,10.0,11.0,9.0,12.0,10.0,11.0,11.0,11.0,8.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,10.0,11.0,14.0,10.0
>ENST00000623954.1,10.0,10.0,9.0,10.0,0.0,9.0,12.0,10.0,11.0,9.0,10.0,12.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0
>ENST00000407190.2,11.0,11.0,8.0,11.0,9.0,0.0,8.0,11.0,9.0,9.0,9.0,13.0,7.0,8.0,10.0,10.0,11.0,9.0,13.0,7.0,12.0,10.0,10.0,8.0
>ENST00000437256.2,8.0,8.0,8.0,9.0,12.0,8.0,0.0,9.0,8.0,9.0,11.0,11.0,8.0,8.0,8.0,11.0,10.0,9.0,7.0,7.0,8.0,10.0,10.0,8.0
>ENST00000342005.5,10.0,9.0,10.0,12.0,10.0,11.0,9.0,0.0,8.0,11.0,11.0,13.0,8.0,8.0,9.0,10.0,11.0,11.0,11.0,14.0,11.0,9.0,10.0,10.0
>ENST00000456044.1,12.0,9.0,8.0,10.0,11.0,9.0,8.0,8.0,0.0,9.0,9.0,11.0,8.0,8.0,11.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,8.0,9.0
>ENST00000434179.1,9.0,10.0,8.0,11.0,9.0,9.0,9.0,11.0,9.0,0.0,10.0,13.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0
>ENST00000427566.2,9.0,9.0,8.0,11.0,10.0,9.0,11.0,11.0,9.0,10.0,0.0,12.0,8.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0
ENSG00000149506.10,13.0,11.0,10.0,11.0,12.0,13.0,11.0,13.0,11.0,13.0,12.0,0.0,11.0,10.0,13.0,11.0,13.0,10.0,11.0,11.0,15.0,12.0,18.0,12.0
>ENST00000520383.1,7.0,10.0,6.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,11.0,0.0,6.0,7.0,9.0,8.0,7.0,6.0,11.0,7.0,7.0,7.0,7.0
>ENST00000457048.1,9.0,8.0,6.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,6.0,0.0,9.0,11.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0
>ENST00000440929.1,9.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,10.0,13.0,7.0,9.0,0.0,11.0,9.0,10.0,8.0,8.0,8.0,9.0,12.0,9.0
>ENST00000511359.1,10.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,11.0,11.0,9.0,11.0,11.0,0.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0
>ENST00000422983.1,10.0,8.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,13.0,8.0,9.0,9.0,9.0,0.0,8.0,13.0,10.0,10.0,12.0,9.0,10.0
>ENST00000449911.2,9.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,11.0,10.0,10.0,10.0,7.0,8.0,10.0,10.0,8.0,0.0,9.0,10.0,10.0,11.0,10.0,8.0
>ENST00000563017.1,8.0,9.0,8.0,8.0,10.0,13.0,7.0,11.0,8.0,8.0,10.0,11.0,6.0,8.0,8.0,10.0,13.0,9.0,0.0,8.0,9.0,9.0,9.0,9.0
>ENST00000623141.1,8.0,11.0,8.0,8.0,10.0,7.0,7.0,14.0,9.0,10.0,10.0,11.0,11.0,8.0,8.0,9.0,10.0,10.0,8.0,0.0,9.0,9.0,8.0,7.0
>ENST00000442031.1,11.0,10.0,10.0,10.0,9.0,12.0,8.0,11.0,9.0,10.0,10.0,15.0,7.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,0.0,11.0,9.0,10.0
>ENST00000442505.2,8.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,12.0,7.0,9.0,9.0,10.0,12.0,11.0,9.0,9.0,11.0,0.0,11.0,12.0
>ENST00000620014.1,9.0,10.0,9.0,14.0,9.0,10.0,10.0,10.0,8.0,9.0,11.0,18.0,7.0,9.0,12.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,0.0,8.0
>ENST00000517935.1,7.0,9.0,10.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,12.0,7.0,8.0,9.0,9.0,10.0,8.0,9.0,7.0,10.0,12.0,8.0,0.0
