,>ENST00000509609.2,>ENST00000414840.2,>ENST00000458303.1,>ENST00000417716.1,>ENST00000422332.1,>ENST00000476607.1,>ENST00000564017.2,>ENST00000604727.1,>ENST00000441039.1,>ENST00000604586.1,>ENST00000613012.1,>ENST00000611632.1,>ENST00000524879.1,>ENST00000420181.1,>ENST00000413839.1,>ENST00000464337.1,>ENST00000407837.2,>ENST00000412970.1,>ENST00000567995.1,>ENST00000620352.1,>ENST00000458328.1,>ENST00000446039.2,>ENST00000509361.1,>ENST00000530713.1,>ENST00000453932.1,>ENST00000325349.6,>ENST00000429280.1,>ENST00000398357.2,>ENST00000504640.2,ENSG00000180219.1,>ENST00000426647.2,>ENST00000604370.1,>ENST00000530315.1,>ENST00000552100.1,>ENST00000510488.1,>ENST00000515438.1,>ENST00000502817.1,>ENST00000426573.2,>ENST00000598746.1,>ENST00000569211.1,>ENST00000448759.1
>ENST00000509609.2,0.0,10.0,8.0,10.0,9.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,12.0,8.0,14.0,9.0,9.0,11.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,11.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0
>ENST00000414840.2,10.0,0.0,11.0,13.0,10.0,10.0,12.0,9.0,11.0,11.0,9.0,14.0,10.0,9.0,10.0,12.0,17.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0,10.0,14.0,11.0,8.0,8.0,11.0,11.0,10.0,10.0,11.0,10.0,11.0,12.0
>ENST00000458303.1,8.0,11.0,0.0,9.0,9.0,8.0,7.0,11.0,8.0,8.0,11.0,9.0,10.0,8.0,9.0,13.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,7.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0
>ENST00000417716.1,10.0,13.0,9.0,0.0,11.0,9.0,8.0,11.0,13.0,8.0,11.0,11.0,11.0,8.0,9.0,11.0,9.0,9.0,10.0,11.0,9.0,8.0,11.0,8.0,10.0,11.0,12.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0
>ENST00000422332.1,9.0,10.0,9.0,11.0,0.0,9.0,11.0,10.0,11.0,8.0,9.0,9.0,11.0,9.0,10.0,12.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,11.0,12.0,8.0,11.0,10.0,10.0,11.0,9.0,11.0,9.0,9.0,11.0
>ENST00000476607.1,10.0,10.0,8.0,9.0,9.0,0.0,10.0,8.0,11.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,11.0,10.0,8.0,10.0,11.0,9.0,9.0,10.0,12.0,10.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0
>ENST00000564017.2,8.0,12.0,7.0,8.0,11.0,10.0,0.0,12.0,8.0,7.0,10.0,8.0,12.0,9.0,8.0,10.0,9.0,9.0,8.0,10.0,7.0,9.0,10.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,13.0
>ENST00000604727.1,10.0,9.0,11.0,11.0,10.0,8.0,12.0,0.0,9.0,8.0,11.0,9.0,12.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,11.0,11.0,9.0,12.0,11.0,11.0,11.0,11.0,10.0,9.0,13.0,10.0,10.0,11.0,9.0,11.0,13.0
>ENST00000441039.1,8.0,11.0,8.0,13.0,11.0,11.0,8.0,9.0,0.0,8.0,10.0,9.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0,10.0,9.0,9.0,11.0,9.0,10.0,7.0,9.0,9.0
>ENST00000604586.1,8.0,11.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,0.0,9.0,9.0,13.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,7.0,10.0,9.0,8.0,11.0,10.0,7.0,9.0,9.0,10.0,8.0,8.0,13.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,11.0
>ENST00000613012.1,9.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,0.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,12.0,10.0,7.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,8.0,10.0
>ENST00000611632.1,8.0,14.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,0.0,10.0,8.0,8.0,10.0,12.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,7.0,8.0,9.0,9.0,10.0,9.0,11.0,8.0,11.0,10.0
>ENST00000524879.1,12.0,10.0,10.0,11.0,11.0,9.0,12.0,12.0,8.0,13.0,10.0,10.0,0.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,14.0,10.0,9.0,11.0,11.0,12.0,11.0,9.0,11.0,9.0,11.0,9.0,9.0,323.0,10.0,11.0,10.0,11.0,11.0,11.0
>ENST00000420181.1,8.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,7.0,7.0,8.0,8.0,9.0,0.0,8.0,11.0,9.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0
>ENST00000413839.1,14.0,10.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,8.0,8.0,10.0,8.0,0.0,9.0,8.0,8.0,7.0,8.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0
>ENST00000464337.1,9.0,12.0,13.0,11.0,12.0,8.0,10.0,10.0,8.0,8.0,9.0,10.0,10.0,11.0,9.0,0.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,11.0
>ENST00000407837.2,9.0,17.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,7.0,8.0,12.0,10.0,9.0,8.0,9.0,0.0,11.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
>ENST00000412970.1,11.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,6.0,8.0,10.0,11.0,0.0,8.0,10.0,7.0,10.0,9.0,8.0,9.0,10.0,11.0,9.0,9.0,11.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0
>ENST00000567995.1,8.0,11.0,7.0,10.0,8.0,9.0,8.0,11.0,8.0,9.0,9.0,10.0,9.0,7.0,7.0,9.0,8.0,8.0,0.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0
>ENST00000620352.1,9.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,7.0,8.0,9.0,10.0,10.0,9.0,0.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,7.0,8.0,9.0,9.0,10.0,9.0,11.0,9.0,8.0,10.0
>ENST00000458328.1,8.0,10.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,7.0,9.0,9.0,11.0,8.0,8.0,8.0,8.0,7.0,10.0,9.0,0.0,8.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,9.0,11.0,6.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0
>ENST00000446039.2,9.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,10.0,8.0,9.0,14.0,8.0,11.0,9.0,8.0,10.0,9.0,8.0,8.0,0.0,11.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0
>ENST00000509361.1,9.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,8.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,11.0,0.0,9.0,11.0,10.0,9.0,8.0,9.0,13.0,9.0,10.0,9.0,9.0,9.0,10.0,17.0,10.0,9.0,10.0,11.0
>ENST00000530713.1,8.0,10.0,11.0,8.0,10.0,8.0,7.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,0.0,8.0,9.0,12.0,8.0,10.0,9.0,9.0,7.0,8.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,13.0
>ENST00000453932.1,10.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0,9.0,11.0,9.0,10.0,11.0,11.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,0.0,12.0,9.0,9.0,11.0,11.0,12.0,10.0,10.0,11.0,11.0,11.0,9.0,10.0,10.0,10.0,11.0
>ENST00000325349.6,10.0,12.0,9.0,11.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,12.0,0.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0,8.0,13.0,10.0,11.0,9.0,10.0,9.0,12.0
>ENST00000429280.1,11.0,9.0,9.0,12.0,12.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,12.0,9.0,9.0,10.0,10.0,11.0,9.0,8.0,8.0,8.0,9.0,12.0,9.0,9.0,0.0,10.0,10.0,11.0,13.0,8.0,7.0,9.0,9.0,9.0,9.0,12.0,11.0,11.0,9.0
>ENST00000398357.2,11.0,10.0,9.0,9.0,10.0,9.0,9.0,12.0,9.0,9.0,10.0,10.0,11.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,10.0,10.0,0.0,10.0,11.0,9.0,8.0,10.0,9.0,13.0,9.0,10.0,10.0,9.0,9.0,10.0
>ENST00000504640.2,9.0,10.0,8.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,0.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,12.0,10.0
ENSG00000180219.1,9.0,14.0,10.0,11.0,11.0,12.0,10.0,11.0,10.0,10.0,12.0,9.0,11.0,9.0,12.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,13.0,9.0,11.0,11.0,11.0,11.0,10.0,0.0,10.0,10.0,10.0,12.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0
>ENST00000426647.2,9.0,11.0,10.0,10.0,12.0,10.0,11.0,11.0,10.0,8.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,12.0,10.0,13.0,9.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,8.0,11.0,11.0
>ENST00000604370.1,10.0,8.0,7.0,9.0,8.0,9.0,8.0,11.0,7.0,8.0,7.0,7.0,11.0,8.0,9.0,9.0,9.0,10.0,8.0,7.0,6.0,8.0,10.0,7.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,0.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,11.0,11.0
>ENST00000530315.1,9.0,8.0,10.0,11.0,11.0,11.0,9.0,10.0,10.0,13.0,10.0,8.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,11.0,7.0,10.0,10.0,10.0,10.0,10.0,0.0,9.0,12.0,10.0,11.0,11.0,10.0,9.0,12.0
>ENST00000552100.1,9.0,11.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,7.0,8.0,10.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0,10.0,11.0,8.0,9.0,9.0,10.0,12.0,10.0,8.0,9.0,0.0,10.0,10.0,10.0,11.0,8.0,11.0,10.0
>ENST00000510488.1,10.0,11.0,10.0,9.0,10.0,11.0,10.0,13.0,9.0,11.0,10.0,9.0,323.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,13.0,9.0,13.0,10.0,10.0,10.0,10.0,12.0,10.0,0.0,11.0,11.0,11.0,11.0,10.0,11.0
>ENST00000515438.1,9.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,10.0,8.0,10.0,10.0,11.0,0.0,10.0,10.0,9.0,10.0,11.0
>ENST00000502817.1,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,17.0,9.0,9.0,11.0,9.0,10.0,10.0,11.0,10.0,8.0,11.0,10.0,11.0,10.0,0.0,8.0,9.0,9.0,9.0
>ENST00000426573.2,10.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,8.0,9.0,11.0,10.0,9.0,11.0,11.0,8.0,9.0,10.0,10.0,10.0,9.0,12.0,10.0,8.0,11.0,11.0,8.0,11.0,11.0,11.0,10.0,8.0,0.0,10.0,10.0,10.0
>ENST00000598746.1,9.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,11.0,7.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,8.0,10.0,8.0,8.0,10.0,8.0,11.0,9.0,9.0,10.0,0.0,8.0,11.0
>ENST00000569211.1,9.0,11.0,10.0,8.0,9.0,9.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,7.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,11.0,9.0,12.0,10.0,11.0,11.0,9.0,11.0,10.0,10.0,9.0,10.0,8.0,0.0,9.0
>ENST00000448759.1,11.0,12.0,9.0,11.0,11.0,9.0,13.0,13.0,9.0,11.0,10.0,10.0,11.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,8.0,10.0,11.0,13.0,11.0,12.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,10.0,11.0,11.0,9.0,10.0,11.0,9.0,0.0
