,ENSG00000275900.1,ENSG00000213714.1,ENSG00000178988.10,ENSG00000265942.2,ENSG00000201363.2,ENSG00000162783.10,ENSG00000130821.15,ENSG00000279560.1,ENSG00000183048.11,ENSG00000275534.1
ENSG00000275900.1,0.0,9.0,9.0,8.0,8.0,11.0,12.0,9.0,9.0,6.0
ENSG00000213714.1,9.0,0.0,13.0,19.0,9.0,13.0,14.0,13.0,126.0,8.0
ENSG00000178988.10,9.0,13.0,0.0,10.0,9.0,12.0,11.0,13.0,11.0,7.0
ENSG00000265942.2,8.0,19.0,10.0,0.0,8.0,9.0,12.0,9.0,19.0,7.0
ENSG00000201363.2,8.0,9.0,9.0,8.0,0.0,9.0,10.0,8.0,10.0,8.0
ENSG00000162783.10,11.0,13.0,12.0,9.0,9.0,0.0,14.0,12.0,41.0,8.0
ENSG00000130821.15,12.0,14.0,11.0,12.0,10.0,14.0,0.0,11.0,15.0,9.0
ENSG00000279560.1,9.0,13.0,13.0,9.0,8.0,12.0,11.0,0.0,13.0,7.0
ENSG00000183048.11,9.0,126.0,11.0,19.0,10.0,41.0,15.0,13.0,0.0,9.0
ENSG00000275534.1,6.0,8.0,7.0,7.0,8.0,8.0,9.0,7.0,9.0,0.0
