,>ENST00000446082.2,>ENST00000445874.1,>ENST00000456928.2,>ENST00000447622.1,>ENST00000399325.2,>ENST00000449663.1,>ENST00000457376.1,>ENST00000463294.1,>ENST00000420524.3,>ENST00000517555.1,>ENST00000588011.1,>ENST00000557949.1,>ENST00000449760.1,>ENST00000412287.1,>ENST00000503220.1,>ENST00000504682.2,>ENST00000425366.1,>ENST00000513465.1,>ENST00000427832.2,>ENST00000590824.1,>ENST00000449348.2,>ENST00000473700.2,>ENST00000531758.1,ENSG00000278820.1,>ENST00000616145.1
>ENST00000446082.2,0.0,8.0,10.0,9.0,13.0,9.0,8.0,9.0,9.0,11.0,8.0,11.0,8.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,8.0,11.0,11.0,8.0,9.0
>ENST00000445874.1,8.0,0.0,11.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,11.0,9.0,8.0,8.0,7.0,9.0,7.0,7.0,10.0,7.0,7.0
>ENST00000456928.2,10.0,11.0,0.0,8.0,11.0,11.0,8.0,12.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0,9.0,11.0,9.0,12.0,10.0,10.0,9.0,10.0,8.0,9.0
>ENST00000447622.1,9.0,8.0,8.0,0.0,8.0,8.0,8.0,10.0,9.0,8.0,6.0,7.0,9.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0,7.0,10.0,9.0,7.0,8.0
>ENST00000399325.2,13.0,8.0,11.0,8.0,0.0,11.0,8.0,11.0,9.0,9.0,9.0,11.0,11.0,12.0,10.0,11.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,8.0,8.0
>ENST00000449663.1,9.0,8.0,11.0,8.0,11.0,0.0,7.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,9.0,9.0,9.0
>ENST00000457376.1,8.0,7.0,8.0,8.0,8.0,7.0,0.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,9.0,10.0,7.0,8.0,7.0,8.0,7.0,7.0,9.0,10.0,7.0
>ENST00000463294.1,9.0,8.0,12.0,10.0,11.0,9.0,9.0,0.0,12.0,9.0,9.0,12.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,8.0,12.0,11.0,6.0,8.0
>ENST00000420524.3,9.0,9.0,10.0,9.0,9.0,9.0,8.0,12.0,0.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,12.0,7.0,7.0
>ENST00000517555.1,11.0,8.0,11.0,8.0,9.0,10.0,8.0,9.0,9.0,0.0,8.0,9.0,13.0,9.0,10.0,11.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,6.0,9.0
>ENST00000588011.1,8.0,7.0,11.0,6.0,9.0,8.0,7.0,9.0,9.0,8.0,0.0,8.0,7.0,10.0,8.0,8.0,8.0,8.0,8.0,13.0,10.0,7.0,11.0,6.0,8.0
>ENST00000557949.1,11.0,8.0,10.0,7.0,11.0,10.0,9.0,12.0,10.0,9.0,8.0,0.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,11.0,10.0,10.0,8.0,10.0
>ENST00000449760.1,8.0,8.0,10.0,9.0,11.0,10.0,7.0,9.0,10.0,13.0,7.0,10.0,0.0,9.0,10.0,12.0,9.0,8.0,7.0,10.0,8.0,9.0,9.0,6.0,10.0
>ENST00000412287.1,10.0,9.0,10.0,7.0,12.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,0.0,10.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,11.0,8.0,7.0
>ENST00000503220.1,9.0,11.0,11.0,8.0,10.0,10.0,9.0,11.0,10.0,10.0,8.0,9.0,10.0,10.0,0.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,11.0,7.0,8.0
>ENST00000504682.2,10.0,9.0,9.0,7.0,11.0,8.0,10.0,9.0,11.0,11.0,8.0,9.0,12.0,9.0,9.0,0.0,9.0,8.0,7.0,10.0,9.0,9.0,12.0,8.0,9.0
>ENST00000425366.1,8.0,8.0,11.0,7.0,11.0,9.0,7.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,0.0,9.0,7.0,9.0,8.0,7.0,9.0,6.0,7.0
>ENST00000513465.1,8.0,8.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,0.0,8.0,9.0,8.0,8.0,11.0,7.0,8.0
>ENST00000427832.2,8.0,7.0,12.0,8.0,10.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,10.0,8.0,7.0,7.0,8.0,0.0,8.0,8.0,8.0,10.0,7.0,8.0
>ENST00000590824.1,9.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,13.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,0.0,10.0,10.0,10.0,8.0,8.0
>ENST00000449348.2,8.0,7.0,10.0,7.0,11.0,8.0,7.0,8.0,9.0,9.0,10.0,11.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,0.0,9.0,9.0,8.0,8.0
>ENST00000473700.2,11.0,7.0,9.0,10.0,9.0,7.0,7.0,12.0,10.0,8.0,7.0,10.0,9.0,8.0,11.0,9.0,7.0,8.0,8.0,10.0,9.0,0.0,9.0,7.0,7.0
