,>ENST00000425091.1,>ENST00000443616.1,>ENST00000416092.1,>ENST00000513279.1,>ENST00000549577.2,>ENST00000491593.1,>ENST00000436509.2,>ENST00000427305.1,>ENST00000530091.1,>ENST00000462726.1,>ENST00000531764.5,>ENST00000505381.2,>ENST00000418424.1,>ENST00000532878.1,>ENST00000457151.1,>ENST00000524957.1
>ENST00000425091.1,0.0,9.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,12.0,10.0
>ENST00000443616.1,9.0,0.0,10.0,10.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
>ENST00000416092.1,8.0,10.0,0.0,9.0,9.0,9.0,11.0,10.0,8.0,8.0,10.0,11.0,7.0,13.0,9.0,8.0
>ENST00000513279.1,10.0,10.0,9.0,0.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
>ENST00000549577.2,8.0,8.0,9.0,9.0,0.0,11.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0
>ENST00000491593.1,10.0,10.0,9.0,9.0,11.0,0.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,12.0,12.0,8.0
>ENST00000436509.2,10.0,10.0,11.0,10.0,10.0,10.0,0.0,11.0,11.0,9.0,9.0,11.0,10.0,11.0,11.0,10.0
>ENST00000427305.1,10.0,11.0,10.0,10.0,10.0,10.0,11.0,0.0,8.0,11.0,10.0,10.0,9.0,10.0,10.0,13.0
>ENST00000530091.1,9.0,9.0,8.0,9.0,8.0,9.0,11.0,8.0,0.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0
>ENST00000462726.1,9.0,10.0,8.0,10.0,9.0,10.0,9.0,11.0,8.0,0.0,10.0,11.0,10.0,10.0,9.0,9.0
>ENST00000531764.5,10.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,8.0,10.0,0.0,10.0,8.0,9.0,9.0,9.0
>ENST00000505381.2,9.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,11.0,10.0,0.0,11.0,10.0,11.0,9.0
>ENST00000418424.1,9.0,9.0,7.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,11.0,0.0,10.0,8.0,12.0
>ENST00000532878.1,9.0,10.0,13.0,10.0,10.0,12.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,0.0,9.0,10.0
>ENST00000457151.1,12.0,10.0,9.0,10.0,8.0,12.0,11.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,0.0,9.0
>ENST00000524957.1,10.0,10.0,8.0,9.0,9.0,8.0,10.0,13.0,9.0,9.0,9.0,9.0,12.0,10.0,9.0,0.0
