,ENSG00000206824.1,ENSG00000221269.1,ENSG00000122592.7,ENSG00000176231.1,ENSG00000207488.1,ENSG00000276813.1,ENSG00000123342.15,ENSG00000178597.5,ENSG00000273811.1,ENSG00000221002.1,ENSG00000200379.1,ENSG00000273549.1
ENSG00000206824.1,0.0,8.0,10.0,11.0,28.0,6.0,12.0,9.0,6.0,7.0,7.0,10.0
ENSG00000221269.1,8.0,0.0,7.0,9.0,6.0,7.0,11.0,7.0,7.0,7.0,8.0,6.0
ENSG00000122592.7,10.0,7.0,0.0,14.0,10.0,9.0,17.0,11.0,12.0,8.0,10.0,11.0
ENSG00000176231.1,11.0,9.0,14.0,0.0,8.0,7.0,12.0,11.0,7.0,7.0,10.0,9.0
ENSG00000207488.1,28.0,6.0,10.0,8.0,0.0,6.0,10.0,9.0,6.0,5.0,6.0,9.0
ENSG00000276813.1,6.0,7.0,9.0,7.0,6.0,0.0,9.0,8.0,18.0,30.0,6.0,9.0
ENSG00000123342.15,12.0,11.0,17.0,12.0,10.0,9.0,0.0,12.0,9.0,10.0,11.0,43.0
ENSG00000178597.5,9.0,7.0,11.0,11.0,9.0,8.0,12.0,0.0,8.0,8.0,10.0,11.0
ENSG00000273811.1,6.0,7.0,12.0,7.0,6.0,18.0,9.0,8.0,0.0,17.0,9.0,9.0
ENSG00000221002.1,7.0,7.0,8.0,7.0,5.0,30.0,10.0,8.0,17.0,0.0,7.0,8.0
ENSG00000200379.1,7.0,8.0,10.0,10.0,6.0,6.0,11.0,10.0,9.0,7.0,0.0,7.0
ENSG00000273549.1,10.0,6.0,11.0,9.0,9.0,9.0,43.0,11.0,9.0,8.0,7.0,0.0
