,>ENST00000517972.1,>ENST00000548970.2,>ENST00000593141.1,>ENST00000486479.1,>ENST00000446396.1,>ENST00000430450.2,>ENST00000506095.3,>ENST00000588055.1,>ENST00000435671.1,>ENST00000330492.4,>ENST00000511780.2,>ENST00000426710.1,>ENST00000611227.1,>ENST00000439233.1,>ENST00000604663.1,>ENST00000435923.1,>ENST00000511318.1,>ENST00000433871.5,>ENST00000454425.2,>ENST00000427062.1,>ENST00000554547.2,>ENST00000603054.1,>ENST00000573941.1,>ENST00000397237.2,>ENST00000621464.1,>ENST00000605180.1,>ENST00000528738.1,>ENST00000468910.1,>ENST00000443634.1,>ENST00000428678.1,>ENST00000413610.1,>ENST00000490847.1,>ENST00000427973.1,>ENST00000397390.3,>ENST00000578535.1,>ENST00000418671.1,>ENST00000515352.1,>ENST00000565246.5,>ENST00000451704.1,>ENST00000605544.1
>ENST00000517972.1,0.0,8.0,8.0,10.0,9.0,8.0,11.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,10.0,9.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,8.0
>ENST00000548970.2,8.0,0.0,10.0,10.0,7.0,11.0,10.0,9.0,9.0,12.0,9.0,8.0,11.0,9.0,8.0,10.0,8.0,10.0,9.0,9.0,24.0,9.0,7.0,10.0,9.0,10.0,11.0,12.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,11.0,12.0,11.0,11.0,9.0
>ENST00000593141.1,8.0,10.0,0.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,7.0,8.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,13.0,9.0,8.0,9.0,13.0,9.0,12.0,11.0,8.0
>ENST00000486479.1,10.0,10.0,9.0,0.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,13.0,9.0,11.0,14.0,11.0,10.0,12.0,11.0,10.0,12.0,12.0,10.0,11.0,10.0,10.0,14.0,13.0,10.0,12.0,11.0,13.0,13.0,10.0,11.0,11.0,10.0
>ENST00000446396.1,9.0,7.0,9.0,9.0,0.0,7.0,10.0,8.0,8.0,8.0,8.0,7.0,10.0,10.0,9.0,8.0,8.0,14.0,10.0,8.0,9.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,8.0
>ENST00000430450.2,8.0,11.0,8.0,9.0,7.0,0.0,8.0,8.0,11.0,8.0,7.0,7.0,10.0,11.0,9.0,7.0,7.0,9.0,8.0,6.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,7.0,10.0,8.0,7.0
>ENST00000506095.3,11.0,10.0,9.0,9.0,10.0,8.0,0.0,8.0,7.0,10.0,12.0,9.0,9.0,9.0,11.0,11.0,8.0,12.0,8.0,8.0,11.0,7.0,8.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,12.0,9.0,10.0,9.0,8.0
>ENST00000588055.1,8.0,9.0,9.0,10.0,8.0,8.0,8.0,0.0,8.0,8.0,10.0,8.0,13.0,11.0,8.0,8.0,9.0,11.0,8.0,8.0,11.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,11.0,11.0,8.0
>ENST00000435671.1,9.0,9.0,9.0,10.0,8.0,11.0,7.0,8.0,0.0,8.0,7.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0
>ENST00000330492.4,10.0,12.0,7.0,10.0,8.0,8.0,10.0,8.0,8.0,0.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,12.0,10.0,9.0,7.0,10.0,9.0,8.0,12.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0
>ENST00000511780.2,9.0,9.0,7.0,9.0,8.0,7.0,12.0,10.0,7.0,9.0,0.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,10.0,8.0,7.0,8.0,7.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,11.0,10.0,8.0
>ENST00000426710.1,8.0,8.0,8.0,10.0,7.0,7.0,9.0,8.0,8.0,10.0,9.0,0.0,9.0,7.0,7.0,9.0,7.0,10.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0
>ENST00000611227.1,10.0,11.0,10.0,11.0,10.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,0.0,11.0,11.0,9.0,11.0,11.0,9.0,8.0,12.0,10.0,10.0,11.0,11.0,10.0,12.0,11.0,10.0,9.0,10.0,9.0,10.0,13.0,10.0,12.0,12.0,12.0,11.0,10.0
>ENST00000439233.1,10.0,9.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,9.0,7.0,11.0,0.0,8.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,11.0,8.0,9.0,10.0,9.0,11.0,11.0,8.0
>ENST00000604663.1,9.0,8.0,10.0,13.0,9.0,9.0,11.0,8.0,9.0,8.0,8.0,7.0,11.0,8.0,0.0,8.0,10.0,8.0,10.0,9.0,10.0,7.0,9.0,8.0,9.0,10.0,11.0,9.0,7.0,8.0,11.0,10.0,8.0,9.0,8.0,12.0,9.0,9.0,10.0,10.0
>ENST00000435923.1,8.0,10.0,8.0,9.0,8.0,7.0,11.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,0.0,11.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,14.0,8.0,10.0,11.0,8.0
>ENST00000511318.1,9.0,8.0,8.0,11.0,8.0,7.0,8.0,9.0,8.0,9.0,7.0,7.0,11.0,10.0,10.0,11.0,0.0,8.0,9.0,8.0,9.0,7.0,7.0,9.0,9.0,8.0,13.0,9.0,8.0,10.0,8.0,10.0,11.0,8.0,9.0,10.0,9.0,10.0,11.0,8.0
>ENST00000433871.5,8.0,10.0,9.0,14.0,14.0,9.0,12.0,11.0,8.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,8.0,0.0,9.0,10.0,9.0,9.0,8.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,11.0,9.0
>ENST00000454425.2,9.0,9.0,9.0,11.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,0.0,7.0,10.0,7.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,11.0,10.0,10.0,10.0,8.0,11.0,9.0,7.0
>ENST00000427062.1,8.0,9.0,8.0,10.0,8.0,6.0,8.0,8.0,8.0,12.0,10.0,7.0,8.0,8.0,9.0,7.0,8.0,10.0,7.0,0.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,11.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0
>ENST00000554547.2,8.0,24.0,9.0,12.0,9.0,10.0,11.0,11.0,9.0,10.0,8.0,8.0,12.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,0.0,8.0,9.0,9.0,10.0,10.0,12.0,13.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,11.0,10.0,11.0,11.0,8.0
>ENST00000603054.1,8.0,9.0,8.0,11.0,7.0,7.0,7.0,8.0,8.0,9.0,7.0,8.0,10.0,10.0,7.0,9.0,7.0,9.0,7.0,9.0,8.0,0.0,8.0,11.0,9.0,8.0,8.0,9.0,7.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,10.0,9.0
>ENST00000573941.1,7.0,7.0,8.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,10.0,8.0,9.0,8.0,7.0,8.0,11.0,8.0,9.0,8.0,0.0,9.0,10.0,9.0,9.0,8.0,6.0,7.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0
>ENST00000397237.2,8.0,10.0,8.0,12.0,9.0,8.0,9.0,9.0,9.0,10.0,7.0,8.0,11.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,0.0,9.0,12.0,10.0,8.0,9.0,12.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,12.0,9.0
>ENST00000621464.1,9.0,9.0,8.0,12.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,8.0,11.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,0.0,9.0,11.0,10.0,8.0,8.0,10.0,9.0,14.0,10.0,9.0,9.0,10.0,12.0,10.0,8.0
>ENST00000605180.1,10.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,12.0,9.0,0.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0
>ENST00000528738.1,9.0,11.0,10.0,11.0,8.0,9.0,9.0,10.0,9.0,12.0,10.0,8.0,12.0,9.0,11.0,8.0,13.0,9.0,8.0,10.0,12.0,8.0,9.0,10.0,11.0,11.0,0.0,10.0,9.0,11.0,10.0,10.0,10.0,12.0,10.0,12.0,9.0,11.0,11.0,10.0
>ENST00000468910.1,8.0,12.0,10.0,10.0,9.0,7.0,9.0,9.0,8.0,10.0,8.0,9.0,11.0,11.0,9.0,8.0,9.0,9.0,8.0,11.0,13.0,9.0,8.0,8.0,10.0,9.0,10.0,0.0,8.0,11.0,9.0,8.0,10.0,9.0,9.0,11.0,10.0,12.0,9.0,8.0
>ENST00000443634.1,7.0,10.0,9.0,10.0,7.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0,6.0,9.0,8.0,9.0,9.0,8.0,0.0,11.0,11.0,7.0,9.0,10.0,9.0,13.0,8.0,11.0,9.0,8.0
>ENST00000428678.1,9.0,8.0,8.0,14.0,10.0,8.0,9.0,8.0,8.0,10.0,8.0,7.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,11.0,7.0,12.0,8.0,8.0,11.0,11.0,11.0,0.0,10.0,8.0,8.0,9.0,9.0,12.0,7.0,9.0,10.0,8.0
>ENST00000413610.1,8.0,10.0,10.0,13.0,8.0,8.0,8.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,11.0,8.0,8.0,9.0,9.0,7.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0,0.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0
