,>ENST00000506634.1,>ENST00000568231.1,>ENST00000557650.2,>ENST00000451327.2,>ENST00000431286.1,>ENST00000321235.10,>ENST00000633241.1,>ENST00000431026.1,>ENST00000440070.1,>ENST00000443392.1,>ENST00000526466.1,>ENST00000316512.2,>ENST00000495129.2,>ENST00000427163.1,>ENST00000483097.1,>ENST00000488396.1,>ENST00000472227.5,>ENST00000532397.1,>ENST00000461049.1,ENSG00000122180.4,>ENST00000463099.1,>ENST00000625754.1,>ENST00000442607.1
>ENST00000506634.1,0.0,8.0,10.0,11.0,8.0,10.0,10.0,8.0,9.0,9.0,12.0,10.0,10.0,14.0,10.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0
>ENST00000568231.1,8.0,0.0,9.0,10.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,12.0,8.0,9.0
>ENST00000557650.2,10.0,9.0,0.0,11.0,10.0,12.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,12.0,10.0,12.0,12.0,9.0,12.0
>ENST00000451327.2,11.0,10.0,11.0,0.0,10.0,10.0,9.0,9.0,10.0,9.0,14.0,8.0,11.0,12.0,11.0,9.0,10.0,9.0,9.0,13.0,10.0,9.0,12.0
>ENST00000431286.1,8.0,8.0,10.0,10.0,0.0,9.0,11.0,7.0,9.0,10.0,10.0,8.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0
>ENST00000321235.10,10.0,8.0,12.0,10.0,9.0,0.0,10.0,7.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,12.0,8.0,11.0
>ENST00000633241.1,10.0,9.0,9.0,9.0,11.0,10.0,0.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,11.0
>ENST00000431026.1,8.0,7.0,9.0,9.0,7.0,7.0,9.0,0.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0
>ENST00000440070.1,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,0.0,11.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,11.0,12.0,9.0,9.0
>ENST00000443392.1,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,0.0,9.0,10.0,9.0,9.0,9.0,9.0,12.0,10.0,8.0,10.0,11.0,10.0,10.0
>ENST00000526466.1,12.0,8.0,10.0,14.0,10.0,11.0,9.0,9.0,10.0,9.0,0.0,9.0,10.0,10.0,10.0,11.0,14.0,10.0,11.0,12.0,11.0,9.0,11.0
>ENST00000316512.2,10.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,0.0,10.0,9.0,10.0,12.0,9.0,11.0,8.0,9.0,10.0,7.0,9.0
>ENST00000495129.2,10.0,9.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,0.0,11.0,10.0,13.0,9.0,9.0,10.0,13.0,10.0,7.0,10.0
>ENST00000427163.1,14.0,9.0,9.0,12.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,11.0,0.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,9.0,9.0
>ENST00000483097.1,10.0,8.0,9.0,11.0,8.0,11.0,9.0,7.0,10.0,9.0,10.0,10.0,10.0,9.0,0.0,8.0,12.0,10.0,9.0,12.0,11.0,9.0,11.0
>ENST00000488396.1,10.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,11.0,12.0,13.0,9.0,8.0,0.0,10.0,10.0,9.0,11.0,13.0,9.0,10.0
>ENST00000472227.5,11.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,12.0,14.0,9.0,9.0,10.0,12.0,10.0,0.0,12.0,11.0,11.0,11.0,12.0,10.0
>ENST00000532397.1,10.0,8.0,12.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,12.0,0.0,9.0,11.0,11.0,9.0,9.0
>ENST00000461049.1,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,11.0,8.0,10.0,10.0,9.0,9.0,11.0,9.0,0.0,10.0,11.0,8.0,10.0
ENSG00000122180.4,9.0,9.0,12.0,13.0,10.0,10.0,10.0,10.0,11.0,10.0,12.0,9.0,13.0,10.0,12.0,11.0,11.0,11.0,10.0,0.0,14.0,10.0,15.0
>ENST00000463099.1,11.0,12.0,12.0,10.0,9.0,12.0,11.0,10.0,12.0,11.0,11.0,10.0,10.0,12.0,11.0,13.0,11.0,11.0,11.0,14.0,0.0,11.0,13.0
>ENST00000625754.1,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,7.0,7.0,9.0,9.0,9.0,12.0,9.0,8.0,10.0,11.0,0.0,9.0
>ENST00000442607.1,10.0,9.0,12.0,12.0,9.0,11.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,15.0,13.0,9.0,0.0
