,>ENST00000415311.1,>ENST00000425993.1,>ENST00000514060.2,>ENST00000455189.1,>ENST00000571486.1,>ENST00000457472.2,>ENST00000440655.2,>ENST00000549144.1,>ENST00000426912.1,>ENST00000495419.1,>ENST00000436002.1,>ENST00000420753.2,>ENST00000567870.1,>ENST00000401064.3,>ENST00000405210.1,>ENST00000617616.1,>ENST00000565437.2,>ENST00000400428.2,>ENST00000446460.1,>ENST00000445444.1,>ENST00000425158.1,>ENST00000443827.1,>ENST00000614065.1,>ENST00000461229.2,>ENST00000612840.1,>ENST00000530970.1,>ENST00000606307.2,>ENST00000399822.2,>ENST00000418979.2,>ENST00000485817.1,>ENST00000623642.2,>ENST00000604296.1,>ENST00000580909.1,>ENST00000603784.1,>ENST00000550230.1,>ENST00000492004.1,>ENST00000524123.1,>ENST00000436016.1,>ENST00000514125.1,>ENST00000406666.2,>ENST00000599991.1,>ENST00000223076.2,>ENST00000425085.1,>ENST00000394290.3,>ENST00000425129.2,>ENST00000320746.5,>ENST00000614168.1,>ENST00000455192.1,ENSG00000201229.1,>ENST00000529239.1,>ENST00000580789.1,>ENST00000611822.1,>ENST00000483050.1,>ENST00000538089.1,>ENST00000548295.1,>ENST00000518493.1,>ENST00000423890.1,>ENST00000478788.1,>ENST00000441771.1
>ENST00000415311.1,0.0,10.0,9.0,8.0,8.0,11.0,10.0,12.0,9.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,11.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,13.0,12.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,12.0,11.0,9.0,7.0,14.0,12.0,13.0,10.0,9.0,9.0,9.0,12.0,10.0,8.0
>ENST00000425993.1,10.0,0.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,8.0,10.0,8.0,11.0,10.0,10.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0,13.0,11.0,11.0,9.0,9.0,9.0,11.0,9.0,12.0,9.0,9.0,10.0,12.0,9.0,11.0,9.0
>ENST00000514060.2,9.0,10.0,0.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,12.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0,11.0,9.0,9.0,9.0,6.0,9.0,7.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,9.0,11.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,8.0,7.0,9.0,9.0,9.0,12.0,8.0
>ENST00000455189.1,8.0,9.0,9.0,0.0,10.0,9.0,8.0,9.0,11.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,10.0,12.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,10.0,8.0,8.0,7.0,8.0,10.0,11.0,9.0,8.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0
>ENST00000571486.1,8.0,8.0,10.0,10.0,0.0,8.0,9.0,8.0,7.0,7.0,9.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,6.0,7.0,10.0,8.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,12.0,12.0,9.0,8.0,7.0,7.0,8.0,8.0,9.0,7.0
>ENST00000457472.2,11.0,9.0,7.0,9.0,8.0,0.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,7.0,9.0,8.0,9.0,7.0,7.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,12.0,10.0,10.0,9.0,7.0,8.0,14.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,8.0
>ENST00000440655.2,10.0,10.0,8.0,8.0,9.0,9.0,0.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,11.0,11.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,11.0,9.0,10.0,10.0,10.0,7.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,11.0,9.0,10.0,7.0,10.0,11.0,11.0,8.0,9.0,7.0,9.0,9.0,11.0,8.0
>ENST00000549144.1,12.0,10.0,10.0,9.0,8.0,9.0,9.0,0.0,8.0,8.0,10.0,9.0,11.0,10.0,10.0,9.0,8.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,11.0,10.0,8.0,7.0,12.0,9.0,9.0,9.0,7.0,9.0,11.0,9.0,10.0,8.0
>ENST00000426912.1,9.0,9.0,8.0,11.0,7.0,9.0,9.0,8.0,0.0,7.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,10.0,9.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,12.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,7.0
>ENST00000495419.1,9.0,10.0,10.0,8.0,7.0,11.0,9.0,8.0,7.0,0.0,10.0,11.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,8.0,8.0,7.0,8.0,8.0,8.0,10.0,10.0,11.0,9.0,7.0,8.0,8.0,7.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,7.0,9.0,12.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,11.0,8.0
>ENST00000436002.1,11.0,9.0,12.0,10.0,9.0,11.0,11.0,10.0,8.0,10.0,0.0,8.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,10.0,10.0,10.0,7.0,9.0,10.0,8.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,14.0,9.0,10.0,8.0,9.0,9.0,11.0,10.0,12.0,8.0
