,ENSG00000252244.1,ENSG00000209582.1,ENSG00000278056.1,ENSG00000198573.6,ENSG00000170955.9,ENSG00000222344.1,ENSG00000251851.1,ENSG00000067064.10,ENSG00000183908.5,ENSG00000224650.2,ENSG00000244264.3,ENSG00000201727.1,ENSG00000129538.13
ENSG00000252244.1,0.0,6.0,10.0,8.0,8.0,6.0,7.0,20.0,10.0,8.0,6.0,6.0,8.0
ENSG00000209582.1,6.0,0.0,8.0,7.0,9.0,6.0,6.0,9.0,11.0,8.0,8.0,8.0,9.0
ENSG00000278056.1,10.0,8.0,0.0,7.0,10.0,6.0,7.0,9.0,37.0,8.0,6.0,8.0,11.0
ENSG00000198573.6,8.0,7.0,7.0,0.0,12.0,8.0,11.0,11.0,12.0,11.0,8.0,8.0,11.0
ENSG00000170955.9,8.0,9.0,10.0,12.0,0.0,8.0,6.0,19.0,13.0,10.0,9.0,10.0,11.0
ENSG00000222344.1,6.0,6.0,6.0,8.0,8.0,0.0,9.0,10.0,10.0,7.0,7.0,6.0,9.0
ENSG00000251851.1,7.0,6.0,7.0,11.0,6.0,9.0,0.0,10.0,9.0,9.0,6.0,6.0,8.0
ENSG00000067064.10,20.0,9.0,9.0,11.0,19.0,10.0,10.0,0.0,15.0,10.0,28.0,10.0,11.0
ENSG00000183908.5,10.0,11.0,37.0,12.0,13.0,10.0,9.0,15.0,0.0,12.0,12.0,10.0,13.0
ENSG00000224650.2,8.0,8.0,8.0,11.0,10.0,7.0,9.0,10.0,12.0,0.0,10.0,8.0,14.0
ENSG00000244264.3,6.0,8.0,6.0,8.0,9.0,7.0,6.0,28.0,12.0,10.0,0.0,8.0,9.0
ENSG00000201727.1,6.0,8.0,8.0,8.0,10.0,6.0,6.0,10.0,10.0,8.0,8.0,0.0,9.0
ENSG00000129538.13,8.0,9.0,11.0,11.0,11.0,9.0,8.0,11.0,13.0,14.0,9.0,9.0,0.0
