,>ENST00000473259.1,>ENST00000477387.2,>ENST00000504053.1,>ENST00000449148.1,>ENST00000423961.1,>ENST00000547105.1,>ENST00000519957.1,>ENST00000613463.1,>ENST00000477670.1,>ENST00000605454.1,ENSG00000267673.6,>ENST00000512672.1,>ENST00000446414.2,>ENST00000436315.2,>ENST00000341855.4,>ENST00000619873.1,>ENST00000504019.1,>ENST00000458343.1,>ENST00000583752.1,>ENST00000526052.1,>ENST00000509133.1,>ENST00000603790.1,>ENST00000440942.1,>ENST00000411586.1,>ENST00000442127.1,>ENST00000401504.2,ENSG00000201801.1,>ENST00000482043.1,>ENST00000444461.1,>ENST00000432350.1,>ENST00000443200.1,>ENST00000603734.1,>ENST00000635075.1,>ENST00000505679.1,>ENST00000605674.1,>ENST00000566966.2
>ENST00000473259.1,0.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,13.0,11.0,10.0,10.0,11.0,11.0,10.0,12.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,12.0,10.0
>ENST00000477387.2,9.0,0.0,9.0,8.0,10.0,10.0,7.0,8.0,9.0,8.0,10.0,13.0,10.0,11.0,11.0,9.0,11.0,9.0,9.0,8.0,11.0,10.0,11.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,11.0
>ENST00000504053.1,9.0,9.0,0.0,11.0,9.0,8.0,8.0,11.0,10.0,9.0,10.0,9.0,8.0,10.0,12.0,9.0,10.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,11.0,8.0,7.0,8.0,10.0,8.0,10.0,7.0,9.0,10.0,10.0
>ENST00000449148.1,10.0,8.0,11.0,0.0,13.0,10.0,9.0,9.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,11.0,9.0,13.0,10.0
>ENST00000423961.1,9.0,10.0,9.0,13.0,0.0,13.0,9.0,9.0,10.0,11.0,11.0,12.0,10.0,11.0,12.0,10.0,13.0,10.0,9.0,10.0,12.0,10.0,11.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0
>ENST00000547105.1,10.0,10.0,8.0,10.0,13.0,0.0,9.0,10.0,16.0,8.0,12.0,11.0,12.0,10.0,11.0,13.0,11.0,12.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,7.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0
>ENST00000519957.1,9.0,7.0,8.0,9.0,9.0,9.0,0.0,7.0,10.0,8.0,12.0,10.0,8.0,10.0,10.0,9.0,11.0,10.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,12.0,6.0,9.0,9.0,11.0,8.0,10.0,9.0,8.0,8.0,9.0
>ENST00000613463.1,9.0,8.0,11.0,9.0,9.0,10.0,7.0,0.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,11.0,11.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,8.0,9.0,7.0,9.0,7.0,8.0,8.0,8.0
>ENST00000477670.1,11.0,9.0,10.0,10.0,10.0,16.0,10.0,9.0,0.0,10.0,11.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0
>ENST00000605454.1,10.0,8.0,9.0,12.0,11.0,8.0,8.0,9.0,10.0,0.0,11.0,11.0,8.0,9.0,10.0,8.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0
ENSG00000267673.6,13.0,10.0,10.0,11.0,11.0,12.0,12.0,10.0,11.0,11.0,0.0,12.0,9.0,13.0,13.0,11.0,13.0,11.0,13.0,12.0,13.0,12.0,10.0,11.0,12.0,12.0,9.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0
>ENST00000512672.1,11.0,13.0,9.0,11.0,12.0,11.0,10.0,10.0,10.0,11.0,12.0,0.0,11.0,10.0,12.0,11.0,12.0,13.0,9.0,9.0,13.0,10.0,11.0,11.0,13.0,11.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0
