,>ENST00000399435.2,>ENST00000606159.1,>ENST00000514761.1,>ENST00000483524.2,ENSG00000273950.1,ENSG00000252768.1,>ENST00000443475.1,>ENST00000495304.3,>ENST00000435986.1,>ENST00000556323.1,>ENST00000449385.1,>ENST00000508390.1,>ENST00000589690.1,>ENST00000432512.1,>ENST00000440731.4,>ENST00000434567.2,>ENST00000508062.1,>ENST00000493495.2,>ENST00000457831.1,>ENST00000420346.1,>ENST00000503999.2
>ENST00000399435.2,0.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,11.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,10.0
>ENST00000606159.1,9.0,0.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,11.0,11.0,10.0,9.0,10.0,10.0,11.0,9.0
>ENST00000514761.1,10.0,9.0,0.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,13.0,7.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0
>ENST00000483524.2,10.0,11.0,10.0,0.0,10.0,8.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,12.0,10.0,9.0,13.0,10.0
ENSG00000273950.1,8.0,9.0,9.0,10.0,0.0,6.0,8.0,7.0,8.0,8.0,8.0,11.0,8.0,8.0,7.0,7.0,9.0,8.0,13.0,9.0,10.0
ENSG00000252768.1,8.0,9.0,8.0,8.0,6.0,0.0,9.0,7.0,7.0,8.0,7.0,9.0,7.0,7.0,7.0,9.0,11.0,7.0,9.0,8.0,8.0
>ENST00000443475.1,10.0,10.0,9.0,9.0,8.0,9.0,0.0,10.0,11.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0
>ENST00000495304.3,8.0,9.0,8.0,10.0,7.0,7.0,10.0,0.0,10.0,8.0,9.0,9.0,7.0,7.0,9.0,7.0,8.0,9.0,12.0,10.0,9.0
>ENST00000435986.1,9.0,8.0,9.0,11.0,8.0,7.0,11.0,10.0,0.0,19.0,10.0,10.0,8.0,8.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0
>ENST00000556323.1,9.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0,19.0,0.0,8.0,10.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,13.0,10.0
>ENST00000449385.1,10.0,9.0,10.0,10.0,8.0,7.0,9.0,9.0,10.0,8.0,0.0,12.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,11.0,9.0
>ENST00000508390.1,8.0,9.0,13.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,12.0,0.0,8.0,11.0,8.0,11.0,10.0,9.0,10.0,9.0,13.0
>ENST00000589690.1,11.0,8.0,7.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,0.0,7.0,11.0,10.0,8.0,8.0,9.0,9.0,11.0
>ENST00000432512.1,9.0,11.0,9.0,9.0,8.0,7.0,8.0,7.0,8.0,10.0,9.0,11.0,7.0,0.0,7.0,9.0,8.0,8.0,10.0,9.0,9.0
>ENST00000440731.4,8.0,11.0,9.0,10.0,7.0,7.0,10.0,9.0,10.0,9.0,8.0,8.0,11.0,7.0,0.0,10.0,11.0,10.0,10.0,11.0,9.0
>ENST00000434567.2,8.0,10.0,9.0,9.0,7.0,9.0,9.0,7.0,8.0,8.0,8.0,11.0,10.0,9.0,10.0,0.0,8.0,10.0,9.0,8.0,10.0
>ENST00000508062.1,10.0,9.0,10.0,12.0,9.0,11.0,10.0,8.0,10.0,8.0,9.0,10.0,8.0,8.0,11.0,8.0,0.0,9.0,11.0,10.0,9.0
>ENST00000493495.2,9.0,10.0,9.0,10.0,8.0,7.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,10.0,10.0,9.0,0.0,11.0,9.0,9.0
>ENST00000457831.1,10.0,10.0,10.0,9.0,13.0,9.0,11.0,12.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,0.0,12.0,9.0
>ENST00000420346.1,9.0,11.0,9.0,13.0,9.0,8.0,10.0,10.0,10.0,13.0,11.0,9.0,9.0,9.0,11.0,8.0,10.0,9.0,12.0,0.0,10.0
>ENST00000503999.2,10.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,13.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,0.0
