,>ENST00000566321.5,>ENST00000448326.1,>ENST00000230495.2,>ENST00000612448.1,>ENST00000434149.1,>ENST00000605648.1,>ENST00000450188.1,>ENST00000440681.1,>ENST00000489849.1,>ENST00000623518.1,>ENST00000513884.1,>ENST00000428364.2,>ENST00000593976.1,ENSG00000171450.5,>ENST00000412727.1,>ENST00000536192.3,>ENST00000479476.1,>ENST00000518743.1,>ENST00000552036.1,>ENST00000418216.1,>ENST00000585087.1,>ENST00000475753.2,>ENST00000381279.3,>ENST00000495944.2,>ENST00000439099.1,>ENST00000568218.2,>ENST00000506991.1,>ENST00000604803.1,>ENST00000412093.1,>ENST00000456366.1,>ENST00000430840.1,>ENST00000433853.1
>ENST00000566321.5,0.0,10.0,10.0,9.0,12.0,11.0,10.0,8.0,9.0,10.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,13.0,8.0,8.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,11.0
>ENST00000448326.1,10.0,0.0,8.0,8.0,8.0,9.0,8.0,7.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,12.0,9.0,10.0,8.0,10.0,7.0,7.0,8.0,8.0,8.0
>ENST00000230495.2,10.0,8.0,0.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,11.0,9.0,7.0,10.0,7.0,8.0,9.0
>ENST00000612448.1,9.0,8.0,11.0,0.0,11.0,11.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,14.0,10.0,11.0,9.0,10.0,8.0,8.0
>ENST00000434149.1,12.0,8.0,9.0,11.0,0.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0
>ENST00000605648.1,11.0,9.0,10.0,11.0,11.0,0.0,10.0,8.0,11.0,9.0,12.0,11.0,11.0,10.0,12.0,10.0,9.0,10.0,9.0,11.0,13.0,9.0,12.0,11.0,10.0,10.0,11.0,11.0,9.0,11.0,9.0,12.0
>ENST00000450188.1,10.0,8.0,9.0,9.0,9.0,10.0,0.0,7.0,7.0,9.0,9.0,8.0,7.0,9.0,11.0,7.0,8.0,9.0,8.0,8.0,9.0,6.0,11.0,8.0,8.0,8.0,8.0,9.0,8.0,11.0,9.0,9.0
>ENST00000440681.1,8.0,7.0,8.0,8.0,8.0,8.0,7.0,0.0,7.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0,12.0,6.0,8.0,7.0
>ENST00000489849.1,9.0,10.0,9.0,9.0,9.0,11.0,7.0,7.0,0.0,10.0,11.0,9.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,8.0,8.0,11.0,11.0,11.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0
>ENST00000623518.1,10.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,0.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0
>ENST00000513884.1,11.0,8.0,9.0,9.0,9.0,12.0,9.0,10.0,11.0,9.0,0.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0
>ENST00000428364.2,9.0,9.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,9.0,10.0,0.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,8.0,11.0,11.0,10.0,12.0,10.0,10.0,9.0,8.0,8.0,11.0,9.0
>ENST00000593976.1,11.0,9.0,10.0,10.0,10.0,11.0,7.0,8.0,11.0,9.0,10.0,9.0,0.0,10.0,10.0,8.0,10.0,10.0,9.0,7.0,8.0,9.0,11.0,11.0,11.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0
ENSG00000171450.5,10.0,8.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,0.0,13.0,9.0,10.0,10.0,9.0,9.0,10.0,12.0,15.0,10.0,10.0,15.0,11.0,10.0,9.0,9.0,9.0,10.0
>ENST00000412727.1,10.0,8.0,9.0,9.0,9.0,12.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,13.0,0.0,10.0,10.0,11.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0
>ENST00000536192.3,10.0,8.0,8.0,11.0,8.0,10.0,7.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,0.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,7.0,12.0,7.0,8.0,7.0
>ENST00000479476.1,10.0,7.0,9.0,11.0,11.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,0.0,10.0,10.0,9.0,7.0,10.0,11.0,9.0,10.0,11.0,11.0,8.0,10.0,9.0,10.0,9.0
>ENST00000518743.1,10.0,8.0,11.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,0.0,10.0,9.0,11.0,10.0,12.0,9.0,9.0,11.0,12.0,13.0,11.0,10.0,10.0,10.0
>ENST00000552036.1,12.0,8.0,9.0,10.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,0.0,10.0,8.0,8.0,13.0,11.0,9.0,11.0,8.0,9.0,10.0,8.0,10.0,8.0
>ENST00000418216.1,13.0,9.0,8.0,10.0,8.0,11.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,10.0,8.0,9.0,9.0,10.0,0.0,8.0,11.0,11.0,7.0,9.0,11.0,9.0,8.0,8.0,10.0,11.0,11.0
>ENST00000585087.1,8.0,8.0,8.0,10.0,9.0,13.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,7.0,11.0,8.0,8.0,0.0,7.0,10.0,11.0,8.0,9.0,9.0,9.0,8.0,11.0,9.0,8.0
>ENST00000475753.2,8.0,7.0,9.0,9.0,9.0,9.0,6.0,7.0,11.0,11.0,9.0,11.0,9.0,12.0,8.0,9.0,10.0,10.0,8.0,11.0,7.0,0.0,9.0,9.0,9.0,12.0,11.0,10.0,10.0,9.0,8.0,8.0
>ENST00000381279.3,11.0,12.0,9.0,11.0,10.0,12.0,11.0,8.0,11.0,10.0,11.0,11.0,11.0,15.0,10.0,9.0,11.0,12.0,13.0,11.0,10.0,9.0,0.0,11.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0
>ENST00000495944.2,9.0,9.0,11.0,10.0,10.0,11.0,8.0,7.0,11.0,9.0,8.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,11.0,7.0,11.0,9.0,11.0,0.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,12.0
>ENST00000439099.1,8.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,0.0,12.0,9.0,11.0,7.0,8.0,9.0,9.0
>ENST00000568218.2,10.0,8.0,11.0,14.0,9.0,10.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,15.0,9.0,10.0,11.0,11.0,11.0,11.0,9.0,12.0,10.0,11.0,12.0,0.0,9.0,9.0,16.0,9.0,10.0,11.0
>ENST00000506991.1,9.0,10.0,9.0,10.0,9.0,11.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,11.0,12.0,8.0,9.0,9.0,11.0,11.0,10.0,9.0,9.0,0.0,11.0,8.0,11.0,10.0,11.0
>ENST00000604803.1,10.0,7.0,7.0,11.0,9.0,11.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,7.0,8.0,13.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0,0.0,9.0,7.0,9.0,9.0
>ENST00000412093.1,9.0,7.0,10.0,9.0,9.0,9.0,8.0,12.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,12.0,10.0,11.0,10.0,8.0,8.0,10.0,9.0,9.0,7.0,16.0,8.0,9.0,0.0,8.0,10.0,8.0
>ENST00000456366.1,8.0,8.0,7.0,10.0,8.0,11.0,11.0,6.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,7.0,9.0,10.0,8.0,10.0,11.0,9.0,10.0,8.0,8.0,9.0,11.0,7.0,8.0,0.0,10.0,8.0
>ENST00000430840.1,10.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0,11.0,9.0,10.0,8.0,10.0,10.0,10.0,11.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,0.0,9.0
>ENST00000433853.1,11.0,8.0,9.0,8.0,8.0,12.0,9.0,7.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,7.0,9.0,10.0,8.0,11.0,8.0,8.0,10.0,12.0,9.0,11.0,11.0,9.0,8.0,8.0,9.0,0.0
