,>ENST00000482506.1,>ENST00000555320.1,>ENST00000412834.1,>ENST00000436514.2,>ENST00000549925.1,>ENST00000574104.1,>ENST00000512270.2,>ENST00000403247.2,>ENST00000614206.1,>ENST00000439033.1,>ENST00000375726.6,>ENST00000505003.1,>ENST00000430845.2,>ENST00000606857.1,>ENST00000466509.1,>ENST00000438481.1,>ENST00000440580.1,>ENST00000561492.1,>ENST00000427137.1,>ENST00000425770.1,>ENST00000503360.1,>ENST00000623692.1,>ENST00000476426.5,>ENST00000532139.2,>ENST00000436855.1,>ENST00000611900.1
>ENST00000482506.1,0.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,11.0,7.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,8.0
>ENST00000555320.1,10.0,0.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,8.0,10.0,6.0,10.0,8.0,10.0,7.0,8.0,9.0
>ENST00000412834.1,11.0,8.0,0.0,12.0,10.0,12.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,8.0,8.0,7.0,10.0,7.0,11.0,10.0,9.0,12.0,10.0,9.0
>ENST00000436514.2,9.0,9.0,12.0,0.0,14.0,10.0,10.0,9.0,9.0,9.0,10.0,7.0,10.0,10.0,8.0,11.0,9.0,11.0,10.0,7.0,9.0,9.0,11.0,9.0,11.0,9.0
>ENST00000549925.1,10.0,10.0,10.0,14.0,0.0,11.0,12.0,9.0,10.0,11.0,11.0,9.0,9.0,10.0,14.0,9.0,10.0,11.0,11.0,7.0,11.0,9.0,12.0,9.0,8.0,9.0
>ENST00000574104.1,10.0,10.0,12.0,10.0,11.0,0.0,11.0,10.0,10.0,8.0,13.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0
>ENST00000512270.2,10.0,10.0,10.0,10.0,12.0,11.0,0.0,10.0,10.0,10.0,10.0,12.0,11.0,12.0,12.0,10.0,13.0,10.0,11.0,7.0,12.0,9.0,9.0,9.0,9.0,10.0
>ENST00000403247.2,10.0,9.0,9.0,9.0,9.0,10.0,10.0,0.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,11.0,9.0,11.0,7.0,11.0,10.0,9.0,9.0,10.0,11.0
>ENST00000614206.1,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,0.0,9.0,11.0,8.0,10.0,10.0,9.0,7.0,10.0,9.0,8.0,8.0,10.0,9.0,8.0,12.0,9.0,9.0
>ENST00000439033.1,10.0,8.0,10.0,9.0,11.0,8.0,10.0,9.0,9.0,0.0,9.0,8.0,9.0,9.0,10.0,7.0,10.0,8.0,11.0,8.0,11.0,10.0,9.0,10.0,10.0,11.0
>ENST00000375726.6,9.0,8.0,10.0,10.0,11.0,13.0,10.0,10.0,11.0,9.0,0.0,10.0,11.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,13.0
>ENST00000505003.1,9.0,9.0,8.0,7.0,9.0,8.0,12.0,9.0,8.0,8.0,10.0,0.0,9.0,8.0,8.0,6.0,7.0,8.0,8.0,6.0,8.0,8.0,9.0,7.0,9.0,10.0
>ENST00000430845.2,8.0,9.0,8.0,10.0,9.0,7.0,11.0,8.0,10.0,9.0,11.0,9.0,0.0,8.0,10.0,7.0,10.0,8.0,8.0,6.0,9.0,10.0,12.0,7.0,9.0,11.0
>ENST00000606857.1,9.0,9.0,9.0,10.0,10.0,9.0,12.0,9.0,10.0,9.0,10.0,8.0,8.0,0.0,9.0,6.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0
>ENST00000466509.1,11.0,8.0,10.0,8.0,14.0,9.0,12.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,0.0,8.0,9.0,9.0,11.0,7.0,11.0,9.0,8.0,7.0,8.0,14.0
>ENST00000438481.1,7.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0,7.0,7.0,10.0,6.0,7.0,6.0,8.0,0.0,8.0,8.0,10.0,6.0,9.0,7.0,8.0,9.0,7.0,10.0
>ENST00000440580.1,9.0,11.0,8.0,9.0,10.0,9.0,13.0,11.0,10.0,10.0,11.0,7.0,10.0,10.0,9.0,8.0,0.0,9.0,11.0,8.0,10.0,9.0,10.0,9.0,9.0,12.0
>ENST00000561492.1,9.0,8.0,7.0,11.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,0.0,10.0,6.0,10.0,8.0,8.0,10.0,7.0,8.0
>ENST00000427137.1,9.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,8.0,11.0,11.0,8.0,8.0,10.0,11.0,10.0,11.0,10.0,0.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0
>ENST00000425770.1,9.0,6.0,7.0,7.0,7.0,9.0,7.0,7.0,8.0,8.0,9.0,6.0,6.0,9.0,7.0,6.0,8.0,6.0,9.0,0.0,7.0,8.0,9.0,7.0,6.0,7.0
>ENST00000503360.1,10.0,10.0,11.0,9.0,11.0,12.0,12.0,11.0,10.0,11.0,10.0,8.0,9.0,9.0,11.0,9.0,10.0,10.0,11.0,7.0,0.0,9.0,8.0,9.0,9.0,9.0
>ENST00000623692.1,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,7.0,9.0,8.0,9.0,8.0,9.0,0.0,10.0,9.0,8.0,9.0
>ENST00000476426.5,8.0,10.0,9.0,11.0,12.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,12.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,10.0,0.0,9.0,9.0,9.0
