,ENSG00000242766.1,ENSG00000201602.1,ENSG00000239022.1,ENSG00000200301.1,ENSG00000184270.4,ENSG00000223315.1,ENSG00000206674.1,ENSG00000278123.1,ENSG00000136490.8,ENSG00000134107.4
ENSG00000242766.1,0.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,12.0,11.0
ENSG00000201602.1,8.0,0.0,5.0,8.0,7.0,7.0,6.0,6.0,10.0,10.0
ENSG00000239022.1,8.0,5.0,0.0,7.0,6.0,8.0,7.0,7.0,9.0,9.0
ENSG00000200301.1,8.0,8.0,7.0,0.0,6.0,9.0,6.0,5.0,8.0,9.0
ENSG00000184270.4,9.0,7.0,6.0,6.0,0.0,8.0,7.0,7.0,15.0,11.0
ENSG00000223315.1,9.0,7.0,8.0,9.0,8.0,0.0,8.0,7.0,10.0,12.0
ENSG00000206674.1,7.0,6.0,7.0,6.0,7.0,8.0,0.0,8.0,10.0,10.0
ENSG00000278123.1,7.0,6.0,7.0,5.0,7.0,7.0,8.0,0.0,10.0,10.0
ENSG00000136490.8,12.0,10.0,9.0,8.0,15.0,10.0,10.0,10.0,0.0,12.0
ENSG00000134107.4,11.0,10.0,9.0,9.0,11.0,12.0,10.0,10.0,12.0,0.0
