,>ENST00000518405.1,>ENST00000426148.2,>ENST00000635158.1,>ENST00000564972.1,>ENST00000494739.1,>ENST00000509856.1,>ENST00000561147.1,>ENST00000534607.1,>ENST00000522480.5,>ENST00000457423.1,>ENST00000560971.1,>ENST00000619891.1,>ENST00000460082.1,>ENST00000438155.2,>ENST00000507819.1,>ENST00000509527.1
>ENST00000518405.1,0.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
>ENST00000426148.2,8.0,0.0,8.0,7.0,7.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0
>ENST00000635158.1,8.0,8.0,0.0,7.0,10.0,11.0,10.0,9.0,11.0,8.0,10.0,8.0,9.0,8.0,8.0,10.0
>ENST00000564972.1,8.0,7.0,7.0,0.0,8.0,10.0,11.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0
>ENST00000494739.1,8.0,7.0,10.0,8.0,0.0,9.0,9.0,7.0,10.0,9.0,11.0,9.0,7.0,8.0,8.0,9.0
>ENST00000509856.1,9.0,9.0,11.0,10.0,9.0,0.0,13.0,10.0,13.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0
>ENST00000561147.1,8.0,9.0,10.0,11.0,9.0,13.0,0.0,9.0,11.0,8.0,10.0,9.0,10.0,8.0,10.0,10.0
>ENST00000534607.1,8.0,8.0,9.0,8.0,7.0,10.0,9.0,0.0,10.0,12.0,9.0,8.0,10.0,7.0,9.0,10.0
>ENST00000522480.5,10.0,9.0,11.0,9.0,10.0,13.0,11.0,10.0,0.0,10.0,10.0,11.0,10.0,11.0,10.0,12.0
>ENST00000457423.1,8.0,8.0,8.0,8.0,9.0,9.0,8.0,12.0,10.0,0.0,9.0,10.0,8.0,9.0,9.0,9.0
>ENST00000560971.1,8.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,0.0,10.0,9.0,8.0,10.0,10.0
>ENST00000619891.1,9.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,11.0,10.0,10.0,0.0,8.0,8.0,8.0,9.0
>ENST00000460082.1,7.0,8.0,9.0,8.0,7.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,0.0,8.0,8.0,10.0
>ENST00000438155.2,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,11.0,9.0,8.0,8.0,8.0,0.0,9.0,11.0
>ENST00000507819.1,9.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,0.0,9.0
>ENST00000509527.1,9.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0,9.0,10.0,11.0,9.0,0.0
