,>ENST00000613371.1,>ENST00000480739.2,>ENST00000610280.1,>ENST00000622748.1,>ENST00000426212.2,>ENST00000635005.1,>ENST00000483964.1,>ENST00000448518.1,>ENST00000527814.2,>ENST00000473913.1,>ENST00000510182.2,>ENST00000396982.3,>ENST00000428401.1,>ENST00000429231.1,>ENST00000438308.1,>ENST00000529289.1,>ENST00000538759.1,>ENSTR0000359512.8,>ENST00000486836.1,>ENST00000612764.1,>ENST00000623997.3,>ENST00000418983.1,>ENST00000544395.1,>ENST00000413963.2,>ENST00000578331.1,>ENST00000447525.1,>ENST00000441183.1,ENSG00000185507.19,>ENST00000463864.1,>ENST00000628076.1,>ENST00000442280.1
>ENST00000613371.1,0.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0,10.0
>ENST00000480739.2,10.0,0.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,8.0,12.0,11.0,9.0,11.0
>ENST00000610280.1,9.0,9.0,0.0,12.0,19.0,11.0,10.0,10.0,13.0,12.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,22.0,11.0,8.0,10.0,8.0,11.0,9.0,8.0,9.0
>ENST00000622748.1,10.0,9.0,12.0,0.0,11.0,9.0,8.0,10.0,11.0,14.0,10.0,8.0,8.0,10.0,10.0,11.0,11.0,10.0,12.0,8.0,11.0,8.0,9.0,9.0,9.0,8.0,8.0,12.0,8.0,9.0,9.0
>ENST00000426212.2,9.0,9.0,19.0,11.0,0.0,11.0,9.0,11.0,8.0,10.0,11.0,9.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,158.0,9.0,10.0,10.0,9.0,11.0,9.0,13.0,9.0
>ENST00000635005.1,11.0,10.0,11.0,9.0,11.0,0.0,11.0,11.0,10.0,10.0,10.0,12.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,12.0,13.0,11.0,11.0,9.0,11.0,9.0,9.0,11.0,12.0,9.0,10.0
>ENST00000483964.1,9.0,9.0,10.0,8.0,9.0,11.0,0.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,13.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0
>ENST00000448518.1,10.0,10.0,10.0,10.0,11.0,11.0,9.0,0.0,8.0,8.0,10.0,12.0,9.0,9.0,11.0,10.0,9.0,11.0,9.0,28.0,11.0,10.0,9.0,10.0,10.0,10.0,8.0,12.0,8.0,9.0,11.0
>ENST00000527814.2,9.0,11.0,13.0,11.0,8.0,10.0,10.0,8.0,0.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,7.0,6.0,8.0,8.0,10.0,9.0,7.0,7.0,10.0,8.0,8.0,9.0
>ENST00000473913.1,9.0,10.0,12.0,14.0,10.0,10.0,9.0,8.0,9.0,0.0,10.0,10.0,8.0,9.0,11.0,10.0,9.0,12.0,12.0,9.0,10.0,10.0,11.0,13.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0
>ENST00000510182.2,9.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,0.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,12.0,10.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,11.0,10.0,11.0,9.0
>ENST00000396982.3,8.0,9.0,10.0,8.0,9.0,12.0,9.0,12.0,9.0,10.0,9.0,0.0,8.0,9.0,11.0,10.0,10.0,11.0,8.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0
>ENST00000428401.1,9.0,10.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,8.0,0.0,10.0,9.0,10.0,9.0,12.0,9.0,8.0,8.0,9.0,13.0,9.0,11.0,8.0,8.0,10.0,10.0,11.0,10.0
>ENST00000429231.1,9.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,0.0,10.0,10.0,13.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0
>ENST00000438308.1,10.0,9.0,10.0,10.0,11.0,11.0,9.0,11.0,9.0,11.0,11.0,11.0,9.0,10.0,0.0,10.0,11.0,13.0,11.0,12.0,10.0,11.0,11.0,14.0,11.0,9.0,8.0,15.0,12.0,9.0,11.0
>ENST00000529289.1,10.0,8.0,9.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,13.0,10.0,9.0,10.0
>ENST00000538759.1,8.0,10.0,10.0,11.0,9.0,10.0,13.0,9.0,8.0,9.0,10.0,10.0,9.0,13.0,11.0,10.0,0.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,7.0,10.0,10.0,9.0,10.0
>ENSTR0000359512.8,9.0,11.0,10.0,10.0,10.0,11.0,9.0,11.0,9.0,12.0,11.0,11.0,12.0,10.0,13.0,10.0,10.0,0.0,11.0,10.0,9.0,11.0,12.0,13.0,9.0,9.0,9.0,12.0,9.0,12.0,10.0
>ENST00000486836.1,9.0,10.0,9.0,12.0,10.0,10.0,10.0,9.0,9.0,12.0,12.0,8.0,9.0,9.0,11.0,11.0,9.0,11.0,0.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,10.0,11.0,10.0,9.0
>ENST00000612764.1,8.0,9.0,10.0,8.0,9.0,12.0,8.0,28.0,7.0,9.0,10.0,9.0,8.0,10.0,12.0,10.0,9.0,10.0,10.0,0.0,14.0,12.0,9.0,9.0,8.0,7.0,8.0,10.0,8.0,9.0,9.0
>ENST00000623997.3,10.0,10.0,11.0,11.0,8.0,13.0,8.0,11.0,6.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,14.0,0.0,9.0,9.0,11.0,8.0,8.0,9.0,14.0,10.0,8.0,8.0
>ENST00000418983.1,9.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,12.0,9.0,0.0,11.0,9.0,8.0,11.0,9.0,12.0,9.0,10.0,10.0
>ENST00000544395.1,9.0,11.0,22.0,9.0,158.0,11.0,9.0,9.0,8.0,11.0,9.0,10.0,13.0,8.0,11.0,10.0,10.0,12.0,9.0,9.0,9.0,11.0,0.0,10.0,12.0,9.0,11.0,13.0,11.0,11.0,9.0
>ENST00000413963.2,9.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,13.0,10.0,10.0,9.0,10.0,14.0,10.0,10.0,13.0,9.0,9.0,11.0,9.0,10.0,0.0,10.0,9.0,12.0,9.0,9.0,9.0,9.0
>ENST00000578331.1,8.0,11.0,8.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,8.0,8.0,11.0,8.0,11.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,12.0,10.0,0.0,8.0,9.0,13.0,10.0,8.0,9.0
>ENST00000447525.1,9.0,9.0,10.0,8.0,10.0,9.0,8.0,10.0,7.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,11.0,9.0,9.0,8.0,0.0,6.0,11.0,9.0,9.0,8.0
>ENST00000441183.1,8.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,7.0,8.0,9.0,9.0,11.0,12.0,9.0,6.0,0.0,9.0,7.0,7.0,8.0
ENSG00000185507.19,10.0,12.0,11.0,12.0,11.0,11.0,10.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,15.0,13.0,10.0,12.0,10.0,10.0,14.0,12.0,13.0,9.0,13.0,11.0,9.0,0.0,10.0,10.0,10.0
>ENST00000463864.1,10.0,11.0,9.0,8.0,9.0,12.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,12.0,10.0,10.0,9.0,11.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,0.0,11.0,9.0
>ENST00000628076.1,8.0,9.0,8.0,9.0,13.0,9.0,9.0,9.0,8.0,10.0,11.0,9.0,11.0,8.0,9.0,9.0,9.0,12.0,10.0,9.0,8.0,10.0,11.0,9.0,8.0,9.0,7.0,10.0,11.0,0.0,9.0
>ENST00000442280.1,10.0,11.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,0.0
