,>ENST00000476081.1,>ENST00000440700.1,>ENST00000438336.2,>ENST00000509572.1,>ENST00000406025.2,>ENST00000517688.1,>ENST00000245811.6,>ENST00000554836.2,ENSG00000174667.3,>ENST00000421305.1,>ENST00000443086.2,>ENST00000560893.1
>ENST00000476081.1,0.0,8.0,9.0,9.0,12.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0
>ENST00000440700.1,8.0,0.0,10.0,9.0,10.0,11.0,11.0,10.0,9.0,7.0,9.0,9.0
>ENST00000438336.2,9.0,10.0,0.0,11.0,9.0,9.0,12.0,9.0,10.0,7.0,9.0,9.0
>ENST00000509572.1,9.0,9.0,11.0,0.0,10.0,11.0,10.0,9.0,12.0,11.0,9.0,9.0
>ENST00000406025.2,12.0,10.0,9.0,10.0,0.0,9.0,11.0,11.0,9.0,8.0,9.0,9.0
>ENST00000517688.1,8.0,11.0,9.0,11.0,9.0,0.0,11.0,8.0,9.0,9.0,9.0,9.0
>ENST00000245811.6,8.0,11.0,12.0,10.0,11.0,11.0,0.0,10.0,12.0,10.0,10.0,10.0
>ENST00000554836.2,9.0,10.0,9.0,9.0,11.0,8.0,10.0,0.0,10.0,11.0,9.0,10.0
ENSG00000174667.3,9.0,9.0,10.0,12.0,9.0,9.0,12.0,10.0,0.0,10.0,9.0,9.0
>ENST00000421305.1,8.0,7.0,7.0,11.0,8.0,9.0,10.0,11.0,10.0,0.0,9.0,8.0
>ENST00000443086.2,7.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,0.0,9.0
>ENST00000560893.1,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,0.0
