,ENSG00000200216.2,>ENST00000623812.1,ENSG00000164967.9,>ENST00000560476.2,>ENST00000480160.1,>ENST00000551203.1,ENSG00000276359.1,ENSG00000204936.9,>ENST00000458157.1,>ENST00000451614.1,>ENST00000604293.1,>ENST00000605823.1,>ENST00000495613.1,ENSG00000223214.1,>ENST00000603703.1,ENSG00000253291.1,>ENST00000514047.1,>ENST00000541343.1,>ENST00000405929.1,>ENST00000418798.1,ENSG00000222413.1,>ENST00000442797.1,>ENST00000461344.5,>ENST00000436426.1,>ENST00000438601.2,>ENST00000401429.1,>ENST00000428208.1,>ENST00000443473.1
ENSG00000200216.2,0.0,8.0,8.0,11.0,10.0,8.0,7.0,11.0,8.0,7.0,10.0,7.0,12.0,6.0,7.0,7.0,10.0,7.0,9.0,10.0,7.0,7.0,8.0,8.0,11.0,7.0,10.0,8.0
>ENST00000623812.1,8.0,0.0,9.0,10.0,8.0,9.0,8.0,12.0,8.0,8.0,10.0,7.0,8.0,7.0,7.0,9.0,9.0,9.0,10.0,9.0,7.0,8.0,11.0,8.0,11.0,11.0,8.0,7.0
ENSG00000164967.9,8.0,9.0,0.0,10.0,10.0,10.0,9.0,14.0,10.0,9.0,11.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,12.0,10.0,9.0,11.0,12.0,10.0
>ENST00000560476.2,11.0,10.0,10.0,0.0,12.0,10.0,8.0,12.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,7.0,10.0,9.0,8.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0
>ENST00000480160.1,10.0,8.0,10.0,12.0,0.0,10.0,10.0,11.0,11.0,9.0,12.0,9.0,11.0,8.0,9.0,9.0,11.0,10.0,10.0,241.0,8.0,8.0,12.0,9.0,9.0,9.0,11.0,8.0
>ENST00000551203.1,8.0,9.0,10.0,10.0,10.0,0.0,15.0,11.0,11.0,10.0,14.0,12.0,11.0,8.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0
ENSG00000276359.1,7.0,8.0,9.0,8.0,10.0,15.0,0.0,10.0,9.0,7.0,9.0,7.0,8.0,7.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,7.0,10.0,9.0,9.0,9.0,9.0,9.0
ENSG00000204936.9,11.0,12.0,14.0,12.0,11.0,11.0,10.0,0.0,11.0,12.0,15.0,10.0,13.0,10.0,10.0,13.0,12.0,10.0,11.0,12.0,10.0,10.0,12.0,12.0,11.0,12.0,11.0,12.0
>ENST00000458157.1,8.0,8.0,10.0,10.0,11.0,11.0,9.0,11.0,0.0,11.0,12.0,11.0,11.0,11.0,9.0,9.0,9.0,10.0,11.0,11.0,10.0,8.0,11.0,9.0,12.0,11.0,10.0,9.0
>ENST00000451614.1,7.0,8.0,9.0,9.0,9.0,10.0,7.0,12.0,11.0,0.0,9.0,8.0,9.0,7.0,7.0,8.0,9.0,8.0,9.0,10.0,8.0,6.0,9.0,9.0,9.0,12.0,10.0,9.0
