,>ENST00000517835.1,ENSG00000199627.1,>ENST00000429458.2,>ENST00000424368.1,>ENST00000458366.1,>ENST00000400977.3,>ENST00000603525.1,>ENST00000542623.1,>ENST00000437364.2,>ENST00000508690.1,>ENST00000497246.1,>ENST00000535243.1,>ENST00000582221.1,>ENST00000519669.1,>ENST00000407436.1,>ENST00000414293.2,>ENST00000504908.1,>ENST00000445757.1,>ENST00000418877.1,>ENST00000414323.2,>ENST00000622166.1,>ENST00000519737.1,>ENST00000420820.6,ENSG00000135437.9,>ENST00000514593.2,>ENST00000582910.1,>ENST00000451621.2,>ENST00000489105.1,>ENST00000414271.2,>ENST00000404577.1,>ENST00000472881.2,>ENST00000530718.1,>ENST00000618383.1,>ENST00000452411.1,>ENST00000434123.2,>ENST00000430499.1,>ENST00000507235.1,>ENST00000434586.2,>ENST00000604371.1,>ENST00000605122.1,>ENST00000438849.2
>ENST00000517835.1,0.0,9.0,11.0,10.0,8.0,10.0,10.0,10.0,9.0,11.0,9.0,13.0,8.0,9.0,10.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,8.0,13.0,7.0,9.0,8.0,10.0,11.0,9.0,6.0,9.0
ENSG00000199627.1,9.0,0.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,9.0,7.0,8.0,7.0,8.0,6.0,9.0,7.0,9.0,12.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0,10.0,7.0,7.0,8.0,8.0,9.0,8.0,10.0,9.0,7.0,9.0
>ENST00000429458.2,11.0,9.0,0.0,11.0,9.0,10.0,23.0,9.0,10.0,8.0,8.0,11.0,8.0,9.0,10.0,10.0,11.0,12.0,10.0,10.0,9.0,14.0,10.0,16.0,13.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,14.0,9.0,8.0,12.0
>ENST00000424368.1,10.0,10.0,11.0,0.0,10.0,12.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,12.0,11.0,11.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,12.0
>ENST00000458366.1,8.0,8.0,9.0,10.0,0.0,12.0,10.0,10.0,10.0,11.0,9.0,10.0,7.0,12.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,8.0,8.0,11.0,12.0,12.0,10.0,9.0,9.0,11.0,9.0,10.0,8.0,15.0
>ENST00000400977.3,10.0,10.0,10.0,12.0,12.0,0.0,11.0,10.0,11.0,10.0,11.0,11.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,11.0,11.0,12.0,11.0,9.0,9.0,11.0,10.0,12.0,9.0,12.0,11.0,11.0,11.0,10.0,9.0,10.0,12.0,9.0,10.0,10.0
>ENST00000603525.1,10.0,9.0,23.0,10.0,10.0,11.0,0.0,11.0,10.0,10.0,9.0,12.0,7.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,11.0
>ENST00000542623.1,10.0,9.0,9.0,11.0,10.0,10.0,11.0,0.0,11.0,10.0,12.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,12.0,9.0,10.0,11.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,10.0,9.0,12.0,12.0,8.0,8.0,11.0
>ENST00000437364.2,9.0,8.0,10.0,9.0,10.0,11.0,10.0,11.0,0.0,11.0,11.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,13.0,10.0,13.0,10.0,9.0,10.0,10.0,11.0,10.0,36.0,10.0,9.0,10.0,9.0,11.0,13.0,12.0,8.0,8.0,11.0
>ENST00000508690.1,11.0,8.0,8.0,10.0,11.0,10.0,10.0,10.0,11.0,0.0,9.0,13.0,10.0,11.0,9.0,12.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,13.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,14.0,9.0,12.0,13.0,8.0,8.0,11.0
>ENST00000497246.1,9.0,7.0,8.0,9.0,9.0,11.0,9.0,12.0,11.0,9.0,0.0,9.0,7.0,10.0,10.0,9.0,7.0,11.0,9.0,10.0,7.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,7.0,10.0,11.0,11.0,6.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0
>ENST00000535243.1,13.0,7.0,11.0,10.0,10.0,11.0,12.0,10.0,11.0,13.0,9.0,0.0,8.0,11.0,11.0,11.0,10.0,11.0,9.0,8.0,13.0,10.0,10.0,11.0,9.0,10.0,14.0,11.0,9.0,8.0,13.0,12.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,10.0
>ENST00000582221.1,8.0,6.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,10.0,7.0,8.0,0.0,9.0,8.0,7.0,6.0,10.0,8.0,8.0,7.0,10.0,10.0,10.0,8.0,9.0,8.0,7.0,9.0,6.0,8.0,7.0,7.0,9.0,7.0,10.0,8.0,8.0,7.0,6.0,9.0
>ENST00000519669.1,9.0,9.0,9.0,9.0,12.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0,0.0,10.0,12.0,11.0,8.0,10.0,9.0,10.0,11.0,12.0,12.0,10.0,9.0,11.0,11.0,9.0,10.0,13.0,12.0,8.0,11.0,11.0,10.0,12.0,10.0,8.0,11.0,13.0
>ENST00000407436.1,10.0,7.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,0.0,11.0,7.0,10.0,8.0,7.0,10.0,10.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,8.0,11.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0
>ENST00000414293.2,9.0,8.0,10.0,12.0,9.0,11.0,10.0,10.0,9.0,12.0,9.0,11.0,7.0,12.0,11.0,0.0,11.0,11.0,10.0,9.0,10.0,9.0,10.0,12.0,10.0,9.0,13.0,9.0,9.0,9.0,13.0,10.0,9.0,10.0,12.0,9.0,13.0,10.0,9.0,9.0,10.0
