,ENSG00000054179.11,ENSG00000252897.1,ENSG00000275992.1,ENSG00000206671.1,ENSG00000237541.3,ENSG00000199953.1,ENSG00000251976.1,ENSG00000212230.1,ENSG00000145945.5,ENSG00000243466.1,ENSG00000252404.1
ENSG00000054179.11,0.0,8.0,10.0,8.0,12.0,11.0,11.0,8.0,14.0,13.0,10.0
ENSG00000252897.1,8.0,0.0,8.0,22.0,10.0,9.0,7.0,27.0,8.0,8.0,8.0
ENSG00000275992.1,10.0,8.0,0.0,7.0,11.0,8.0,7.0,7.0,9.0,8.0,8.0
ENSG00000206671.1,8.0,22.0,7.0,0.0,9.0,6.0,7.0,28.0,9.0,9.0,7.0
ENSG00000237541.3,12.0,10.0,11.0,9.0,0.0,9.0,10.0,9.0,12.0,11.0,9.0
ENSG00000199953.1,11.0,9.0,8.0,6.0,9.0,0.0,8.0,6.0,9.0,8.0,7.0
ENSG00000251976.1,11.0,7.0,7.0,7.0,10.0,8.0,0.0,7.0,9.0,9.0,8.0
ENSG00000212230.1,8.0,27.0,7.0,28.0,9.0,6.0,7.0,0.0,9.0,7.0,6.0
ENSG00000145945.5,14.0,8.0,9.0,9.0,12.0,9.0,9.0,9.0,0.0,9.0,11.0
ENSG00000243466.1,13.0,8.0,8.0,9.0,11.0,8.0,9.0,7.0,9.0,0.0,8.0
ENSG00000252404.1,10.0,8.0,8.0,7.0,9.0,7.0,8.0,6.0,11.0,8.0,0.0
