,>ENST00000401788.2,>ENST00000613971.1,>ENST00000449843.1,>ENST00000562306.5,>ENST00000559655.1,>ENST00000432375.1,>ENST00000428073.1,>ENST00000584628.1,>ENST00000539832.1,>ENST00000372828.2,>ENST00000447612.1,>ENST00000531656.1,>ENST00000315776.4,>ENST00000454899.1,>ENST00000492764.1,>ENST00000441370.1,>ENST00000430043.1,>ENST00000441261.1,>ENST00000561209.1,>ENST00000427016.1,>ENST00000421295.1,>ENST00000576282.1,>ENST00000620067.1,ENSG00000253598.1,>ENST00000468453.1,>ENST00000414975.1,>ENST00000589779.1,>ENST00000508336.1,>ENST00000608207.1,>ENST00000590044.1,>ENST00000566367.1,>ENST00000518654.1,>ENST00000397213.2,>ENST00000432137.1,>ENST00000634410.1
>ENST00000401788.2,0.0,11.0,9.0,11.0,11.0,10.0,8.0,9.0,10.0,9.0,13.0,8.0,8.0,11.0,10.0,13.0,10.0,11.0,11.0,12.0,11.0,10.0,13.0,11.0,10.0,10.0,12.0,12.0,9.0,11.0,8.0,9.0,10.0,10.0,11.0
>ENST00000613971.1,11.0,0.0,9.0,10.0,12.0,8.0,10.0,7.0,10.0,9.0,9.0,8.0,13.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,12.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0
>ENST00000449843.1,9.0,9.0,0.0,12.0,10.0,8.0,7.0,8.0,8.0,8.0,10.0,7.0,8.0,8.0,9.0,12.0,7.0,10.0,11.0,10.0,9.0,8.0,8.0,9.0,11.0,7.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,11.0
>ENST00000562306.5,11.0,10.0,12.0,0.0,11.0,11.0,8.0,10.0,11.0,11.0,10.0,9.0,9.0,11.0,11.0,13.0,7.0,12.0,12.0,11.0,10.0,9.0,10.0,12.0,12.0,9.0,11.0,12.0,13.0,9.0,9.0,9.0,11.0,11.0,13.0
>ENST00000559655.1,11.0,12.0,10.0,11.0,0.0,10.0,9.0,9.0,12.0,10.0,9.0,9.0,8.0,9.0,11.0,12.0,8.0,10.0,12.0,11.0,11.0,11.0,9.0,11.0,11.0,10.0,10.0,11.0,12.0,11.0,8.0,10.0,9.0,10.0,10.0
>ENST00000432375.1,10.0,8.0,8.0,11.0,10.0,0.0,8.0,8.0,11.0,8.0,9.0,8.0,9.0,10.0,10.0,12.0,8.0,9.0,12.0,11.0,11.0,9.0,10.0,11.0,10.0,10.0,9.0,11.0,9.0,9.0,7.0,10.0,10.0,11.0,10.0
>ENST00000428073.1,8.0,10.0,7.0,8.0,9.0,8.0,0.0,7.0,9.0,7.0,6.0,6.0,8.0,9.0,7.0,7.0,5.0,7.0,10.0,7.0,6.0,7.0,7.0,9.0,7.0,7.0,9.0,8.0,10.0,6.0,6.0,9.0,7.0,7.0,9.0
>ENST00000584628.1,9.0,7.0,8.0,10.0,9.0,8.0,7.0,0.0,9.0,8.0,9.0,7.0,8.0,10.0,8.0,11.0,6.0,9.0,12.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,11.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0
>ENST00000539832.1,10.0,10.0,8.0,11.0,12.0,11.0,9.0,9.0,0.0,9.0,9.0,8.0,9.0,11.0,11.0,9.0,8.0,11.0,9.0,11.0,11.0,9.0,11.0,12.0,10.0,9.0,9.0,12.0,10.0,8.0,7.0,9.0,9.0,10.0,9.0
>ENST00000372828.2,9.0,9.0,8.0,11.0,10.0,8.0,7.0,8.0,9.0,0.0,9.0,8.0,9.0,12.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,11.0,8.0,11.0,7.0,9.0,9.0,11.0,9.0
