,>ENST00000486795.2,>ENST00000420302.1,>ENST00000487630.1,ENSG00000212066.1,ENSG00000201566.1,>ENST00000523818.1,ENSG00000221676.1,>ENST00000447743.1,>ENST00000504847.1,>ENST00000431458.1,>ENST00000392459.3,>ENST00000603255.1,>ENST00000465951.1,>ENST00000528464.1,>ENST00000480540.1,>ENST00000621658.1,>ENST00000603282.1,>ENST00000474180.1,>ENST00000511220.1
>ENST00000486795.2,0.0,10.0,11.0,8.0,6.0,8.0,7.0,9.0,10.0,10.0,8.0,11.0,9.0,11.0,10.0,8.0,7.0,10.0,10.0
>ENST00000420302.1,10.0,0.0,10.0,7.0,10.0,8.0,7.0,9.0,11.0,11.0,10.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,8.0
>ENST00000487630.1,11.0,10.0,0.0,7.0,8.0,8.0,9.0,8.0,11.0,8.0,12.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,11.0
ENSG00000212066.1,8.0,7.0,7.0,0.0,6.0,7.0,6.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,6.0,6.0,8.0
ENSG00000201566.1,6.0,10.0,8.0,6.0,0.0,7.0,7.0,7.0,7.0,6.0,7.0,9.0,8.0,11.0,6.0,9.0,9.0,7.0,8.0
>ENST00000523818.1,8.0,8.0,8.0,7.0,7.0,0.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,8.0
ENSG00000221676.1,7.0,7.0,9.0,6.0,7.0,8.0,0.0,8.0,8.0,8.0,11.0,7.0,8.0,8.0,7.0,7.0,7.0,9.0,8.0
>ENST00000447743.1,9.0,9.0,8.0,7.0,7.0,9.0,8.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0
>ENST00000504847.1,10.0,11.0,11.0,8.0,7.0,8.0,8.0,9.0,0.0,9.0,11.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,10.0
>ENST00000431458.1,10.0,11.0,8.0,7.0,6.0,8.0,8.0,9.0,9.0,0.0,10.0,11.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0
>ENST00000392459.3,8.0,10.0,12.0,7.0,7.0,8.0,11.0,9.0,11.0,10.0,0.0,9.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0
>ENST00000603255.1,11.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,11.0,9.0,0.0,9.0,11.0,10.0,8.0,8.0,9.0,10.0
>ENST00000465951.1,9.0,11.0,8.0,8.0,8.0,10.0,8.0,9.0,10.0,11.0,11.0,9.0,0.0,9.0,12.0,9.0,11.0,11.0,10.0
>ENST00000528464.1,11.0,9.0,9.0,7.0,11.0,10.0,8.0,9.0,10.0,8.0,10.0,11.0,9.0,0.0,9.0,8.0,9.0,9.0,10.0
>ENST00000480540.1,10.0,9.0,8.0,8.0,6.0,8.0,7.0,8.0,11.0,8.0,9.0,10.0,12.0,9.0,0.0,8.0,8.0,9.0,9.0
>ENST00000621658.1,8.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,8.0,0.0,9.0,9.0,8.0
>ENST00000603282.1,7.0,9.0,9.0,6.0,9.0,8.0,7.0,8.0,10.0,9.0,11.0,8.0,11.0,9.0,8.0,9.0,0.0,10.0,11.0
>ENST00000474180.1,10.0,9.0,9.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,0.0,11.0
>ENST00000511220.1,10.0,8.0,11.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,11.0,11.0,0.0
