,>ENST00000403169.1,>ENST00000442317.2,>ENST00000532684.1,>ENST00000446672.2,>ENST00000623252.1,>ENST00000558356.1,>ENST00000429239.1,>ENST00000583365.1,>ENST00000445341.1,>ENST00000556998.1,>ENST00000472287.1,>ENST00000605239.1,>ENST00000506637.2,>ENST00000586264.1,>ENST00000597650.1,>ENST00000616294.1,>ENST00000435875.1,>ENST00000603227.1,>ENST00000620841.1
>ENST00000403169.1,0.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,7.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,10.0,10.0
>ENST00000442317.2,10.0,0.0,11.0,10.0,13.0,11.0,10.0,11.0,11.0,8.0,9.0,10.0,11.0,9.0,10.0,13.0,11.0,9.0,9.0
>ENST00000532684.1,10.0,11.0,0.0,11.0,12.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0
>ENST00000446672.2,10.0,10.0,11.0,0.0,11.0,14.0,13.0,13.0,10.0,10.0,12.0,11.0,12.0,10.0,12.0,12.0,12.0,13.0,11.0
>ENST00000623252.1,9.0,13.0,12.0,11.0,0.0,9.0,10.0,9.0,12.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,11.0
>ENST00000558356.1,9.0,11.0,10.0,14.0,9.0,0.0,10.0,10.0,10.0,11.0,12.0,9.0,11.0,10.0,9.0,11.0,11.0,10.0,10.0
>ENST00000429239.1,11.0,10.0,10.0,13.0,10.0,10.0,0.0,8.0,11.0,8.0,10.0,9.0,11.0,9.0,10.0,11.0,11.0,11.0,10.0
>ENST00000583365.1,9.0,11.0,8.0,13.0,9.0,10.0,8.0,0.0,10.0,8.0,8.0,9.0,11.0,9.0,8.0,11.0,9.0,10.0,9.0
>ENST00000445341.1,9.0,11.0,9.0,10.0,12.0,10.0,11.0,10.0,0.0,8.0,10.0,9.0,12.0,9.0,13.0,9.0,10.0,10.0,12.0
>ENST00000556998.1,7.0,8.0,8.0,10.0,9.0,11.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,8.0,7.0,8.0,7.0,10.0,9.0
>ENST00000472287.1,9.0,9.0,9.0,12.0,9.0,12.0,10.0,8.0,10.0,9.0,0.0,10.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0
>ENST00000605239.1,10.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,0.0,12.0,7.0,9.0,9.0,11.0,10.0,10.0
>ENST00000506637.2,10.0,11.0,9.0,12.0,10.0,11.0,11.0,11.0,12.0,9.0,10.0,12.0,0.0,10.0,8.0,10.0,11.0,10.0,11.0
>ENST00000586264.1,8.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,10.0,0.0,9.0,9.0,11.0,7.0,8.0
>ENST00000597650.1,7.0,10.0,8.0,12.0,8.0,9.0,10.0,8.0,13.0,7.0,8.0,9.0,8.0,9.0,0.0,10.0,9.0,8.0,9.0
>ENST00000616294.1,9.0,13.0,9.0,12.0,10.0,11.0,11.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,0.0,11.0,14.0,10.0
>ENST00000435875.1,8.0,11.0,9.0,12.0,10.0,11.0,11.0,9.0,10.0,7.0,10.0,11.0,11.0,11.0,9.0,11.0,0.0,9.0,10.0
>ENST00000603227.1,10.0,9.0,9.0,13.0,10.0,10.0,11.0,10.0,10.0,10.0,8.0,10.0,10.0,7.0,8.0,14.0,9.0,0.0,10.0
>ENST00000620841.1,10.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,12.0,9.0,9.0,10.0,11.0,8.0,9.0,10.0,10.0,10.0,0.0
