,>ENST00000534154.1,>ENST00000517330.1,ENSG00000132671.5,>ENST00000421406.1,>ENST00000412473.1,>ENST00000482495.1,>ENST00000510421.2,ENSG00000197706.3,>ENST00000443543.1,>ENST00000439846.1,>ENST00000554238.1,>ENST00000559855.2,>ENST00000502634.1,>ENST00000610899.1,>ENST00000492507.1,>ENST00000519706.1,>ENST00000312876.7,>ENST00000406786.1,>ENST00000415994.1,>ENST00000548110.1,>ENST00000518705.1
>ENST00000534154.1,0.0,11.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,7.0,9.0,11.0,12.0,9.0,9.0,10.0,9.0
>ENST00000517330.1,11.0,0.0,10.0,12.0,10.0,10.0,9.0,11.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,11.0,10.0,11.0,12.0,11.0
ENSG00000132671.5,10.0,10.0,0.0,11.0,10.0,10.0,8.0,9.0,8.0,11.0,7.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0
>ENST00000421406.1,10.0,12.0,11.0,0.0,9.0,9.0,12.0,10.0,10.0,11.0,9.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,11.0
>ENST00000412473.1,11.0,10.0,10.0,9.0,0.0,12.0,9.0,10.0,10.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0
>ENST00000482495.1,9.0,10.0,10.0,9.0,12.0,0.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0
>ENST00000510421.2,10.0,9.0,8.0,12.0,9.0,8.0,0.0,9.0,8.0,8.0,7.0,8.0,9.0,6.0,8.0,10.0,9.0,8.0,11.0,8.0,8.0
ENSG00000197706.3,10.0,11.0,9.0,10.0,10.0,9.0,9.0,0.0,8.0,12.0,10.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,12.0,13.0
>ENST00000443543.1,8.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,0.0,8.0,8.0,7.0,10.0,7.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0
>ENST00000439846.1,10.0,11.0,11.0,11.0,8.0,9.0,8.0,12.0,8.0,0.0,9.0,8.0,12.0,11.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0
>ENST00000554238.1,9.0,10.0,7.0,9.0,8.0,9.0,7.0,10.0,8.0,9.0,0.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0,8.0
>ENST00000559855.2,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,0.0,10.0,7.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0
>ENST00000502634.1,10.0,11.0,11.0,10.0,10.0,9.0,9.0,11.0,10.0,12.0,9.0,10.0,0.0,8.0,11.0,10.0,10.0,9.0,11.0,10.0,11.0
>ENST00000610899.1,7.0,10.0,9.0,9.0,9.0,7.0,6.0,10.0,7.0,11.0,8.0,7.0,8.0,0.0,9.0,7.0,9.0,7.0,8.0,9.0,8.0
>ENST00000492507.1,9.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,11.0,8.0,8.0,11.0,9.0,0.0,10.0,10.0,9.0,10.0,8.0,10.0
>ENST00000519706.1,11.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,7.0,10.0,0.0,9.0,8.0,9.0,8.0,10.0
>ENST00000312876.7,12.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,12.0,10.0,9.0,10.0,9.0,10.0,9.0,0.0,10.0,10.0,10.0,9.0
>ENST00000406786.1,9.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,7.0,9.0,8.0,10.0,0.0,9.0,10.0,9.0
>ENST00000415994.1,9.0,11.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,8.0,11.0,8.0,10.0,9.0,10.0,9.0,0.0,12.0,11.0
>ENST00000548110.1,10.0,12.0,9.0,9.0,9.0,8.0,8.0,12.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0,10.0,12.0,0.0,10.0
>ENST00000518705.1,9.0,11.0,9.0,11.0,9.0,8.0,8.0,13.0,9.0,10.0,8.0,7.0,11.0,8.0,10.0,10.0,9.0,9.0,11.0,10.0,0.0
