,>ENST00000430863.5,>ENST00000421403.1,>ENST00000413294.1,>ENST00000517650.1,>ENST00000518003.1,>ENST00000596318.1,ENSG00000281355.1,>ENST00000603599.1,>ENST00000560408.5,>ENST00000435078.1,>ENST00000603133.1,>ENST00000594891.1,>ENST00000430517.1,>ENST00000570572.1,>ENST00000429272.1,>ENST00000444247.2,>ENST00000361688.2,>ENST00000605527.1,>ENST00000423435.2,ENSG00000252485.1,>ENST00000416267.1,>ENST00000511559.2,ENSG00000276711.1,>ENST00000454844.1,>ENST00000604920.1,>ENST00000429308.1,>ENST00000584346.1,>ENST00000417997.1,>ENST00000497982.2,>ENST00000441814.1,>ENST00000406085.2,>ENST00000613011.1,>ENST00000534205.1,>ENST00000468366.1,>ENST00000487064.1,>ENST00000612350.1
>ENST00000430863.5,0.0,10.0,11.0,9.0,11.0,10.0,8.0,13.0,11.0,10.0,13.0,12.0,10.0,12.0,10.0,12.0,11.0,12.0,14.0,10.0,12.0,12.0,8.0,12.0,11.0,11.0,12.0,9.0,11.0,12.0,11.0,11.0,11.0,10.0,11.0,10.0
>ENST00000421403.1,10.0,0.0,8.0,9.0,11.0,8.0,7.0,10.0,8.0,8.0,9.0,11.0,9.0,11.0,9.0,9.0,8.0,7.0,10.0,7.0,10.0,7.0,6.0,10.0,8.0,8.0,11.0,8.0,8.0,8.0,8.0,10.0,11.0,15.0,9.0,9.0
>ENST00000413294.1,11.0,8.0,0.0,7.0,10.0,9.0,7.0,8.0,8.0,10.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,10.0,8.0,9.0
>ENST00000517650.1,9.0,9.0,7.0,0.0,8.0,8.0,7.0,9.0,8.0,11.0,9.0,9.0,8.0,10.0,9.0,7.0,9.0,8.0,9.0,6.0,8.0,10.0,7.0,9.0,8.0,11.0,9.0,7.0,9.0,7.0,8.0,9.0,12.0,10.0,8.0,8.0
>ENST00000518003.1,11.0,11.0,10.0,8.0,0.0,9.0,6.0,9.0,10.0,9.0,11.0,10.0,9.0,11.0,8.0,9.0,10.0,9.0,11.0,7.0,8.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,7.0,11.0,11.0,10.0,10.0,10.0
>ENST00000596318.1,10.0,8.0,9.0,8.0,9.0,0.0,7.0,12.0,12.0,11.0,11.0,10.0,11.0,10.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,11.0,12.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,10.0
ENSG00000281355.1,8.0,7.0,7.0,7.0,6.0,7.0,0.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,12.0,7.0,9.0,6.0,6.0,9.0,7.0,8.0,6.0,7.0,8.0,8.0,7.0,7.0,7.0,9.0,10.0,8.0,7.0,6.0
>ENST00000603599.1,13.0,10.0,8.0,9.0,9.0,12.0,8.0,0.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,12.0,8.0,10.0,9.0,7.0,12.0,8.0,10.0,10.0,9.0,9.0,11.0,9.0,12.0,13.0,12.0,11.0,12.0
>ENST00000560408.5,11.0,8.0,8.0,8.0,10.0,12.0,9.0,12.0,0.0,11.0,9.0,10.0,9.0,12.0,14.0,11.0,11.0,8.0,12.0,8.0,10.0,9.0,7.0,12.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,8.0,11.0
>ENST00000435078.1,10.0,8.0,10.0,11.0,9.0,11.0,8.0,10.0,11.0,0.0,8.0,9.0,9.0,11.0,10.0,8.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,8.0,10.0,8.0,11.0,9.0,8.0,11.0,10.0,9.0,10.0,9.0
>ENST00000603133.1,13.0,9.0,7.0,9.0,11.0,11.0,7.0,10.0,9.0,8.0,0.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,10.0,8.0,9.0,11.0,6.0,13.0,7.0,9.0,10.0,11.0,11.0,8.0,7.0,9.0,9.0,10.0,8.0,9.0
