,>ENST00000448855.1,>ENST00000509817.1,>ENST00000448546.1,>ENST00000449715.1,>ENST00000489396.2,>ENST00000297369.10,>ENST00000510091.1,>ENST00000523937.1,>ENST00000464124.2,>ENST00000514144.1,>ENST00000519377.1,>ENST00000424561.1,>ENST00000448883.1,>ENST00000431302.1,>ENST00000438111.1,>ENST00000492636.1,>ENST00000480211.1,>ENST00000444542.1,>ENST00000423843.1,>ENST00000504093.1,>ENST00000557282.1,>ENST00000468780.1,>ENST00000422246.1,>ENST00000451206.1,>ENST00000420997.1,>ENST00000523735.1,>ENST00000617364.1,>ENST00000447710.1,>ENST00000603668.1,>ENST00000412459.2,>ENST00000470913.2,>ENST00000437848.1,>ENST00000451446.1,>ENST00000597690.1,>ENST00000444105.1,>ENST00000604303.1,ENSG00000255012.1,>ENST00000568957.1,>ENST00000553881.1,>ENST00000603166.1,>ENST00000447914.2,>ENST00000502591.1,>ENST00000427150.1,>ENST00000603663.1,>ENST00000621794.1,>ENST00000429678.1,>ENST00000426484.1,>ENST00000449897.1,>ENST00000588001.2,>ENST00000442971.1,>ENST00000524174.1
>ENST00000448855.1,0.0,10.0,8.0,12.0,10.0,9.0,9.0,9.0,10.0,189.0,11.0,9.0,7.0,10.0,11.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,11.0,10.0,10.0,12.0,11.0,9.0,9.0,14.0,9.0,10.0,10.0,11.0,8.0,11.0,12.0,9.0,8.0,10.0,10.0,14.0,10.0,9.0
>ENST00000509817.1,10.0,0.0,8.0,11.0,10.0,10.0,10.0,9.0,11.0,11.0,12.0,9.0,7.0,13.0,10.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,12.0,10.0,10.0,11.0,8.0,8.0,9.0,8.0,10.0,10.0,11.0,8.0,9.0,10.0,12.0,10.0,9.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,11.0,9.0
>ENST00000448546.1,8.0,8.0,0.0,9.0,9.0,8.0,9.0,8.0,8.0,11.0,8.0,10.0,11.0,9.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,12.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,10.0,8.0,10.0,7.0,9.0,8.0,11.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0
>ENST00000449715.1,12.0,11.0,9.0,0.0,10.0,10.0,12.0,12.0,12.0,11.0,12.0,12.0,8.0,11.0,11.0,12.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0,12.0,12.0,11.0,11.0,11.0,13.0,10.0,12.0,10.0,12.0,8.0,10.0,11.0,12.0,10.0,11.0,9.0,11.0,10.0,10.0
>ENST00000489396.2,10.0,10.0,9.0,10.0,0.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,10.0,8.0,8.0,9.0,10.0,10.0,12.0,10.0,8.0,8.0,9.0,11.0,10.0,9.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,8.0,11.0,7.0,11.0,13.0,10.0,9.0,10.0,8.0,10.0,9.0,11.0
>ENST00000297369.10,9.0,10.0,8.0,10.0,10.0,0.0,9.0,8.0,7.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,10.0,7.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,7.0,10.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,9.0
>ENST00000510091.1,9.0,10.0,9.0,12.0,11.0,9.0,0.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,7.0,9.0,9.0,10.0,13.0,10.0,11.0,7.0,10.0,8.0,10.0,10.0,10.0,11.0,11.0,7.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,13.0,9.0
>ENST00000523937.1,9.0,9.0,8.0,12.0,10.0,8.0,9.0,0.0,9.0,8.0,11.0,9.0,9.0,11.0,8.0,7.0,6.0,10.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,13.0,9.0,8.0,9.0,9.0,11.0,8.0,8.0,8.0,12.0,8.0
>ENST00000464124.2,10.0,11.0,8.0,12.0,9.0,7.0,9.0,9.0,0.0,9.0,9.0,9.0,6.0,9.0,9.0,10.0,7.0,9.0,8.0,9.0,10.0,11.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,6.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,11.0
>ENST00000514144.1,189.0,11.0,11.0,11.0,10.0,8.0,9.0,8.0,9.0,0.0,9.0,9.0,8.0,10.0,9.0,11.0,7.0,11.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,8.0,8.0,8.0,7.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,14.0,10.0,10.0,11.0,12.0,8.0,12.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0
>ENST00000519377.1,11.0,12.0,8.0,12.0,10.0,10.0,9.0,11.0,9.0,9.0,0.0,9.0,9.0,12.0,12.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,8.0,12.0,9.0,9.0,8.0,9.0,12.0,11.0,12.0,10.0,8.0,11.0,11.0,9.0,10.0,11.0,9.0,12.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,8.0,11.0,12.0
>ENST00000424561.1,9.0,9.0,10.0,12.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,0.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,7.0,8.0,14.0,11.0,11.0,12.0,9.0,8.0,9.0,10.0,11.0,9.0,9.0,9.0,7.0,10.0,14.0,11.0,9.0,8.0,9.0,10.0,10.0,13.0
>ENST00000448883.1,7.0,7.0,11.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,9.0,8.0,0.0,7.0,8.0,7.0,6.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,11.0,7.0,9.0,9.0,7.0,9.0,8.0,7.0,8.0,8.0,8.0,10.0,9.0,7.0,9.0,7.0,12.0,6.0,9.0,10.0,8.0,6.0,8.0,8.0,8.0,9.0,7.0
>ENST00000431302.1,10.0,13.0,9.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0,12.0,10.0,7.0,0.0,10.0,7.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,12.0,9.0,11.0,11.0,9.0,8.0,10.0,11.0,9.0,9.0,12.0,8.0,9.0,9.0,10.0,12.0,8.0,9.0,12.0,10.0,10.0
>ENST00000438111.1,11.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,12.0,9.0,8.0,10.0,0.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,9.0,9.0,10.0,11.0,11.0,8.0,12.0,10.0,9.0,10.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0,11.0,7.0,10.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0
>ENST00000492636.1,9.0,10.0,8.0,12.0,10.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,7.0,7.0,9.0,0.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,11.0,7.0,9.0,10.0,8.0,8.0,10.0,11.0,7.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,7.0,9.0,10.0,11.0,8.0,9.0,7.0,9.0,11.0,9.0
>ENST00000480211.1,8.0,8.0,7.0,9.0,8.0,8.0,10.0,6.0,7.0,7.0,9.0,9.0,6.0,10.0,8.0,8.0,0.0,8.0,7.0,7.0,9.0,8.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,9.0,8.0,9.0,11.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0
>ENST00000444542.1,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,8.0,7.0,8.0,9.0,9.0,8.0,0.0,9.0,7.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0,10.0,9.0,11.0,9.0,10.0,8.0,10.0,7.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0
>ENST00000423843.1,10.0,9.0,8.0,9.0,10.0,8.0,10.0,8.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,0.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,11.0,8.0,10.0,11.0,13.0,9.0,9.0,9.0,8.0,10.0,9.0
>ENST00000504093.1,10.0,9.0,9.0,10.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0,9.0,7.0,8.0,10.0,9.0,7.0,7.0,9.0,0.0,9.0,8.0,9.0,8.0,10.0,10.0,7.0,7.0,7.0,11.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,7.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0
>ENST00000557282.1,10.0,11.0,8.0,11.0,8.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,0.0,9.0,10.0,8.0,12.0,9.0,8.0,7.0,9.0,11.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0
>ENST00000468780.1,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,8.0,10.0,11.0,10.0,8.0,10.0,9.0,8.0,9.0,0.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,10.0,10.0,10.0,8.0,11.0,9.0,11.0,8.0,12.0,9.0,13.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,11.0,9.0
>ENST00000422246.1,9.0,12.0,8.0,11.0,10.0,10.0,8.0,9.0,8.0,11.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,9.0,0.0,8.0,10.0,9.0,7.0,8.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,11.0,7.0,9.0,12.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0
>ENST00000451206.1,10.0,10.0,10.0,11.0,10.0,7.0,9.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,10.0,8.0,8.0,10.0,8.0,0.0,11.0,8.0,7.0,7.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0
>ENST00000420997.1,10.0,10.0,8.0,11.0,12.0,10.0,10.0,8.0,8.0,10.0,12.0,8.0,11.0,11.0,10.0,8.0,9.0,10.0,9.0,10.0,12.0,10.0,10.0,11.0,0.0,10.0,8.0,10.0,8.0,10.0,9.0,12.0,10.0,9.0,9.0,12.0,10.0,8.0,14.0,11.0,12.0,11.0,12.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0
>ENST00000523735.1,8.0,11.0,12.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,7.0,10.0,11.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,0.0,8.0,7.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,9.0,9.0,8.0,10.0,12.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0
>ENST00000617364.1,10.0,8.0,8.0,10.0,8.0,8.0,7.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,11.0,7.0,7.0,8.0,8.0,7.0,8.0,10.0,7.0,7.0,8.0,8.0,0.0,6.0,9.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,6.0,7.0,10.0,8.0,10.0,7.0
>ENST00000447710.1,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,10.0,8.0,9.0,9.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,10.0,7.0,6.0,0.0,9.0,7.0,8.0,9.0,11.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,8.0,10.0,10.0,9.0,7.0,8.0,12.0,8.0,9.0,8.0
>ENST00000603668.1,8.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0,7.0,9.0,8.0,7.0,9.0,12.0,10.0,7.0,10.0,10.0,7.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0
>ENST00000412459.2,11.0,8.0,9.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,12.0,14.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,11.0,11.0,11.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,0.0,9.0,11.0,11.0,11.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,11.0,16.0,11.0,10.0,9.0,9.0,9.0,9.0,25.0
>ENST00000470913.2,10.0,10.0,9.0,10.0,10.0,10.0,13.0,11.0,10.0,10.0,11.0,11.0,8.0,12.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,0.0,9.0,11.0,13.0,9.0,9.0,10.0,11.0,10.0,10.0,12.0,10.0,10.0,11.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0
>ENST00000437848.1,10.0,10.0,9.0,12.0,9.0,9.0,10.0,9.0,10.0,10.0,12.0,11.0,7.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,12.0,10.0,7.0,9.0,10.0,11.0,9.0,0.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0
>ENST00000451446.1,12.0,11.0,9.0,12.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,12.0,8.0,11.0,10.0,11.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,11.0,11.0,11.0,11.0,9.0,0.0,9.0,11.0,11.0,11.0,11.0,12.0,10.0,12.0,10.0,10.0,11.0,13.0,11.0,10.0,9.0,9.0,12.0,9.0
>ENST00000597690.1,11.0,8.0,7.0,11.0,10.0,11.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,7.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,9.0,11.0,13.0,9.0,9.0,0.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,6.0,11.0,13.0,8.0,10.0,8.0,8.0,8.0,10.0,10.0
