,ENSG00000169154.5,ENSG00000207131.1,ENSG00000237038.4,ENSG00000173908.8,ENSG00000223254.1,ENSG00000265655.1,ENSG00000251751.1,ENSG00000239128.1,ENSG00000222343.1,ENSG00000278889.3
ENSG00000169154.5,0.0,10.0,20.0,104.0,9.0,9.0,10.0,9.0,10.0,12.0
ENSG00000207131.1,10.0,0.0,9.0,10.0,16.0,7.0,6.0,7.0,8.0,9.0
ENSG00000237038.4,20.0,9.0,0.0,13.0,10.0,11.0,14.0,10.0,9.0,13.0
ENSG00000173908.8,104.0,10.0,13.0,0.0,9.0,10.0,10.0,9.0,14.0,12.0
ENSG00000223254.1,9.0,16.0,10.0,9.0,0.0,6.0,10.0,7.0,8.0,10.0
ENSG00000265655.1,9.0,7.0,11.0,10.0,6.0,0.0,6.0,6.0,6.0,8.0
ENSG00000251751.1,10.0,6.0,14.0,10.0,10.0,6.0,0.0,8.0,20.0,9.0
ENSG00000239128.1,9.0,7.0,10.0,9.0,7.0,6.0,8.0,0.0,7.0,8.0
ENSG00000222343.1,10.0,8.0,9.0,14.0,8.0,6.0,20.0,7.0,0.0,8.0
ENSG00000278889.3,12.0,9.0,13.0,12.0,10.0,8.0,9.0,8.0,8.0,0.0
