,>ENST00000544920.2,>ENST00000567221.2,>ENST00000560960.2,>ENST00000596369.1,>ENST00000582156.1,>ENST00000433951.1,>ENST00000548429.1,>ENST00000421086.1,>ENST00000407663.1,>ENST00000503994.1,>ENST00000548164.2,>ENST00000616788.1,>ENST00000450552.1,>ENST00000489829.1,ENSG00000264484.2,>ENST00000510748.1,>ENST00000441979.1,>ENST00000555388.2,>ENST00000403258.1,>ENST00000455173.1
>ENST00000544920.2,0.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,7.0,8.0,10.0,8.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,11.0
>ENST00000567221.2,9.0,0.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,12.0,10.0,9.0,13.0,10.0
>ENST00000560960.2,8.0,10.0,0.0,11.0,10.0,11.0,9.0,9.0,8.0,8.0,9.0,8.0,11.0,8.0,10.0,11.0,11.0,11.0,10.0,9.0
>ENST00000596369.1,8.0,9.0,11.0,0.0,9.0,10.0,9.0,12.0,7.0,8.0,8.0,7.0,8.0,8.0,14.0,10.0,11.0,8.0,10.0,8.0
>ENST00000582156.1,8.0,9.0,10.0,9.0,0.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,10.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0
>ENST00000433951.1,10.0,11.0,11.0,10.0,8.0,0.0,10.0,11.0,8.0,9.0,8.0,10.0,12.0,9.0,12.0,11.0,9.0,11.0,10.0,9.0
>ENST00000548429.1,9.0,10.0,9.0,9.0,8.0,10.0,0.0,8.0,9.0,7.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,12.0,11.0,9.0
>ENST00000421086.1,9.0,9.0,9.0,12.0,10.0,11.0,8.0,0.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,10.0,11.0,10.0,10.0,8.0
>ENST00000407663.1,7.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,0.0,7.0,7.0,7.0,8.0,10.0,7.0,9.0,8.0,9.0,8.0,8.0
>ENST00000503994.1,8.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,7.0,0.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,8.0,11.0,7.0
>ENST00000548164.2,10.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,7.0,8.0,0.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,10.0,7.0
>ENST00000616788.1,8.0,8.0,8.0,7.0,8.0,10.0,9.0,8.0,7.0,8.0,9.0,0.0,9.0,7.0,9.0,10.0,10.0,10.0,10.0,8.0
>ENST00000450552.1,8.0,9.0,11.0,8.0,10.0,12.0,9.0,9.0,8.0,7.0,8.0,9.0,0.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0
>ENST00000489829.1,9.0,8.0,8.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,7.0,8.0,0.0,9.0,9.0,9.0,10.0,9.0,9.0
ENSG00000264484.2,8.0,9.0,10.0,14.0,8.0,12.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,0.0,11.0,8.0,8.0,10.0,7.0
>ENST00000510748.1,10.0,12.0,11.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,0.0,12.0,10.0,10.0,9.0
>ENST00000441979.1,9.0,10.0,11.0,11.0,10.0,9.0,9.0,11.0,8.0,9.0,7.0,10.0,9.0,9.0,8.0,12.0,0.0,9.0,9.0,8.0
>ENST00000555388.2,10.0,9.0,11.0,8.0,8.0,11.0,12.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,8.0,10.0,9.0,0.0,11.0,10.0
>ENST00000403258.1,9.0,13.0,10.0,10.0,9.0,10.0,11.0,10.0,8.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,0.0,10.0
>ENST00000455173.1,11.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,9.0,7.0,9.0,8.0,10.0,10.0,0.0
