,>ENST00000605735.1,>ENST00000546187.1,>ENST00000518703.1,>ENST00000577726.1,>ENSTR0000507418.6,>ENST00000446669.1,>ENST00000502493.2,>ENST00000427340.1,>ENST00000442754.1,>ENST00000509929.3,>ENST00000427883.1,>ENST00000600149.1,>ENST00000444762.1,>ENST00000411545.2,>ENST00000537438.1,>ENST00000448115.1,>ENST00000425958.1,>ENST00000605872.1,>ENST00000525622.1,ENSG00000201711.1,>ENST00000593697.1,>ENST00000600888.2
>ENST00000605735.1,0.0,8.0,9.0,11.0,8.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,13.0,10.0,7.0
>ENST00000546187.1,8.0,0.0,9.0,7.0,9.0,7.0,8.0,7.0,7.0,7.0,7.0,9.0,10.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0,7.0
>ENST00000518703.1,9.0,9.0,0.0,10.0,12.0,8.0,9.0,10.0,8.0,9.0,10.0,12.0,9.0,9.0,10.0,9.0,12.0,10.0,8.0,8.0,8.0,8.0
>ENST00000577726.1,11.0,7.0,10.0,0.0,9.0,9.0,9.0,10.0,7.0,9.0,10.0,8.0,12.0,10.0,10.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0
>ENSTR0000507418.6,8.0,9.0,12.0,9.0,0.0,12.0,8.0,11.0,12.0,10.0,10.0,9.0,11.0,9.0,11.0,11.0,9.0,9.0,10.0,10.0,8.0,9.0
>ENST00000446669.1,9.0,7.0,8.0,9.0,12.0,0.0,8.0,10.0,8.0,9.0,10.0,7.0,8.0,10.0,8.0,10.0,10.0,8.0,8.0,6.0,10.0,9.0
>ENST00000502493.2,10.0,8.0,9.0,9.0,8.0,8.0,0.0,11.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,7.0,11.0,8.0
>ENST00000427340.1,11.0,7.0,10.0,10.0,11.0,10.0,11.0,0.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,8.0
>ENST00000442754.1,10.0,7.0,8.0,7.0,12.0,8.0,8.0,10.0,0.0,8.0,9.0,8.0,8.0,8.0,12.0,9.0,8.0,9.0,11.0,7.0,7.0,10.0
>ENST00000509929.3,10.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,0.0,8.0,10.0,9.0,8.0,11.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0
>ENST00000427883.1,9.0,7.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,0.0,10.0,10.0,9.0,9.0,10.0,12.0,10.0,8.0,7.0,8.0,9.0
>ENST00000600149.1,9.0,9.0,12.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,10.0,0.0,8.0,8.0,8.0,10.0,10.0,8.0,8.0,6.0,6.0,8.0
>ENST00000444762.1,9.0,10.0,9.0,12.0,11.0,8.0,8.0,10.0,8.0,9.0,10.0,8.0,0.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,8.0
>ENST00000411545.2,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,0.0,9.0,9.0,8.0,8.0,10.0,6.0,8.0,8.0
>ENST00000537438.1,9.0,8.0,10.0,10.0,11.0,8.0,8.0,10.0,12.0,11.0,9.0,8.0,8.0,9.0,0.0,11.0,11.0,8.0,8.0,8.0,8.0,11.0
>ENST00000448115.1,9.0,7.0,9.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,11.0,0.0,8.0,10.0,10.0,8.0,10.0,8.0
>ENST00000425958.1,10.0,9.0,12.0,10.0,9.0,10.0,8.0,11.0,8.0,10.0,12.0,10.0,8.0,8.0,11.0,8.0,0.0,9.0,9.0,11.0,8.0,9.0
>ENST00000605872.1,9.0,7.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0,0.0,9.0,7.0,8.0,7.0
>ENST00000525622.1,11.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,11.0,10.0,8.0,8.0,9.0,10.0,8.0,10.0,9.0,9.0,0.0,9.0,8.0,9.0
ENSG00000201711.1,13.0,8.0,8.0,8.0,10.0,6.0,7.0,9.0,7.0,9.0,7.0,6.0,7.0,6.0,8.0,8.0,11.0,7.0,9.0,0.0,7.0,8.0
>ENST00000593697.1,10.0,9.0,8.0,8.0,8.0,10.0,11.0,8.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,10.0,8.0,8.0,8.0,7.0,0.0,9.0
>ENST00000600888.2,7.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,11.0,8.0,9.0,7.0,9.0,8.0,9.0,0.0
